Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[ksoftirqd/169]: count 88, average 2631, total 231595
@q1[openssl]: count 612, average 2763, total 1691277
@q1[kworker/169:0]: count 3, average 6949, total 20849

@q2[ksoftirqd/169]: count 165, average 884, total 145922
@q2[openssl]: count 952, average 1950, total 1856983
@q2[kworker/169:0]: count 4, average 3511, total 14045


@q4[ksoftirqd/169]: count 4940, average 958, total 4732606
@q4[openssl]: count 27698, average 963, total 26691681
@q4[kworker/169:0]: count 18, average 1997, total 35949

@q5[openssl]: count 217061, average 432, total 93959738
@q5[ksoftirqd/169]: count 38659, average 436, total 16869990
@q5[kworker/169:0]: count 118, average 546, total 64541

@uc: count 4865, average 18205, total 88571426

@q1[openssl]: count 1114, average 2571, total 2864673
@q1[ksoftirqd/169]: count 198, average 2651, total 524936

@q2[openssl]: count 1628, average 643, total 1048110
@q2[ksoftirqd/169]: count 278, average 659, total 183377


@q4[openssl]: count 40783, average 955, total 38954847
@q4[ksoftirqd/169]: count 2994, average 956, total 2862291

@q5[ksoftirqd/169]: count 22986, average 431, total 9929648
@q5[openssl]: count 319446, average 431, total 137775190

@uc: count 1972, average 5617, total 11077717

@q1[openssl]: count 1096, average 2589, total 2838546
@q1[ksoftirqd/169]: count 185, average 2608, total 482656

@q2[openssl]: count 1589, average 640, total 1018419
@q2[ksoftirqd/169]: count 278, average 661, total 183767
@q2[kworker/169:0]: count 2, average 5004, total 10008


@q4[openssl]: count 40924, average 953, total 39034748
@q4[ksoftirqd/169]: count 2956, average 961, total 2842919
@q4[kworker/169:0]: count 48, average 1428, total 68586

@q5[openssl]: count 320709, average 431, total 138320619
@q5[ksoftirqd/169]: count 22686, average 433, total 9829671
@q5[kworker/169:0]: count 377, average 497, total 187559

@uc: count 2613, average 6567, total 17161190

@q1[openssl]: count 1145, average 2651, total 3035630
@q1[ksoftirqd/169]: count 206, average 2745, total 565600

@q2[openssl]: count 1587, average 649, total 1031538
@q2[ksoftirqd/169]: count 297, average 663, total 196991
@q2[kworker/169:0]: count 1, average 15358, total 15358


@q4[openssl]: count 40621, average 955, total 38820902
@q4[ksoftirqd/169]: count 3431, average 968, total 3321311
@q4[kworker/169:0]: count 49, average 1590, total 77938

@q5[ksoftirqd/169]: count 26464, average 431, total 11422748
@q5[openssl]: count 318370, average 431, total 137349732
@q5[kworker/169:0]: count 389, average 499, total 194204

@uc: count 2049, average 5695, total 11670673

@q1[openssl]: count 1068, average 2589, total 2765900
@q1[ksoftirqd/169]: count 194, average 2622, total 508817

@q2[openssl]: count 1590, average 636, total 1011688
@q2[ksoftirqd/169]: count 275, average 708, total 194749


@q4[openssl]: count 41670, average 954, total 39755503
@q4[ksoftirqd/169]: count 3088, average 957, total 2957033

@q5[ksoftirqd/169]: count 23739, average 431, total 10254568
@q5[openssl]: count 326746, average 431, total 140876208

@uc: count 1937, average 6068, total 11755465

@q1[ksoftirqd/169]: count 176, average 2563, total 451202
@q1[openssl]: count 1077, average 2604, total 2804980

@q2[openssl]: count 1544, average 639, total 988111
@q2[ksoftirqd/169]: count 287, average 707, total 203161


@q4[openssl]: count 41513, average 953, total 39594711
@q4[ksoftirqd/169]: count 3296, average 965, total 3183014

@q5[ksoftirqd/169]: count 25373, average 431, total 10956957
@q5[openssl]: count 325577, average 431, total 140404319

@uc: count 1917, average 5534, total 10609842

@q1[openssl]: count 1047, average 2637, total 2761441
@q1[ksoftirqd/169]: count 192, average 2755, total 529034

@q2[openssl]: count 1532, average 636, total 974885
@q2[ksoftirqd/169]: count 297, average 1355, total 402663
@q2[kworker/169:0]: count 2, average 8461, total 16922


@q4[openssl]: count 41468, average 957, total 39703214
@q4[ksoftirqd/169]: count 3340, average 963, total 3216967
@q4[kworker/169:0]: count 57, average 1591, total 90703

@q5[openssl]: count 325359, average 431, total 140328246
@q5[ksoftirqd/169]: count 25726, average 432, total 11133618
@q5[kworker/169:0]: count 448, average 527, total 236319

@uc: count 2690, average 5504, total 14807091

@q1[openssl]: count 1025, average 2598, total 2663199
@q1[ksoftirqd/169]: count 197, average 2719, total 535711

@q2[openssl]: count 1521, average 645, total 981707
@q2[ksoftirqd/169]: count 322, average 678, total 218531


@q4[openssl]: count 41410, average 957, total 39664587
@q4[ksoftirqd/169]: count 3436, average 966, total 3319482

@q5[openssl]: count 324914, average 431, total 140045869
@q5[ksoftirqd/169]: count 26427, average 432, total 11435908

@uc: count 2106, average 5482, total 11546858

@q1[openssl]: count 1076, average 2668, total 2871546
@q1[ksoftirqd/169]: count 194, average 2730, total 529801

@q2[openssl]: count 1551, average 653, total 1013634
@q2[ksoftirqd/169]: count 309, average 672, total 207921


@q4[openssl]: count 41205, average 955, total 39351443
@q4[ksoftirqd/169]: count 3744, average 985, total 3691335

@q5[ksoftirqd/169]: count 28946, average 431, total 12495725
@q5[openssl]: count 323253, average 431, total 139324091

@uc: count 2424, average 5271, total 12777684

@q1[openssl]: count 1088, average 2627, total 2859180
@q1[ksoftirqd/169]: count 194, average 2674, total 518941

@q2[openssl]: count 1584, average 640, total 1013915
@q2[ksoftirqd/169]: count 295, average 760, total 224338


@q4[openssl]: count 41177, average 956, total 39385268
@q4[ksoftirqd/169]: count 3322, average 974, total 3238215
@q4[kworker/169:0]: count 1, average 7995, total 7995

@q5[openssl]: count 322864, average 431, total 139211302
@q5[ksoftirqd/169]: count 25622, average 432, total 11074713
@q5[kworker/169:0]: count 8, average 1735, total 13885

@uc: count 2036, average 5838, total 11887886

@q1[openssl]: count 1054, average 2611, total 2751994
@q1[ksoftirqd/169]: count 201, average 2762, total 555355

@q2[openssl]: count 1500, average 643, total 965607
@q2[ksoftirqd/169]: count 311, average 707, total 220062


@q4[openssl]: count 40915, average 957, total 39174492
@q4[ksoftirqd/169]: count 3669, average 983, total 3608615

@q5[openssl]: count 320968, average 431, total 138459285
@q5[ksoftirqd/169]: count 28316, average 432, total 12246191

@uc: count 2810, average 11554, total 32468921

@q1[openssl]: count 1071, average 2634, total 2821603
@q1[ksoftirqd/169]: count 192, average 2697, total 517872

@q2[openssl]: count 1538, average 648, total 996955
@q2[ksoftirqd/169]: count 280, average 666, total 186481
@q2[kworker/169:0]: count 1, average 22682, total 22682


@q4[openssl]: count 41167, average 956, total 39362446
@q4[ksoftirqd/169]: count 3423, average 982, total 3364072
@q4[kworker/169:0]: count 48, average 1574, total 75554

@q5[ksoftirqd/169]: count 26442, average 431, total 11416295
@q5[openssl]: count 322936, average 431, total 139215057
@q5[kworker/169:0]: count 380, average 501, total 190608

@uc: count 2215, average 7046, total 15608205

@q1[openssl]: count 1001, average 2628, total 2631362
@q1[ksoftirqd/169]: count 195, average 2685, total 523714

@q2[openssl]: count 1527, average 656, total 1002812
@q2[ksoftirqd/169]: count 310, average 667, total 206892


@q4[openssl]: count 41703, average 958, total 39952718
@q4[ksoftirqd/169]: count 3404, average 971, total 3305811

@q5[ksoftirqd/169]: count 26237, average 431, total 11330119
@q5[openssl]: count 327272, average 431, total 141189287

@uc: count 2060, average 5888, total 12130270

@q1[ksoftirqd/169]: count 179, average 2621, total 469217
@q1[openssl]: count 1123, average 2683, total 3013697
@q1[kworker/169:0]: count 4, average 4295, total 17183

@q2[openssl]: count 1614, average 645, total 1042015
@q2[ksoftirqd/169]: count 296, average 708, total 209789
@q2[kworker/169:0]: count 5, average 2216, total 11081


@q4[openssl]: count 41419, average 956, total 39635290
@q4[ksoftirqd/169]: count 3318, average 991, total 3290846
@q4[kworker/169:0]: count 54, average 1277, total 68998

@q5[openssl]: count 324753, average 431, total 140288381
@q5[ksoftirqd/169]: count 25568, average 432, total 11062414
@q5[kworker/169:0]: count 413, average 463, total 191389

@uc: count 2290, average 5689, total 13029168

@q1[ksoftirqd/169]: count 178, average 2587, total 460559
@q1[openssl]: count 1048, average 2624, total 2750511
@q1[kworker/169:0]: count 1, average 10870, total 10870

@q2[openssl]: count 1521, average 639, total 972368
@q2[ksoftirqd/169]: count 286, average 715, total 204701
@q2[kworker/169:0]: count 1, average 5921, total 5921


@q4[openssl]: count 41363, average 958, total 39632749
@q4[ksoftirqd/169]: count 3319, average 998, total 3314859
@q4[kworker/169:0]: count 1, average 22903, total 22903

@q5[openssl]: count 324498, average 431, total 140093448
@q5[ksoftirqd/169]: count 25506, average 867, total 22131818
@q5[kworker/169:0]: count 6, average 3316, total 19897

@uc: count 2474, average 8767, total 21691569

@q1[openssl]: count 1069, average 2642, total 2825170
@q1[ksoftirqd/169]: count 200, average 2706, total 541328
@q1[kworker/169:0]: count 1, average 16912, total 16912

@q2[openssl]: count 1526, average 637, total 973501
@q2[ksoftirqd/169]: count 308, average 718, total 221331
@q2[kworker/169:0]: count 1, average 13725, total 13725


@q4[openssl]: count 41390, average 957, total 39616298
@q4[ksoftirqd/169]: count 3225, average 972, total 3137217
@q4[kworker/169:0]: count 53, average 1599, total 84765

@q5[openssl]: count 324733, average 431, total 140210962
@q5[ksoftirqd/169]: count 24784, average 432, total 10717569
@q5[kworker/169:0]: count 418, average 502, total 209901

@uc: count 1959, average 6142, total 12033692

@q1[openssl]: count 996, average 2571, total 2561655
@q1[ksoftirqd/169]: count 185, average 2748, total 508558

@q2[openssl]: count 1519, average 651, total 989164
@q2[ksoftirqd/169]: count 298, average 684, total 204065


@q4[openssl]: count 41751, average 957, total 39959836
@q4[ksoftirqd/169]: count 3242, average 971, total 3150768

@q5[openssl]: count 327625, average 431, total 141405902
@q5[ksoftirqd/169]: count 24948, average 433, total 10818441

@uc: count 2010, average 5958, total 11976867

@q1[openssl]: count 1083, average 2607, total 2823860
@q1[ksoftirqd/169]: count 193, average 2709, total 522990

@q2[openssl]: count 1556, average 651, total 1013075
@q2[ksoftirqd/169]: count 283, average 669, total 189349


@q4[openssl]: count 40791, average 958, total 39117491
@q4[ksoftirqd/169]: count 3645, average 1003, total 3656167

@q5[openssl]: count 319776, average 431, total 138100885
@q5[ksoftirqd/169]: count 28222, average 432, total 12205327

@uc: count 2169, average 8150, total 17677745

@q1[openssl]: count 1015, average 2595, total 2634090
@q1[ksoftirqd/169]: count 187, average 2696, total 504311
@q1[kworker/169:0]: count 3, average 6475, total 19426

@q2[openssl]: count 1594, average 650, total 1037072
@q2[ksoftirqd/169]: count 313, average 664, total 208105
@q2[kworker/169:0]: count 4, average 3508, total 14035


@q4[openssl]: count 41498, average 960, total 39865007
@q4[ksoftirqd/169]: count 3355, average 978, total 3283081
@q4[kworker/169:0]: count 59, average 1280, total 75524

@q5[ksoftirqd/169]: count 25823, average 432, total 11170162
@q5[openssl]: count 325523, average 432, total 140885906
@q5[kworker/169:0]: count 462, average 461, total 213150

@uc: count 3383, average 5547, total 18767948

@q1[openssl]: count 1059, average 2609, total 2762981
