Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.

@q5[ksoftirqd/169]: count 167917, average 434, total 72911429

@uc: count 6994, average 3903, total 27300710




@q4[ksoftirqd/169]: count 21289, average 1253, total 26687442

@q5[ksoftirqd/169]: count 169363, average 433, total 73339370

@uc: count 5612, average 6795, total 38138220




@q4[ksoftirqd/169]: count 21278, average 1258, total 26771736

@q5[ksoftirqd/169]: count 169213, average 433, total 73286107

@uc: count 7744, average 2851, total 22080374




@q4[ksoftirqd/169]: count 21437, average 1268, total 27184924

@q5[ksoftirqd/169]: count 170557, average 433, total 73953422

@uc: count 4737, average 2843, total 13468815




@q4[ksoftirqd/169]: count 21031, average 1264, total 26590070

@q5[ksoftirqd/169]: count 167265, average 433, total 72591495

@uc: count 6833, average 2406, total 16442775




@q4[ksoftirqd/169]: count 20645, average 1270, total 26229406

@q5[ksoftirqd/169]: count 164209, average 434, total 71362161

@uc: count 7897, average 3854, total 30437360




@q4[ksoftirqd/169]: count 21261, average 1277, total 27164168

@q5[ksoftirqd/169]: count 169081, average 435, total 73624128

@uc: count 7144, average 2576, total 18408786




@q4[ksoftirqd/169]: count 20785, average 1277, total 26546943

@q5[ksoftirqd/169]: count 165387, average 434, total 71866838

@uc: count 7744, average 2126, total 16470739




@q4[ksoftirqd/169]: count 21605, average 1254, total 27098501

@q5[ksoftirqd/169]: count 171883, average 433, total 74500593

@uc: count 7464, average 4094, total 30558749




@q4[ksoftirqd/169]: count 21376, average 1246, total 26649622

@q5[ksoftirqd/169]: count 169992, average 433, total 73720005

@uc: count 4755, average 8447, total 40166689




@q4[ksoftirqd/169]: count 21703, average 1264, total 27439693

@q5[ksoftirqd/169]: count 172673, average 433, total 74940067

@uc: count 4868, average 3100, total 15092850




@q4[ksoftirqd/169]: count 21139, average 2563, total 54180317

@q5[ksoftirqd/169]: count 168179, average 434, total 73057950

@uc: count 7486, average 2208, total 16534639




@q4[ksoftirqd/169]: count 21421, average 1261, total 27018347

@q5[ksoftirqd/169]: count 170354, average 433, total 73896212

@uc: count 7211, average 2153, total 15530728




@q4[ksoftirqd/169]: count 21264, average 1271, total 27034506

@q5[ksoftirqd/169]: count 169118, average 433, total 73358256

@uc: count 6116, average 2803, total 17146013




@q4[ksoftirqd/169]: count 21464, average 1257, total 26994265

@q5[ksoftirqd/169]: count 170707, average 433, total 73945740

@uc: count 8557, average 2414, total 20664656




@q4[ksoftirqd/169]: count 21192, average 1267, total 26865802

@q5[ksoftirqd/169]: count 168545, average 433, total 73107567

@uc: count 7323, average 2286, total 16744518




@q4[ksoftirqd/169]: count 21736, average 1257, total 27329134

@q5[ksoftirqd/169]: count 172871, average 432, total 74796963

@uc: count 4230, average 3075, total 13011307




@q4[ksoftirqd/169]: count 21432, average 1258, total 26979631

@q5[ksoftirqd/169]: count 170453, average 433, total 73861445

@uc: count 5511, average 2965, total 16343892




@q4[ksoftirqd/169]: count 21388, average 1269, total 27147085

@q5[ksoftirqd/169]: count 170168, average 433, total 73824106

@uc: count 7704, average 3922, total 30215662




@q4[ksoftirqd/169]: count 21276, average 1257, total 26745735

@q5[ksoftirqd/169]: count 169196, average 433, total 73381390

@uc: count 7510, average 6896, total 51790318




@q4[ksoftirqd/169]: count 21329, average 1256, total 26810420

@q5[ksoftirqd/169]: count 169650, average 433, total 73537347

@uc: count 5572, average 3610, total 20115016




@q4[ksoftirqd/169]: count 21368, average 1266, total 27052508

@q5[ksoftirqd/169]: count 169969, average 433, total 73755915

@uc: count 6069, average 2770, total 16816708




@q4[ksoftirqd/169]: count 21371, average 1256, total 26845951

@q5[ksoftirqd/169]: count 169956, average 432, total 73496654

@uc: count 5414, average 3128, total 16937778

@q1[swapper/169]: count 172, average 2869, total 493529
@q1[ksoftirqd/169]: count 41, average 2977, total 122082
@q1[iperf]: count 1, average 17963, total 17963

@q2[swapper/169]: count 393, average 672, total 264112
@q2[ksoftirqd/169]: count 76, average 1167, total 88733
@q2[iperf]: count 1, average 14487, total 14487


@q4[swapper/169]: count 9260, average 1043, total 9662712
@q4[ksoftirqd/169]: count 23325, average 1293, total 30175377
@q4[iperf]: count 7, average 6331, total 44323

@q5[swapper/169]: count 72721, average 464, total 33813454
@q5[ksoftirqd/169]: count 185377, average 508, total 94180224
@q5[iperf]: count 52, average 1075, total 55935

@uc: count 17092, average 3011, total 51479095
