Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 231, average 1541, total 356008
@q1[ksoftirqd/169]: count 4, average 2437, total 9748
@q1[kworker/169:11]: count 1, average 11391, total 11391

@q2[ksoftirqd/169]: count 16, average 1014, total 16229
@q2[kworker/169:11]: count 1, average 12594, total 12594
@q2[openssl]: count 465, average 34030, total 15824149


@q4[openssl]: count 9405, average 1113, total 10470943
@q4[ksoftirqd/169]: count 48, average 1231, total 59132
@q4[kworker/169:11]: count 1, average 28393, total 28393

@q5[openssl]: count 72257, average 430, total 31071015
@q5[ksoftirqd/169]: count 303, average 445, total 134977
@q5[kworker/169:11]: count 3, average 8816, total 26450

@uc: count 2193, average 43924, total 96326849

@q1[openssl]: count 416, average 1402, total 583255
@q1[ksoftirqd/169]: count 6, average 3207, total 19247
@q1[kworker/169:0]: count 1, average 13896, total 13896

@q2[openssl]: count 606, average 556, total 337263
@q2[ksoftirqd/169]: count 28, average 768, total 21530
@q2[kworker/169:0]: count 1, average 10550, total 10550


@q4[openssl]: count 15331, average 964, total 14781358
@q4[ksoftirqd/169]: count 76, average 971, total 73797
@q4[kworker/169:0]: count 1, average 28142, total 28142

@q5[openssl]: count 118586, average 429, total 50920372
@q5[ksoftirqd/169]: count 457, average 461, total 210848
@q5[kworker/169:0]: count 2, average 12529, total 25058

@uc: count 2619, average 14607, total 38256198

@q1[openssl]: count 410, average 1477, total 605667
@q1[ksoftirqd/169]: count 13, average 1589, total 20659

@q2[openssl]: count 555, average 557, total 309442
@q2[ksoftirqd/169]: count 43, average 678, total 29156


@q4[ksoftirqd/169]: count 119, average 954, total 113575
@q4[openssl]: count 15262, average 965, total 14733382

@q5[openssl]: count 118256, average 429, total 50780574
@q5[ksoftirqd/169]: count 712, average 443, total 315420

@uc: count 2166, average 5571, total 12066791

@q1[openssl]: count 416, average 1467, total 610299
@q1[ksoftirqd/169]: count 6, average 3025, total 18155
@q1[kworker/169:11]: count 1, average 12253, total 12253

@q2[openssl]: count 612, average 570, total 349170
@q2[ksoftirqd/169]: count 29, average 740, total 21479
@q2[kworker/169:11]: count 1, average 10750, total 10750


@q4[ksoftirqd/169]: count 87, average 956, total 83244
@q4[openssl]: count 15329, average 967, total 14829462
@q4[kworker/169:11]: count 1, average 21260, total 21260

@q5[openssl]: count 118532, average 429, total 50965212
@q5[ksoftirqd/169]: count 544, average 449, total 244654
@q5[kworker/169:11]: count 3, average 6034, total 18104

@uc: count 2749, average 6256, total 17197879

@q1[openssl]: count 490, average 1521, total 745357
@q1[ksoftirqd/169]: count 8, average 2048, total 16390
@q1[kworker/169:11]: count 1, average 13225, total 13225

@q2[openssl]: count 667, average 581, total 387538
@q2[ksoftirqd/169]: count 27, average 772, total 20849
@q2[kworker/169:11]: count 1, average 5039, total 5039


