Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 261, average 1848, total 482441
@q1[ksoftirqd/169]: count 24, average 2022, total 48550

@q2[ksoftirqd/169]: count 65, average 716, total 46544
@q2[openssl]: count 978, average 22235, total 21746143


@q4[openssl]: count 15853, average 1439, total 22824615
@q4[ksoftirqd/169]: count 285, average 1446, total 412127

@q5[openssl]: count 122055, average 431, total 52715662
@q5[ksoftirqd/169]: count 2017, average 433, total 874346

@uc: count 2001, average 41035, total 82112023

@q1[openssl]: count 571, average 1542, total 880580
@q1[ksoftirqd/169]: count 29, average 2231, total 64721

@q2[openssl]: count 2524, average 583, total 1473108
@q2[ksoftirqd/169]: count 92, average 709, total 65314
@q2[kworker/169:1]: count 1, average 7975, total 7975


@q4[openssl]: count 26695, average 952, total 25420203
@q4[ksoftirqd/169]: count 376, average 955, total 359254
@q4[kworker/169:1]: count 15, average 2444, total 36669

@q5[openssl]: count 201198, average 432, total 87049117
@q5[ksoftirqd/169]: count 2708, average 433, total 1175263
@q5[kworker/169:1]: count 117, average 572, total 67039

@uc: count 3445, average 10119, total 34860330

@q1[openssl]: count 571, average 1578, total 901146
@q1[ksoftirqd/169]: count 30, average 1992, total 59789

@q2[openssl]: count 2510, average 584, total 1466804
@q2[ksoftirqd/169]: count 91, average 686, total 62458


@q4[ksoftirqd/169]: count 368, average 938, total 345473
@q4[openssl]: count 26719, average 950, total 25408926

@q5[openssl]: count 201373, average 432, total 87159535
@q5[ksoftirqd/169]: count 2616, average 434, total 1135429

@uc: count 3132, average 5484, total 17179006

@q1[openssl]: count 573, average 1557, total 892219
@q1[ksoftirqd/169]: count 27, average 2158, total 58288

@q2[openssl]: count 2519, average 581, total 1465047
@q2[ksoftirqd/169]: count 85, average 734, total 62469


@q4[openssl]: count 26713, average 950, total 25378749
@q4[ksoftirqd/169]: count 363, average 957, total 347477

@q5[openssl]: count 201462, average 432, total 87200491
@q5[ksoftirqd/169]: count 2643, average 435, total 1152227

@uc: count 3793, average 5876, total 22290589

@q1[openssl]: count 571, average 1598, total 912649
@q1[ksoftirqd/169]: count 30, average 2047, total 61438

@q2[openssl]: count 2502, average 580, total 1453461
@q2[ksoftirqd/169]: count 92, average 686, total 63203


@q4[openssl]: count 26716, average 953, total 25484707
@q4[ksoftirqd/169]: count 359, average 957, total 343662

@q5[ksoftirqd/169]: count 2562, average 432, total 1107846
@q5[openssl]: count 201520, average 432, total 87129128

@uc: count 2986, average 5357, total 15996207

@q1[openssl]: count 566, average 1580, total 894735
@q1[ksoftirqd/169]: count 33, average 2106, total 69514
@q1[kworker/169:0]: count 1, average 15449, total 15449

@q2[openssl]: count 2508, average 585, total 1467959
@q2[ksoftirqd/169]: count 98, average 704, total 69003
@q2[kworker/169:0]: count 4, average 3216, total 12865


@q4[ksoftirqd/169]: count 400, average 943, total 377307
@q4[openssl]: count 26593, average 950, total 25287275
@q4[kworker/169:0]: count 42, average 1552, total 65206

@q5[ksoftirqd/169]: count 2882, average 431, total 1242398
@q5[openssl]: count 200850, average 432, total 86934479
@q5[kworker/169:0]: count 318, average 490, total 155928

@uc: count 3117, average 5336, total 16633237

@q1[openssl]: count 575, average 1527, total 878212
@q1[ksoftirqd/169]: count 27, average 2032, total 54888

@q2[openssl]: count 2533, average 579, total 1467882
@q2[ksoftirqd/169]: count 86, average 701, total 60304
@q2[kworker/169:0]: count 1, average 14638, total 14638


@q4[ksoftirqd/169]: count 346, average 942, total 326042
@q4[openssl]: count 26726, average 951, total 25435779
@q4[kworker/169:0]: count 27, average 1748, total 47215

@q5[openssl]: count 201394, average 432, total 87176942
@q5[ksoftirqd/169]: count 2471, average 433, total 1072121
@q5[kworker/169:0]: count 212, average 498, total 105685

@uc: count 3028, average 4350, total 13173731

@q1[openssl]: count 570, average 1520, total 866688
@q1[ksoftirqd/169]: count 31, average 2173, total 67388

@q2[openssl]: count 2521, average 583, total 1470139
@q2[ksoftirqd/169]: count 89, average 716, total 63751


@q4[openssl]: count 26746, average 952, total 25467397
@q4[ksoftirqd/169]: count 350, average 956, total 334887

@q5[ksoftirqd/169]: count 2517, average 432, total 1089490
@q5[openssl]: count 201588, average 433, total 87300871

@uc: count 3451, average 5381, total 18572319

@q1[openssl]: count 571, average 1531, total 874228
@q1[ksoftirqd/169]: count 29, average 2175, total 63088

@q2[openssl]: count 2530, average 581, total 1470531
@q2[ksoftirqd/169]: count 88, average 722, total 63551


@q4[ksoftirqd/169]: count 326, average 943, total 307624
