Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 10989, average 1683, total 18498778
@q1[ksoftirqd/169]: count 82, average 2532, total 207632
@q1[kworker/169:2]: count 10, average 6204, total 62046

@q2[openssl]: count 11370, average 601, total 6839481
@q2[ksoftirqd/169]: count 109, average 728, total 79427
@q2[kworker/169:2]: count 10, average 1093, total 10939


@q4[openssl]: count 23851, average 1008, total 24043033
@q4[ksoftirqd/169]: count 696, average 1099, total 765386
@q4[kworker/169:2]: count 10, average 1827, total 18276

@q5[openssl]: count 134216, average 430, total 57795877
@q5[ksoftirqd/169]: count 5176, average 434, total 2246669
@q5[kworker/169:2]: count 48, average 523, total 25105

@uc: count 2050, average 37662, total 77207967

@q1[openssl]: count 731, average 2038, total 1490295
@q1[ksoftirqd/169]: count 92, average 2283, total 210112

@q2[openssl]: count 1474, average 612, total 902171
@q2[ksoftirqd/169]: count 166, average 715, total 118801
@q2[kworker/169:2]: count 2, average 9738, total 19476


@q4[openssl]: count 33107, average 972, total 32206657
@q4[ksoftirqd/169]: count 1813, average 978, total 1773921
@q4[kworker/169:2]: count 40, average 1950, total 78028

@q5[openssl]: count 257948, average 430, total 111037688
@q5[ksoftirqd/169]: count 13848, average 434, total 6020074
@q5[kworker/169:2]: count 317, average 562, total 178190

@uc: count 2667, average 11016, total 29381843

@q1[openssl]: count 728, average 2062, total 1501812
@q1[ksoftirqd/169]: count 91, average 2259, total 205645

@q2[openssl]: count 1462, average 613, total 897558
@q2[ksoftirqd/169]: count 165, average 658, total 108633


@q4[ksoftirqd/169]: count 1745, average 966, total 1686328
@q4[openssl]: count 33177, average 970, total 32206162

@q5[openssl]: count 258797, average 430, total 111314407
@q5[ksoftirqd/169]: count 13321, average 431, total 5747216

@uc: count 2573, average 6345, total 16327192

@q1[openssl]: count 729, average 2059, total 1501639
@q1[ksoftirqd/169]: count 86, average 2365, total 203443

@q2[openssl]: count 1434, average 621, total 891528
@q2[ksoftirqd/169]: count 167, average 736, total 122981


@q4[ksoftirqd/169]: count 1739, average 971, total 1689149
@q4[openssl]: count 33178, average 971, total 32238225

@q5[openssl]: count 258831, average 430, total 111452927
@q5[ksoftirqd/169]: count 13291, average 431, total 5730347

@uc: count 1903, average 6072, total 11556445

@q1[openssl]: count 728, average 2069, total 1506361
@q1[ksoftirqd/169]: count 82, average 2193, total 179835
@q1[kworker/169:2]: count 1, average 36147, total 36147

@q2[openssl]: count 1471, average 622, total 915404
@q2[ksoftirqd/169]: count 146, average 661, total 96536
@q2[kworker/169:2]: count 1, average 31540, total 31540


@q4[ksoftirqd/169]: count 1481, average 971, total 1438575
@q4[openssl]: count 33437, average 973, total 32537644
@q4[kworker/169:2]: count 1, average 37390, total 37390

@q5[openssl]: count 260849, average 429, total 112125313
@q5[ksoftirqd/169]: count 11273, average 431, total 4867318
@q5[kworker/169:2]: count 7, average 4882, total 34174

@uc: count 1921, average 5887, total 11310478

@q1[openssl]: count 739, average 2068, total 1528668
@q1[ksoftirqd/169]: count 80, average 2233, total 178658

@q2[openssl]: count 1450, average 616, total 894239
@q2[ksoftirqd/169]: count 147, average 669, total 98359


@q4[ksoftirqd/169]: count 1609, average 968, total 1558734
@q4[openssl]: count 33312, average 971, total 32360850

@q5[openssl]: count 259767, average 429, total 111684002
@q5[ksoftirqd/169]: count 12293, average 430, total 5297709

@uc: count 2035, average 5921, total 12050278

@q1[openssl]: count 736, average 2091, total 1539143
@q1[ksoftirqd/169]: count 85, average 2144, total 182240
@q1[kworker/169:2]: count 1, average 17944, total 17944

@q2[openssl]: count 1458, average 626, total 913963
@q2[ksoftirqd/169]: count 155, average 658, total 102076
@q2[kworker/169:2]: count 1, average 13836, total 13836


@q4[ksoftirqd/169]: count 1438, average 964, total 1386564
@q4[openssl]: count 33477, average 973, total 32590253
