-- Logs begin at Mon 2023-08-21 11:34:55 UTC, end at Mon 2023-08-21 17:48:27 UTC. --
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.943: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[47] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.944: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[49] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.944: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[51] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.944: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[50] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.944: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[52] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.944: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[53] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.945: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[55] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.945: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[54] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.946: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[56] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.965: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[58] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.965: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[57] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.966: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[59] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.966: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[61] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.966: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[60] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.966: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[62] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.967: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[63] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.967: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[64] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.967: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[65] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.967: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[66] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.967: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[68] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.968: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[67] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.968: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[69] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.968: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[70] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.968: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[72] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.968: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[71] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.969: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[73] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.970: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[75] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.971: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[74] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.991: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[76] (../src/amf/ngap-handler.c:623)
Aug 21 17:46:58 open5gs open5gs-amfd[77322]: 08/21 17:46:58.992: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[77] (../src/amf/ngap-handler.c:623)
