Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.





@uc: count 513, average 41792, total 21439767






@uc: count 481, average 36604, total 17606743




@q4[ksoftirqd/169]: count 25931, average 1829, total 47442681

@q5[ksoftirqd/169]: count 206254, average 461, total 95209623

@uc: count 205947, average 2962, total 610018421




@q4[ksoftirqd/169]: count 25573, average 1841, total 47098674

@q5[ksoftirqd/169]: count 203388, average 444, total 90349607

@uc: count 203334, average 3247, total 660310845




@q4[ksoftirqd/169]: count 25581, average 1849, total 47313739

@q5[ksoftirqd/169]: count 203469, average 451, total 91844036

@uc: count 203187, average 3052, total 620305179




@q4[ksoftirqd/169]: count 25959, average 1847, total 47954283

@q5[ksoftirqd/169]: count 206457, average 451, total 93119446

@uc: count 228868, average 2671, total 611525173




@q4[ksoftirqd/169]: count 25551, average 1837, total 46949224

@q5[ksoftirqd/169]: count 203219, average 454, total 92282877

@uc: count 202809, average 3183, total 645685386




@q4[ksoftirqd/169]: count 25415, average 1819, total 46237879

@q5[ksoftirqd/169]: count 202131, average 464, total 93958223

@uc: count 202110, average 3058, total 618244881




@q4[ksoftirqd/169]: count 24275, average 1829, total 44406818

@q5[ksoftirqd/169]: count 193080, average 473, total 91415840

@uc: count 193381, average 3491, total 675193057




@q4[ksoftirqd/169]: count 25295, average 1832, total 46358930

@q5[ksoftirqd/169]: count 201177, average 463, total 93257576

@uc: count 201189, average 3173, total 638554558




@q4[ksoftirqd/169]: count 24758, average 1806, total 44732023

@q5[ksoftirqd/169]: count 196906, average 474, total 93477733

@uc: count 197306, average 2960, total 584115233




@q4[ksoftirqd/169]: count 24054, average 1814, total 43644451

@q5[ksoftirqd/169]: count 191338, average 474, total 90880470

@uc: count 192549, average 3045, total 586385530




@q4[ksoftirqd/169]: count 25493, average 1832, total 46717786

@q5[ksoftirqd/169]: count 202775, average 457, total 92743901

@uc: count 203598, average 2872, total 584843436




@q4[ksoftirqd/169]: count 23599, average 1808, total 42683997

@q5[ksoftirqd/169]: count 187710, average 481, total 90364825

@uc: count 188133, average 3774, total 710143570




@q4[ksoftirqd/169]: count 25275, average 1828, total 46215756

@q5[ksoftirqd/169]: count 201020, average 465, total 93533040

@uc: count 201338, average 2627, total 529067236




@q4[ksoftirqd/169]: count 24971, average 1839, total 45929065

@q5[ksoftirqd/169]: count 198590, average 459, total 91302126

@uc: count 199243, average 2978, total 593429669




@q4[ksoftirqd/169]: count 24356, average 1819, total 44314593

@q5[ksoftirqd/169]: count 193737, average 477, total 92577865

@uc: count 194390, average 2818, total 547797750




@q4[ksoftirqd/169]: count 24730, average 1821, total 45048351

@q5[ksoftirqd/169]: count 196691, average 474, total 93316017

@uc: count 196892, average 3055, total 601591506




@q4[ksoftirqd/169]: count 24804, average 1810, total 44915984

@q5[ksoftirqd/169]: count 197293, average 463, total 91415122

@uc: count 197851, average 2754, total 544976595




@q4[ksoftirqd/169]: count 26476, average 1808, total 47873294

@q5[ksoftirqd/169]: count 210601, average 450, total 94896277

@uc: count 211002, average 2604, total 549537654




@q4[ksoftirqd/169]: count 26170, average 1807, total 47312569

@q5[ksoftirqd/169]: count 208151, average 447, total 93047032

@uc: count 208396, average 2930, total 610755896




@q4[ksoftirqd/169]: count 25194, average 1804, total 45452976

@q5[ksoftirqd/169]: count 200403, average 462, total 92595769

@uc: count 200706, average 2919, total 585915803




@q4[ksoftirqd/169]: count 24934, average 1780, total 44393220

@q5[ksoftirqd/169]: count 198330, average 460, total 91410296

@uc: count 199334, average 3366, total 671071769
