Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.



@q4[ksoftirqd/169]: count 25959, average 1750, total 45450955

@q5[ksoftirqd/169]: count 206482, average 440, total 90968288

@uc: count 195374, average 2670, total 521696859




@q4[ksoftirqd/169]: count 25572, average 1739, total 44474332

@q5[ksoftirqd/169]: count 203407, average 440, total 89688676

@uc: count 192098, average 2836, total 544933604




@q4[ksoftirqd/169]: count 25792, average 1746, total 45046394

@q5[ksoftirqd/169]: count 205153, average 440, total 90417285

@uc: count 193541, average 2871, total 555703111




@q4[ksoftirqd/169]: count 25961, average 1752, total 45488297

@q5[ksoftirqd/169]: count 411658, average 221, total 91168884

@uc: count 195578, average 2648, total 517949844




@q4[ksoftirqd/169]: count 26282, average 1746, total 45914477

@q5[ksoftirqd/169]: count 209054, average 441, total 92305633

@uc: count 197008, average 2835, total 558625403




@q4[ksoftirqd/169]: count 26313, average 1731, total 45549211

@q5[ksoftirqd/169]: count 209298, average 443, total 92913380

@uc: count 196750, average 3392, total 667461953




@q4[ksoftirqd/169]: count 26280, average 1742, total 45791642

@q5[ksoftirqd/169]: count 209037, average 444, total 92994765

@uc: count 196906, average 3379, total 665497543




@q4[ksoftirqd/169]: count 25609, average 1753, total 44912209

@q5[ksoftirqd/169]: count 203696, average 458, total 93432774

@uc: count 195574, average 3530, total 690429269




@q4[ksoftirqd/169]: count 24725, average 1773, total 43854595

@q5[ksoftirqd/169]: count 196672, average 476, total 93804464

@uc: count 190560, average 3501, total 667194052




@q4[ksoftirqd/169]: count 24969, average 1783, total 44538469

@q5[ksoftirqd/169]: count 198616, average 478, total 94959949

@uc: count 191815, average 3454, total 662542358




@q4[ksoftirqd/169]: count 23532, average 1785, total 42019788

@q5[ksoftirqd/169]: count 187187, average 483, total 90531920

@uc: count 181421, average 4069, total 738234778




@q4[ksoftirqd/169]: count 25792, average 1779, total 45894935

@q5[ksoftirqd/169]: count 205152, average 482, total 99085538

@uc: count 199573, average 2928, total 584546621




@q4[ksoftirqd/169]: count 25356, average 1775, total 45028975

@q5[ksoftirqd/169]: count 201687, average 479, total 96741877

@uc: count 195693, average 3223, total 630754464




@q4[ksoftirqd/169]: count 24324, average 1775, total 43179173

@q5[ksoftirqd/169]: count 193486, average 479, total 92811357

@uc: count 186986, average 3978, total 743907448




@q4[ksoftirqd/169]: count 23373, average 1773, total 41443021

@q5[ksoftirqd/169]: count 185896, average 476, total 88575436

@uc: count 193973, average 4272, total 828842653




@q4[ksoftirqd/169]: count 23002, average 1774, total 40824146

@q5[ksoftirqd/169]: count 182969, average 492, total 90125266

@uc: count 178908, average 3977, total 711674795




@q4[ksoftirqd/169]: count 22580, average 1781, total 40219847

