Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.



@q4[ksoftirqd/169]: count 17624, average 1857, total 32730311

@q5[ksoftirqd/169]: count 140190, average 432, total 60593792

@uc: count 164015, average 2138, total 350744232




@q4[ksoftirqd/169]: count 24916, average 1816, total 45254966

@q5[ksoftirqd/169]: count 198178, average 431, total 85476260

@uc: count 195826, average 1744, total 341705253




@q4[ksoftirqd/169]: count 24725, average 1815, total 44896550

@q5[ksoftirqd/169]: count 196659, average 434, total 85371857

@uc: count 194115, average 1736, total 337087435




@q4[ksoftirqd/169]: count 24587, average 1790, total 44018167

@q5[ksoftirqd/169]: count 195562, average 435, total 85084046

@uc: count 192969, average 1762, total 340153192




@q4[ksoftirqd/169]: count 24628, average 1791, total 44111575

@q5[ksoftirqd/169]: count 195888, average 434, total 85180208

@uc: count 193434, average 1791, total 346470345




@q4[ksoftirqd/169]: count 24946, average 1787, total 44597651

@q5[ksoftirqd/169]: count 198427, average 435, total 86344953

@uc: count 196017, average 1781, total 349128503




@q4[ksoftirqd/169]: count 26225, average 1805, total 47343894

@q5[ksoftirqd/169]: count 208603, average 436, total 91005650

@uc: count 207883, average 1812, total 376791564




@q4[ksoftirqd/169]: count 25963, average 1802, total 46799553

@q5[ksoftirqd/169]: count 206510, average 436, total 90038467

@uc: count 205828, average 1951, total 401649402




@q4[ksoftirqd/169]: count 25873, average 1805, total 46701679

@q5[ksoftirqd/169]: count 205791, average 437, total 90079912

@uc: count 205316, average 1945, total 399342583




@q4[ksoftirqd/169]: count 25427, average 1803, total 45850297

@q5[ksoftirqd/169]: count 408041, average 217, total 88619240

@uc: count 201475, average 2247, total 452808163




@q4[ksoftirqd/169]: count 26095, average 1801, total 46998561

@q5[ksoftirqd/169]: count 207540, average 436, total 90625538

@uc: count 207311, average 2022, total 419260533




@q4[ksoftirqd/169]: count 26145, average 1804, total 47174183

@q5[ksoftirqd/169]: count 207929, average 436, total 90804740

@uc: count 207321, average 1860, total 385699342




@q4[ksoftirqd/169]: count 25857, average 1809, total 46794972

@q5[ksoftirqd/169]: count 205642, average 438, total 90190039

@uc: count 204592, average 1899, total 388578890




@q4[ksoftirqd/169]: count 25594, average 1815, total 46454519

@q5[ksoftirqd/169]: count 203579, average 437, total 89099037

@uc: count 201829, average 2009, total 405585416




@q4[ksoftirqd/169]: count 25851, average 1806, total 46711495

@q5[ksoftirqd/169]: count 205622, average 437, total 90020420

@uc: count 203802, average 1875, total 382245169




@q4[ksoftirqd/169]: count 25864, average 1810, total 46815433

@q5[ksoftirqd/169]: count 205728, average 439, total 90387204

@uc: count 204135, average 1901, total 388167189




@q4[ksoftirqd/169]: count 25838, average 1807, total 46690702

@q5[ksoftirqd/169]: count 205515, average 439, total 90296874

@uc: count 203612, average 1988, total 404967882




@q4[ksoftirqd/169]: count 25794, average 1803, total 46515875

@q5[ksoftirqd/169]: count 205161, average 439, total 90160742

@uc: count 203175, average 1928, total 391853837




@q4[ksoftirqd/169]: count 25351, average 1802, total 45685666

@q5[ksoftirqd/169]: count 201638, average 440, total 88760739

@uc: count 201168, average 2281, total 458973167




@q4[ksoftirqd/169]: count 25657, average 1799, total 46157768

@q5[ksoftirqd/169]: count 204080, average 440, total 89822709

@uc: count 207191, average 1900, total 393764359




@q4[ksoftirqd/169]: count 25768, average 1801, total 46431234

@q5[ksoftirqd/169]: count 409042, average 220, total 90226258

@uc: count 204903, average 1868, total 382844406




@q4[ksoftirqd/169]: count 25660, average 1792, total 46001092

@q5[ksoftirqd/169]: count 204095, average 439, total 89624028

@uc: count 204129, average 2252, total 459844774




@q4[ksoftirqd/169]: count 25936, average 1799, total 46667063

@q5[ksoftirqd/169]: count 206297, average 438, total 90415531

@uc: count 205529, average 1982, total 407387587




@q4[ksoftirqd/169]: count 51703, average 895, total 46309395

@q5[ksoftirqd/169]: count 204930, average 438, total 89923246

@uc: count 204375, average 2133, total 436035697




@q4[ksoftirqd/169]: count 25964, average 1797, total 46678973

@q5[ksoftirqd/169]: count 206521, average 438, total 90659696

@uc: count 206052, average 1974, total 406846196




@q4[ksoftirqd/169]: count 25644, average 1801, total 46190164

@q5[ksoftirqd/169]: count 203971, average 439, total 89703625

@uc: count 203182, average 2162, total 439296812




@q4[ksoftirqd/169]: count 25980, average 1796, total 46685483

@q5[ksoftirqd/169]: count 206617, average 439, total 90906366

@uc: count 205873, average 1901, total 391537166




@q4[ksoftirqd/169]: count 26091, average 1801, total 47001820

@q5[ksoftirqd/169]: count 207523, average 439, total 91107421

@uc: count 207076, average 1850, total 383234208




@q4[ksoftirqd/169]: count 25940, average 1792, total 46491942

@q5[ksoftirqd/169]: count 206323, average 439, total 90703865

@uc: count 205976, average 1920, total 395547554




@q4[ksoftirqd/169]: count 25736, average 1800, total 46345453

@q5[ksoftirqd/169]: count 204700, average 439, total 89925709

@uc: count 204034, average 2000, total 408253837




@q4[ksoftirqd/169]: count 25233, average 1799, total 45405383

@q5[ksoftirqd/169]: count 200708, average 439, total 88294712

@uc: count 200379, average 2131, total 427036566




@q4[ksoftirqd/169]: count 25185, average 1802, total 45391074

@q5[ksoftirqd/169]: count 200319, average 441, total 88388022

@uc: count 223426, average 2138, total 477866131




@q4[ksoftirqd/169]: count 25003, average 1801, total 45031169

@q5[ksoftirqd/169]: count 198870, average 439, total 87479847

@uc: count 196978, average 2359, total 464691600




@q4[ksoftirqd/169]: count 25102, average 1807, total 45382762

@q5[ksoftirqd/169]: count 199658, average 441, total 88100785

@uc: count 197434, average 2469, total 487640481




@q4[ksoftirqd/169]: count 25095, average 1800, total 45183350

@q5[ksoftirqd/169]: count 199605, average 440, total 87965606

@uc: count 197270, average 2175, total 429143509




@q4[ksoftirqd/169]: count 25176, average 1801, total 45353594

@q5[ksoftirqd/169]: count 200254, average 440, total 88294100

@uc: count 210452, average 1926, total 405467783




@q4[ksoftirqd/169]: count 24982, average 1801, total 45009359

@q5[ksoftirqd/169]: count 198710, average 440, total 87590815

@uc: count 197176, average 2165, total 426933690




@q4[ksoftirqd/169]: count 25549, average 1786, total 45637226

@q5[ksoftirqd/169]: count 203197, average 439, total 89390685

@uc: count 201107, average 1881, total 378383813




@q4[ksoftirqd/169]: count 25065, average 1800, total 45133776

@q5[ksoftirqd/169]: count 199354, average 441, total 88021564

@uc: count 197425, average 2090, total 412766461




@q4[ksoftirqd/169]: count 25208, average 1793, total 45202546

@q5[ksoftirqd/169]: count 200503, average 440, total 88293107

@uc: count 205978, average 1955, total 402753231




@q4[ksoftirqd/169]: count 25461, average 1805, total 45971352

@q5[ksoftirqd/169]: count 202517, average 440, total 89270551

@uc: count 200768, average 1951, total 391821819




@q4[ksoftirqd/169]: count 25668, average 1789, total 45925898

@q5[ksoftirqd/169]: count 204160, average 440, total 89998014

@uc: count 202441, average 1821, total 368681980




@q4[ksoftirqd/169]: count 25742, average 1809, total 46575052

@q5[ksoftirqd/169]: count 204752, average 441, total 90353010

@uc: count 202828, average 1823, total 369813258




@q4[ksoftirqd/169]: count 25014, average 1809, total 45252562

@q5[ksoftirqd/169]: count 198960, average 441, total 87931269

@uc: count 197620, average 2373, total 468986096




@q4[ksoftirqd/169]: count 25705, average 1793, total 46105380

@q5[ksoftirqd/169]: count 204446, average 439, total 89800310

@uc: count 202770, average 1876, total 380458682




@q4[ksoftirqd/169]: count 25485, average 1807, total 46060240

@q5[ksoftirqd/169]: count 202703, average 441, total 89457805

@uc: count 200444, average 1998, total 400645972




@q4[ksoftirqd/169]: count 25991, average 1799, total 46782943

@q5[ksoftirqd/169]: count 206736, average 439, total 90886324

@uc: count 204308, average 1878, total 383811735




@q4[ksoftirqd/169]: count 25949, average 1799, total 46697090

@q5[ksoftirqd/169]: count 206397, average 439, total 90763628

@uc: count 205114, average 2652, total 544114075




@q4[ksoftirqd/169]: count 26113, average 1814, total 47375368

@q5[ksoftirqd/169]: count 207690, average 440, total 91502996

@uc: count 206164, average 2750, total 567156388




@q4[ksoftirqd/169]: count 26525, average 1806, total 47928395

@q5[ksoftirqd/169]: count 210980, average 440, total 92952849

@uc: count 209241, average 2253, total 471455998




@q4[ksoftirqd/169]: count 25630, average 1784, total 45726982

@q5[ksoftirqd/169]: count 203857, average 447, total 91254110

@uc: count 202824, average 2486, total 504259412




@q4[ksoftirqd/169]: count 25752, average 1794, total 46214076

@q5[ksoftirqd/169]: count 204811, average 451, total 92448767

@uc: count 204041, average 2294, total 468201127




@q4[ksoftirqd/169]: count 26064, average 1816, total 47348318

@q5[ksoftirqd/169]: count 207317, average 442, total 91817004

@uc: count 206785, average 2263, total 468091029




@q4[ksoftirqd/169]: count 25385, average 1807, total 45871986

@q5[ksoftirqd/169]: count 201916, average 442, total 89346079

