Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.



@q4[ksoftirqd/169]: count 17665, average 1829, total 32314633

@q5[ksoftirqd/169]: count 140523, average 436, total 61280135

@uc: count 170178, average 2180, total 371089556




@q4[ksoftirqd/169]: count 25367, average 1744, total 44241622

@q5[ksoftirqd/169]: count 201774, average 433, total 87544801

@uc: count 201166, average 1775, total 357130947




@q4[ksoftirqd/169]: count 25521, average 1739, total 44388965

@q5[ksoftirqd/169]: count 202990, average 435, total 88312674

@uc: count 201026, average 1789, total 359682884




@q4[ksoftirqd/169]: count 25488, average 1755, total 44743912

@q5[ksoftirqd/169]: count 202736, average 435, total 88305808

@uc: count 201924, average 1770, total 357448991




@q4[ksoftirqd/169]: count 25224, average 1730, total 43658771

@q5[ksoftirqd/169]: count 200633, average 441, total 88587326

@uc: count 200534, average 1786, total 358334080




@q4[ksoftirqd/169]: count 25242, average 1730, total 43693524

@q5[ksoftirqd/169]: count 200780, average 439, total 88285370

@uc: count 200235, average 1768, total 354203682




@q4[ksoftirqd/169]: count 25231, average 1756, total 44320560

@q5[ksoftirqd/169]: count 200697, average 439, total 88240894

@uc: count 199986, average 1762, total 352424229




@q4[ksoftirqd/169]: count 25264, average 1746, total 44112772

@q5[ksoftirqd/169]: count 200961, average 440, total 88547471

@uc: count 200273, average 1770, total 354563237




@q4[ksoftirqd/169]: count 25231, average 1757, total 44349912

@q5[ksoftirqd/169]: count 200699, average 442, total 88761600

@uc: count 200262, average 1784, total 357369216




@q4[ksoftirqd/169]: count 25136, average 1748, total 43947773

@q5[ksoftirqd/169]: count 199928, average 439, total 87882257

@uc: count 210053, average 1673, total 351627788




@q4[ksoftirqd/169]: count 25274, average 1745, total 44107829

@q5[ksoftirqd/169]: count 201036, average 439, total 88363872

@uc: count 199633, average 1840, total 367360130




@q4[ksoftirqd/169]: count 25868, average 1767, total 45721636

@q5[ksoftirqd/169]: count 205758, average 435, total 89656741

@uc: count 204454, average 1942, total 397177866




