oai-nrf  | [2023-08-07 13:34:48.449] [config ] [debug] Unknown NF ausf in configuration. Ignored
oai-nrf  | [2023-08-07 13:34:48.449] [config ] [debug] Validating configuration of Log Level
oai-nrf  | [2023-08-07 13:34:48.451] [config ] [info] ==== OPENAIRINTERFACE nrf vBranch: HEAD Abrev. Hash: c50860b Date: Fri Jun 23 11:25:15 2023 +0000 ====
oai-nrf  | [2023-08-07 13:34:48.451] [config ] [info] Basic Configuration:
oai-nrf  | [2023-08-07 13:34:48.451] [config ] [info]   - Log Level..................................: error
oai-nrf  | [2023-08-07 13:34:48.451] [config ] [info]   - http_version...............................: 2
oai-nrf  | [2023-08-07 13:34:48.451] [config ] [info]   nrf:
oai-nrf  | [2023-08-07 13:34:48.451] [config ] [info]     - Host.....................................: oai-nrf
oai-nrf  | [2023-08-07 13:34:48.451] [config ] [info]     - SBI
oai-nrf  | [2023-08-07 13:34:48.451] [config ] [info]       + URL....................................: http://oai-nrf:8080
oai-nrf  | [2023-08-07 13:34:48.451] [config ] [info]       + API Version............................: v1
oai-nrf  | [2023-08-07 13:34:48.451] [config ] [info]       + IPv4 Address ..........................: 192.168.70.130
oai-nrf  | [2023-08-07 13:34:48.451] [config ] [info] Peer NF Configuration:
oai-nrf  | [2023-08-08 20:59:07.348] [nrf_app] [start] Options parsed
oai-nrf  | [2023-08-08 20:59:07.355] [config ] [info] Reading NF configuration from /openair-nrf/etc/config.yaml
oai-nrf  | [2023-08-08 20:59:07.371] [config ] [debug] Unknown NF amf in configuration. Ignored
oai-nrf  | [2023-08-08 20:59:07.371] [config ] [debug] Unknown NF smf in configuration. Ignored
oai-nrf  | [2023-08-08 20:59:07.371] [config ] [debug] Unknown NF udm in configuration. Ignored
oai-nrf  | [2023-08-08 20:59:07.371] [config ] [debug] Unknown NF udr in configuration. Ignored
oai-nrf  | [2023-08-08 20:59:07.371] [config ] [debug] Unknown NF ausf in configuration. Ignored
oai-nrf  | [2023-08-08 20:59:07.371] [config ] [debug] Validating configuration of Log Level
oai-nrf  | [2023-08-08 20:59:07.373] [config ] [info] ==== OPENAIRINTERFACE nrf vBranch: HEAD Abrev. Hash: c50860b Date: Fri Jun 23 11:25:15 2023 +0000 ====
oai-nrf  | [2023-08-08 20:59:07.373] [config ] [info] Basic Configuration:
oai-nrf  | [2023-08-08 20:59:07.373] [config ] [info]   - Log Level..................................: error
oai-nrf  | [2023-08-08 20:59:07.373] [config ] [info]   - http_version...............................: 2
oai-nrf  | [2023-08-08 20:59:07.373] [config ] [info]   nrf:
oai-nrf  | [2023-08-08 20:59:07.373] [config ] [info]     - Host.....................................: oai-nrf
oai-nrf  | [2023-08-08 20:59:07.373] [config ] [info]     - SBI
oai-nrf  | [2023-08-08 20:59:07.373] [config ] [info]       + URL....................................: http://oai-nrf:8080
oai-nrf  | [2023-08-08 20:59:07.373] [config ] [info]       + API Version............................: v1
oai-nrf     | [2023-08-08 20:59:07.373] [config ] [info]       + IPv4 Address ..........................: 192.168.70.130
oai-nrf     | [2023-08-08 20:59:07.373] [config ] [info] Peer NF Configuration:
oai-amf  | [2023-08-09 11:09:50.329] [amf_n2] [error] No UE NGAP context with ran_ue_ngap_id (1932)
oai-amf     | [2023-08-09 11:09:50.329] [amf_n2] [error] No UE NGAP context with ran_ue_ngap_id (1933)
oai-amf     | [2023-08-09 11:09:50.329] [amf_n2] [error] No UE NGAP context with ran_ue_ngap_id (1934)
oai-ext-dn  | default via 192.168.70.129 dev eth0 
oai-ext-dn  | 12.1.1.0/24 via 192.168.70.134 dev eth0 
oai-ext-dn  | 192.168.70.128/26 dev eth0 proto kernel scope link src 192.168.70.135 
oai-ext-dn  | default via 192.168.70.129 dev eth0 
oai-ext-dn  | 12.1.1.0/24 via 192.168.70.134 dev eth0 
oai-ext-dn  | 192.168.70.128/26 dev eth0 proto kernel scope link src 192.168.70.135 
oai-ext-dn  | default via 192.168.70.129 dev eth0 
oai-ext-dn  | 12.1.1.0/24 via 192.168.70.134 dev eth0 
oai-ext-dn  | 192.168.70.128/26 dev eth0 proto kernel scope link src 192.168.70.135 
oai-ext-dn  | default via 192.168.70.129 dev eth0 
oai-ext-dn  | 12.1.1.0/24 via 192.168.70.134 dev eth0 
oai-ext-dn  | 192.168.70.128/26 dev eth0 proto kernel scope link src 192.168.70.135 
oai-ext-dn  | default via 192.168.70.129 dev eth0 
oai-ext-dn  | 12.1.1.0/24 via 192.168.70.134 dev eth0 
oai-ext-dn  | 192.168.70.128/26 dev eth0 proto kernel scope link src 192.168.70.135 
oai-ext-dn  | default via 192.168.70.129 dev eth0 
oai-ext-dn  | 12.1.1.0/24 via 192.168.70.134 dev eth0 
oai-ext-dn  | 192.168.70.128/26 dev eth0 proto kernel scope link src 192.168.70.135 
oai-ext-dn  | default via 192.168.70.129 dev eth0 
oai-ext-dn  | 12.1.1.0/24 via 192.168.70.134 dev eth0 
