Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[swapper/169]: count 244, average 2678, total 653522
@q1[ksoftirqd/169]: count 59, average 3240, total 191217

@q2[swapper/169]: count 379, average 888, total 336782
@q2[ksoftirqd/169]: count 106, average 18770, total 1989686


@q4[swapper/169]: count 14425, average 1033, total 14911932
@q4[ksoftirqd/169]: count 17980, average 1319, total 23731047
@q4[kworker/169:2]: count 63, average 1378, total 86857

@q5[swapper/169]: count 113590, average 460, total 52267815
@q5[kworker/169:2]: count 494, average 471, total 232850
@q5[ksoftirqd/169]: count 142636, average 587, total 83807926

@uc: count 21650, average 3922, total 84913455

@q1[ksoftirqd/169]: count 131, average 2745, total 359595
@q1[swapper/169]: count 462, average 2772, total 1280734

@q2[swapper/169]: count 708, average 672, total 475875
@q2[ksoftirqd/169]: count 202, average 688, total 139090


@q4[swapper/169]: count 21113, average 1029, total 21730281
@q4[ksoftirqd/169]: count 22604, average 1445, total 32668512
@q4[iperf]: count 160, average 1780, total 284936

@q5[swapper/169]: count 166089, average 462, total 76847073
@q5[ksoftirqd/169]: count 179187, average 642, total 115074155
@q5[iperf]: count 1272, average 751, total 956013

@uc: count 31385, average 1811, total 56843633

@q1[swapper/169]: count 439, average 2739, total 1202581
@q1[ksoftirqd/169]: count 128, average 2842, total 363855
@q1[kworker/169:2]: count 1, average 34164, total 34164

@q2[swapper/169]: count 642, average 674, total 433158
@q2[ksoftirqd/169]: count 201, average 687, total 138169
@q2[iperf]: count 2, average 4023, total 8046
@q2[kworker/169:2]: count 1, average 25859, total 25859


@q4[swapper/169]: count 20809, average 1037, total 21590686
@q4[ksoftirqd/169]: count 23407, average 1414, total 33110368
@q4[kworker/169:2]: count 58, average 1571, total 91150
@q4[iperf]: count 15, average 1703, total 25550

@q5[swapper/169]: count 163817, average 465, total 76278754
@q5[kworker/169:2]: count 458, average 500, total 229413
@q5[iperf]: count 115, average 510, total 58736
@q5[ksoftirqd/169]: count 185620, average 629, total 116882681

@uc: count 32780, average 1656, total 54288645

@q1[swapper/169]: count 469, average 2714, total 1273304
@q1[ksoftirqd/169]: count 138, average 2895, total 399640
@q1[kworker/169:2]: count 1, average 19186, total 19186

@q2[ksoftirqd/169]: count 211, average 682, total 143942
@q2[swapper/169]: count 723, average 687, total 497373
@q2[kworker/169:2]: count 1, average 14697, total 14697


@q4[swapper/169]: count 22232, average 1022, total 22726822
@q4[ksoftirqd/169]: count 22175, average 1421, total 31530502
@q4[kworker/169:2]: count 60, average 1524, total 91440

@q5[swapper/169]: count 174831, average 460, total 80481873
@q5[kworker/169:2]: count 475, average 495, total 235457
@q5[ksoftirqd/169]: count 175820, average 630, total 110814454

@uc: count 31529, average 1602, total 50519999

@q1[swapper/169]: count 445, average 2645, total 1177173
@q1[ksoftirqd/169]: count 143, average 2870, total 410430

@q2[swapper/169]: count 671, average 653, total 438614
@q2[ksoftirqd/169]: count 208, average 744, total 154811


@q4[swapper/169]: count 20872, average 1026, total 21419054
@q4[ksoftirqd/169]: count 22948, average 1460, total 33512181

@q5[swapper/169]: count 164112, average 460, total 75650032
@q5[ksoftirqd/169]: count 181952, average 643, total 117087642

@uc: count 29667, average 1624, total 48183342

@q1[swapper/169]: count 446, average 2615, total 1166450
@q1[ksoftirqd/169]: count 136, average 2925, total 397837
@q1[iperf]: count 1, average 25518, total 25518

@q2[swapper/169]: count 699, average 646, total 451814
@q2[ksoftirqd/169]: count 210, average 748, total 157189
@q2[iperf]: count 4, average 3984, total 15939


@q4[swapper/169]: count 21496, average 1036, total 22277134
@q4[ksoftirqd/169]: count 22024, average 1436, total 31646500
@q4[iperf]: count 53, average 1547, total 82010

@q5[swapper/169]: count 169012, average 465, total 78684172
@q5[iperf]: count 412, average 494, total 203679
@q5[ksoftirqd/169]: count 174613, average 637, total 111381505

@uc: count 30923, average 1839, total 56874655

@q1[swapper/169]: count 372, average 2639, total 982033
@q1[ksoftirqd/169]: count 136, average 2841, total 386480

@q2[swapper/169]: count 620, average 657, total 407544
@q2[ksoftirqd/169]: count 208, average 742, total 154507


@q4[swapper/169]: count 19609, average 1050, total 20591236
@q4[ksoftirqd/169]: count 23138, average 1487, total 34417144
@q4[iperf]: count 80, average 2055, total 164456

@q5[swapper/169]: count 154281, average 470, total 72649516
@q5[ksoftirqd/169]: count 183457, average 658, total 120804116
@q5[iperf]: count 636, average 793, total 504930

@uc: count 32526, average 1620, total 52724381

@q1[swapper/169]: count 461, average 2705, total 1247278
@q1[ksoftirqd/169]: count 133, average 2773, total 368821

@q2[swapper/169]: count 717, average 654, total 468981
@q2[ksoftirqd/169]: count 208, average 754, total 157019


@q4[swapper/169]: count 21911, average 1039, total 22766610
@q4[ksoftirqd/169]: count 21722, average 1443, total 31344908

@q5[swapper/169]: count 172317, average 467, total 80480648
@q5[ksoftirqd/169]: count 172186, average 638, total 110003640

@uc: count 30638, average 1659, total 50836073

@q1[swapper/169]: count 443, average 2691, total 1192202
@q1[ksoftirqd/169]: count 130, average 2846, total 370004
@q1[iperf]: count 1, average 25808, total 25808

@q2[swapper/169]: count 697, average 659, total 459362
@q2[ksoftirqd/169]: count 188, average 753, total 141727
@q2[iperf]: count 3, average 5961, total 17884


@q4[swapper/169]: count 20844, average 1043, total 21756655
@q4[ksoftirqd/169]: count 22450, average 1470, total 33017535
@q4[iperf]: count 26, average 2343, total 60935

@q5[swapper/169]: count 163924, average 468, total 76763145
@q5[iperf]: count 200, average 581, total 116393
@q5[ksoftirqd/169]: count 178079, average 650, total 115800850

@uc: count 31904, average 1703, total 54332937

@q1[swapper/169]: count 440, average 2571, total 1131535
@q1[ksoftirqd/169]: count 136, average 2586, total 351724

@q2[swapper/169]: count 697, average 642, total 448028
@q2[ksoftirqd/169]: count 203, average 723, total 146783
@q2[iperf]: count 2, average 10234, total 20468


@q4[swapper/169]: count 20792, average 1041, total 21649359
@q4[ksoftirqd/169]: count 22616, average 1463, total 33101932
@q4[iperf]: count 32, average 2065, total 66105

@q5[swapper/169]: count 163423, average 467, total 76473225
@q5[iperf]: count 252, average 553, total 139509
@q5[ksoftirqd/169]: count 179263, average 648, total 116287408

@uc: count 31604, average 2192, total 69291052

@q1[ksoftirqd/169]: count 137, average 2665, total 365187
@q1[swapper/169]: count 420, average 2713, total 1139755

@q2[swapper/169]: count 654, average 673, total 440515
@q2[ksoftirqd/169]: count 212, average 680, total 144354
@q2[iperf]: count 2, average 11246, total 22493


@q4[swapper/169]: count 20538, average 1044, total 21459296
@q4[ksoftirqd/169]: count 23338, average 1428, total 33337624
@q4[iperf]: count 87, average 1977, total 172084

@q5[swapper/169]: count 161601, average 468, total 75640335
@q5[ksoftirqd/169]: count 185019, average 635, total 117588256
@q5[iperf]: count 686, average 785, total 538559

@uc: count 32991, average 2213, total 73010674

@q1[swapper/169]: count 463, average 2690, total 1245905
@q1[ksoftirqd/169]: count 129, average 2836, total 365920
@q1[iperf]: count 3, average 9808, total 29426

@q2[swapper/169]: count 674, average 654, total 441206
@q2[ksoftirqd/169]: count 186, average 753, total 140094
@q2[iperf]: count 3, average 6762, total 20288


@q4[swapper/169]: count 21083, average 1031, total 21744588
@q4[ksoftirqd/169]: count 22873, average 1444, total 33028891
@q4[iperf]: count 198, average 1635, total 323858

@q5[swapper/169]: count 165757, average 462, total 76704534
@q5[ksoftirqd/169]: count 181429, average 639, total 116039513
@q5[iperf]: count 1563, average 699, total 1092811

@uc: count 29203, average 1867, total 54549448

@q1[ksoftirqd/169]: count 116, average 2686, total 311679
@q1[swapper/169]: count 464, average 2710, total 1257802

@q2[swapper/169]: count 688, average 648, total 446298
@q2[ksoftirqd/169]: count 175, average 770, total 134892


@q4[swapper/169]: count 20872, average 1031, total 21539570
@q4[ksoftirqd/169]: count 23055, average 1450, total 33447201
@q4[iperf]: count 160, average 1784, total 285559

@q5[swapper/169]: count 164193, average 462, total 75878214
@q5[ksoftirqd/169]: count 182845, average 643, total 117571130
@q5[iperf]: count 1273, average 749, total 954173

@uc: count 30723, average 1793, total 55113799

@q1[swapper/169]: count 484, average 2750, total 1331334
@q1[ksoftirqd/169]: count 138, average 2753, total 379943
@q1[iperf]: count 1, average 21941, total 21941

@q2[swapper/169]: count 714, average 652, total 465557
@q2[ksoftirqd/169]: count 199, average 762, total 151804
@q2[iperf]: count 4, average 4024, total 16099
@q2[kworker/169:2]: count 2, average 9312, total 18625


@q4[swapper/169]: count 22076, average 1039, total 22938165
@q4[ksoftirqd/169]: count 21951, average 1427, total 31345419
@q4[iperf]: count 58, average 1480, total 85865
@q4[kworker/169:2]: count 58, average 1573, total 91287

@q5[swapper/169]: count 173575, average 464, total 80586787
@q5[iperf]: count 449, average 485, total 218094
@q5[kworker/169:2]: count 459, average 504, total 231589
@q5[ksoftirqd/169]: count 174047, average 631, total 109945795

@uc: count 31219, average 1816, total 56724552

@q1[swapper/169]: count 444, average 2670, total 1185818
@q1[ksoftirqd/169]: count 141, average 2716, total 383084

@q2[swapper/169]: count 667, average 659, total 439667
@q2[ksoftirqd/169]: count 212, average 720, total 152683
@q2[iperf]: count 2, average 12017, total 24035


@q4[swapper/169]: count 21130, average 1040, total 21979354
@q4[ksoftirqd/169]: count 22722, average 1452, total 33005019
@q4[iperf]: count 34, average 1960, total 66666

@q5[swapper/169]: count 166164, average 465, total 77380825
@q5[iperf]: count 266, average 540, total 143846
@q5[ksoftirqd/169]: count 180175, average 645, total 116331746

@uc: count 31400, average 1633, total 51296542

@q1[ksoftirqd/169]: count 124, average 2759, total 342133
@q1[swapper/169]: count 466, average 2798, total 1304075

@q2[swapper/169]: count 700, average 655, total 458729
@q2[ksoftirqd/169]: count 202, average 756, total 152861


@q4[swapper/169]: count 21062, average 1032, total 21745953
@q4[ksoftirqd/169]: count 22910, average 1442, total 33039827
@q4[iperf]: count 80, average 1945, total 155671

@q5[swapper/169]: count 165688, average 463, total 76749035
@q5[ksoftirqd/169]: count 181647, average 639, total 116110985
@q5[iperf]: count 637, average 750, total 478349

@uc: count 29605, average 1734, total 51340608

@q1[ksoftirqd/169]: count 141, average 2729, total 384885
@q1[swapper/169]: count 473, average 2740, total 1296260

@q2[swapper/169]: count 696, average 656, total 457023
@q2[ksoftirqd/169]: count 214, average 755, total 161650


@q4[swapper/169]: count 21135, average 1040, total 21988993
@q4[ksoftirqd/169]: count 22756, average 1433, total 32609855

@q5[swapper/169]: count 166101, average 465, total 77394291
@q5[ksoftirqd/169]: count 180438, average 635, total 114686354

@uc: count 28497, average 1809, total 51551250

@q1[swapper/169]: count 448, average 2660, total 1191887
@q1[ksoftirqd/169]: count 136, average 2848, total 387390

@q2[swapper/169]: count 662, average 650, total 430588
@q2[ksoftirqd/169]: count 216, average 767, total 165850


@q4[swapper/169]: count 21239, average 1049, total 22282965
@q4[ksoftirqd/169]: count 22520, average 1430, total 32206523

@q5[swapper/169]: count 167095, average 470, total 78549833
@q5[ksoftirqd/169]: count 178538, average 628, total 112271004

@uc: count 30390, average 2131, total 64787810

@q1[ksoftirqd/169]: count 124, average 2642, total 327687
@q1[swapper/169]: count 505, average 2789, total 1408662
@q1[iperf]: count 1, average 23354, total 23354

@q2[swapper/169]: count 723, average 659, total 476565
@q2[ksoftirqd/169]: count 194, average 759, total 147338
@q2[iperf]: count 3, average 4902, total 14708


@q4[swapper/169]: count 22656, average 1030, total 23341682
@q4[ksoftirqd/169]: count 21474, average 1438, total 30882456
@q4[iperf]: count 114, average 1551, total 176900

@q5[swapper/169]: count 178294, average 462, total 82395396
@q5[ksoftirqd/169]: count 170237, average 635, total 108209423
@q5[iperf]: count 902, average 646, total 583234

@uc: count 29627, average 1750, total 51875998

@q1[swapper/169]: count 473, average 2742, total 1297326
@q1[ksoftirqd/169]: count 130, average 2796, total 363596

@q2[swapper/169]: count 706, average 656, total 463276
@q2[ksoftirqd/169]: count 200, average 763, total 152768


@q4[swapper/169]: count 21367, average 1031, total 22050640
@q4[ksoftirqd/169]: count 22413, average 1454, total 32609726
@q4[iperf]: count 80, average 1961, total 156927

@q5[swapper/169]: count 168010, average 462, total 77735754
@q5[ksoftirqd/169]: count 177756, average 645, total 114743941
@q5[iperf]: count 636, average 753, total 479351

@uc: count 30594, average 1712, total 52382093

@q1[swapper/169]: count 491, average 2727, total 1339249
@q1[ksoftirqd/169]: count 129, average 2948, total 380312

@q2[swapper/169]: count 740, average 657, total 486628
@q2[ksoftirqd/169]: count 218, average 744, total 162313
@q2[iperf]: count 2, average 7409, total 14819


@q4[swapper/169]: count 22961, average 1037, total 23813835
@q4[ksoftirqd/169]: count 21531, average 1399, total 30136396
@q4[iperf]: count 23, average 2256, total 51909

@q5[swapper/169]: count 180628, average 463, total 83741430
