Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.





@uc: count 590, average 65740, total 38786673






@uc: count 143, average 14867, total 2125996






@uc: count 214, average 11762, total 2517130






@q2[ksoftirqd/169]: count 178, average 1228, total 218725
@q2[iperf]: count 2, average 8461, total 16922


@q4[ksoftirqd/169]: count 1056, average 1616, total 1707361
@q4[swapper/169]: count 18840, average 1621, total 30554628
@q4[iperf]: count 2, average 8270, total 16541

@q5[swapper/169]: count 145167, average 711, total 103315789
@q5[ksoftirqd/169]: count 7900, average 713, total 5635667
@q5[iperf]: count 8, average 2374, total 18996

@uc: count 20257, average 2838, total 57505674

@q1[swapper/169]: count 385, average 3227, total 1242742
@q1[ksoftirqd/169]: count 76, average 3464, total 263316
@q1[iperf]: count 4, average 12248, total 48992

@q2[swapper/169]: count 1553, average 1042, total 1618690
@q2[ksoftirqd/169]: count 178, average 1102, total 196180
@q2[iperf]: count 4, average 5009, total 20039


@q4[ksoftirqd/169]: count 1068, average 1615, total 1725441
@q4[swapper/169]: count 18829, average 1620, total 30519827
@q4[iperf]: count 4, average 5520, total 22081

@q5[swapper/169]: count 145040, average 710, total 103113802
@q5[ksoftirqd/169]: count 7978, average 711, total 5678914
@q5[iperf]: count 14, average 1955, total 27383

@uc: count 20524, average 3297, total 67686297

@q1[swapper/169]: count 418, average 3315, total 1385852
@q1[ksoftirqd/169]: count 72, average 4013, total 289001
@q1[iperf]: count 5, average 8103, total 40517

@q2[swapper/169]: count 1531, average 1038, total 1589861
@q2[ksoftirqd/169]: count 168, average 1214, total 204055
@q2[iperf]: count 5, average 2829, total 14146


@q4[ksoftirqd/169]: count 1041, average 1617, total 1684066
@q4[swapper/169]: count 18843, average 1633, total 30785347
@q4[iperf]: count 5, average 3945, total 19727

@q5[swapper/169]: count 145244, average 719, total 104479293
@q5[ksoftirqd/169]: count 7818, average 724, total 5667059
@q5[iperf]: count 19, average 1386, total 26338

@uc: count 20139, average 2883, total 58074821

@q1[swapper/169]: count 390, average 3206, total 1250426
@q1[ksoftirqd/169]: count 67, average 3742, total 250756
@q1[iperf]: count 3, average 15121, total 45363

@q2[swapper/169]: count 1568, average 1031, total 1617730
@q2[ksoftirqd/169]: count 161, average 1238, total 199414
@q2[iperf]: count 3, average 7417, total 22251


@q4[ksoftirqd/169]: count 965, average 1616, total 1559446
@q4[swapper/169]: count 18930, average 1624, total 30760603
@q4[iperf]: count 3, average 6482, total 19447

@q5[swapper/169]: count 145838, average 711, total 103816604
@q5[ksoftirqd/169]: count 7216, average 714, total 5159401
@q5[iperf]: count 10, average 2387, total 23875

@uc: count 20338, average 2754, total 56026830

@q1[swapper/169]: count 381, average 3267, total 1245020
@q1[ksoftirqd/169]: count 78, average 3670, total 286265
@q1[iperf]: count 5, average 5354, total 26770

@q2[swapper/169]: count 1561, average 1049, total 1638070
@q2[ksoftirqd/169]: count 163, average 1120, total 182570
@q2[iperf]: count 5, average 2638, total 13194


@q4[ksoftirqd/169]: count 950, average 1607, total 1527269
