Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[swapper/169]: count 226, average 2644, total 597676
@q1[ksoftirqd/169]: count 40, average 3887, total 155510

@q2[ksoftirqd/169]: count 90, average 733, total 66009
@q2[swapper/169]: count 610, average 2277, total 1389059
@q2[iperf]: count 1, average 18244, total 18244


@q4[swapper/169]: count 16108, average 1019, total 16424713
@q4[ksoftirqd/169]: count 16034, average 1351, total 21664964
@q4[iperf]: count 90, average 1617, total 145589
@q4[kworker/169:1]: count 8, average 2544, total 20358

@q5[swapper/169]: count 126383, average 460, total 58226783
@q5[ksoftirqd/169]: count 127212, average 600, total 76342541
@q5[iperf]: count 713, average 723, total 515849
@q5[kworker/169:1]: count 64, average 991, total 63461

@uc: count 20990, average 4458, total 93578436

@q1[swapper/169]: count 453, average 2693, total 1220024
@q1[ksoftirqd/169]: count 108, average 2888, total 311954
@q1[iperf]: count 1, average 27843, total 27843

@q2[swapper/169]: count 1033, average 664, total 686253
@q2[ksoftirqd/169]: count 187, average 694, total 129851
@q2[iperf]: count 4, average 4293, total 17172


@q4[swapper/169]: count 22944, average 1039, total 23846415
@q4[ksoftirqd/169]: count 20760, average 1468, total 30494041
@q4[iperf]: count 21, average 1568, total 32945

@q5[swapper/169]: count 179939, average 467, total 84141220
@q5[iperf]: count 157, average 624, total 98109
@q5[ksoftirqd/169]: count 164699, average 653, total 107587767

@uc: count 31566, average 1622, total 51229763

@q1[ksoftirqd/169]: count 162, average 2668, total 432361
@q1[swapper/169]: count 439, average 2764, total 1213828

@q2[swapper/169]: count 680, average 653, total 444524
@q2[ksoftirqd/169]: count 253, average 767, total 194282


@q4[swapper/169]: count 20442, average 1048, total 21426789
@q4[ksoftirqd/169]: count 23065, average 1434, total 33093196

@q5[swapper/169]: count 160763, average 472, total 75962135
@q5[ksoftirqd/169]: count 182710, average 640, total 116950430

@uc: count 32059, average 1681, total 53903842

@q1[swapper/169]: count 373, average 2694, total 1005135
@q1[ksoftirqd/169]: count 163, average 2946, total 480346

@q2[swapper/169]: count 577, average 655, total 378066
@q2[ksoftirqd/169]: count 243, average 760, total 184706
@q2[iperf]: count 2, average 9377, total 18755
@q2[kworker/169:2]: count 2, average 10089, total 20178


@q4[swapper/169]: count 19900, average 1049, total 20889949
@q4[kworker/169:2]: count 49, average 1375, total 67408
@q4[ksoftirqd/169]: count 23770, average 1420, total 33763067
@q4[iperf]: count 23, average 1646, total 37871

@q5[swapper/169]: count 156741, average 474, total 74368647
@q5[kworker/169:2]: count 388, average 520, total 201936
@q5[ksoftirqd/169]: count 188434, average 636, total 119956225
@q5[iperf]: count 180, average 699, total 125947

@uc: count 33913, average 1784, total 60515882

@q1[swapper/169]: count 429, average 2675, total 1147656
@q1[ksoftirqd/169]: count 176, average 2899, total 510260
@q1[iperf]: count 1, average 30598, total 30598

@q2[swapper/169]: count 639, average 645, total 412560
@q2[ksoftirqd/169]: count 249, average 740, total 184447
@q2[iperf]: count 2, average 11000, total 22001


@q4[swapper/169]: count 21375, average 1044, total 22332875
@q4[ksoftirqd/169]: count 22658, average 1421, total 32212345
@q4[iperf]: count 31, average 1607, total 49833

@q5[swapper/169]: count 168244, average 471, total 79308302
@q5[iperf]: count 242, average 582, total 140997
@q5[ksoftirqd/169]: count 179521, average 637, total 114474225

@uc: count 30437, average 1593, total 48495012

@q1[swapper/169]: count 424, average 2679, total 1136188
@q1[ksoftirqd/169]: count 155, average 2816, total 436615
@q1[iperf]: count 2, average 15639, total 31279

@q2[swapper/169]: count 624, average 649, total 405057
@q2[ksoftirqd/169]: count 234, average 720, total 168524
@q2[kworker/169:2]: count 2, average 7794, total 15589
@q2[iperf]: count 2, average 10745, total 21491


@q4[swapper/169]: count 20645, average 1035, total 21372086
@q4[kworker/169:2]: count 50, average 1133, total 56659
@q4[ksoftirqd/169]: count 23443, average 1421, total 33314851
@q4[iperf]: count 39, average 1451, total 56589

@q5[swapper/169]: count 162514, average 467, total 76017754
@q5[kworker/169:2]: count 394, average 492, total 194162
@q5[iperf]: count 304, average 543, total 165272
@q5[ksoftirqd/169]: count 185838, average 638, total 118575967

@uc: count 31078, average 1628, total 50598277

@q1[swapper/169]: count 435, average 2629, total 1143620
@q1[ksoftirqd/169]: count 141, average 2860, total 403371
@q1[iperf]: count 3, average 8586, total 25759

@q2[swapper/169]: count 623, average 648, total 404237
@q2[ksoftirqd/169]: count 225, average 751, total 169084
@q2[iperf]: count 3, average 5490, total 16471


@q4[swapper/169]: count 20547, average 1036, total 21300393
@q4[iperf]: count 53, average 1146, total 60750
@q4[ksoftirqd/169]: count 23412, average 1429, total 33476220

@q5[swapper/169]: count 161688, average 468, total 75685127
@q5[iperf]: count 411, average 506, total 208372
@q5[ksoftirqd/169]: count 185555, average 641, total 119013436

@uc: count 31196, average 1649, total 51465097

@q1[ksoftirqd/169]: count 162, average 2755, total 446416
@q1[swapper/169]: count 409, average 2815, total 1151364

@q2[ksoftirqd/169]: count 250, average 675, total 168924
@q2[swapper/169]: count 608, average 681, total 414302


@q4[swapper/169]: count 21173, average 1043, total 22094311
@q4[ksoftirqd/169]: count 23078, average 1403, total 32395544

@q5[swapper/169]: count 166805, average 471, total 78631059
@q5[ksoftirqd/169]: count 182900, average 632, total 115597136

