Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 180, average 1369, total 246565
@q1[ksoftirqd/169]: count 11, average 1848, total 20328

@q2[ksoftirqd/169]: count 40, average 1264, total 50578
@q2[openssl]: count 1138, average 4000, total 4552867
@q2[kworker/169:1]: count 1, average 5110, total 5110
@q2[kworker/169:0]: count 1, average 6011, total 6011


@q4[ksoftirqd/169]: count 187, average 946, total 176914
@q4[openssl]: count 13246, average 950, total 12590893
@q4[kworker/169:1]: count 4, average 2064, total 8256
@q4[kworker/169:0]: count 1, average 97312, total 97312

@q5[openssl]: count 99258, average 430, total 42736914
@q5[ksoftirqd/169]: count 1290, average 438, total 565603
@q5[kworker/169:1]: count 29, average 647, total 18767
@q5[kworker/169:0]: count 3, average 6004, total 18014

@uc: count 2289, average 55708, total 127516439

@q1[openssl]: count 435, average 1364, total 593553
@q1[ksoftirqd/169]: count 11, average 2847, total 31319

@q2[openssl]: count 2019, average 584, total 1179423
@q2[ksoftirqd/169]: count 50, average 754, total 37712
@q2[kworker/169:0]: count 1, average 13926, total 13926


@q4[openssl]: count 18088, average 946, total 17120726
@q4[ksoftirqd/169]: count 132, average 959, total 126641
@q4[kworker/169:0]: count 13, average 3767, total 48983

@q5[openssl]: count 135095, average 429, total 58070514
@q5[ksoftirqd/169]: count 894, average 439, total 392829
@q5[kworker/169:0]: count 99, average 740, total 73287

@uc: count 2944, average 6011, total 17696620

@q1[openssl]: count 482, average 1566, total 755244
@q1[ksoftirqd/169]: count 20, average 1677, total 33543
@q1[kworker/169:0]: count 1, average 19216, total 19216

@q2[openssl]: count 2066, average 587, total 1214163
@q2[ksoftirqd/169]: count 67, average 764, total 51254
@q2[kworker/169:0]: count 1, average 13175, total 13175


@q4[ksoftirqd/169]: count 165, average 922, total 152183
@q4[openssl]: count 18080, average 945, total 17088922
@q4[kworker/169:0]: count 1, average 37520, total 37520

@q5[openssl]: count 134971, average 429, total 57948012
@q5[ksoftirqd/169]: count 1051, average 438, total 460517
@q5[kworker/169:0]: count 3, average 9484, total 28454

@uc: count 2647, average 5593, total 14804833

@q1[openssl]: count 430, average 1380, total 593591
@q1[ksoftirqd/169]: count 16, average 1844, total 29515

@q2[openssl]: count 2024, average 578, total 1171792
@q2[ksoftirqd/169]: count 54, average 834, total 45045


@q4[openssl]: count 18094, average 950, total 17189953
@q4[ksoftirqd/169]: count 130, average 984, total 128042

@q5[openssl]: count 135163, average 429, total 58074501
@q5[ksoftirqd/169]: count 839, average 441, total 370338

@uc: count 2424, average 5139, total 12457569

@q1[openssl]: count 426, average 1401, total 597026
@q1[ksoftirqd/169]: count 23, average 1760, total 40496

