Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.





@uc: count 507, average 101174, total 51295282
@q4[ksoftirqd/169]: count 819, average 956, total 783258

@q5[ksoftirqd/169]: count 6078, average 429, total 2613329
@q5[openssl]: count 232004, average 429, total 99693009

@uc: count 2106, average 8340, total 17564117

@q1[openssl]: count 671, average 1740, total 1167909
@q1[ksoftirqd/169]: count 60, average 2013, total 120817

@q2[openssl]: count 1415, average 605, total 857312
@q2[ksoftirqd/169]: count 108, average 658, total 71096


@q4[ksoftirqd/169]: count 663, average 948, total 628959
@q4[openssl]: count 30074, average 954, total 28698339

@q5[openssl]: count 233280, average 429, total 100258846
@q5[ksoftirqd/169]: count 4843, average 431, total 2090125

@uc: count 2253, average 10130, total 22823136

@q1[openssl]: count 685, average 1761, total 1206411
@q1[ksoftirqd/169]: count 51, average 2184, total 111392

@q2[openssl]: count 1412, average 604, total 853556
@q2[ksoftirqd/169]: count 106, average 705, total 74767


@q4[ksoftirqd/169]: count 656, average 943, total 619236
@q4[openssl]: count 30072, average 957, total 28781948

@q5[openssl]: count 233272, average 429, total 100247904
@q5[ksoftirqd/169]: count 4830, average 430, total 2078911

@uc: count 2225, average 8410, total 18714023

@q1[openssl]: count 672, average 1773, total 1191526
@q1[ksoftirqd/169]: count 57, average 2136, total 121797

@q2[openssl]: count 1370, average 598, total 820037
@q2[ksoftirqd/169]: count 118, average 729, total 86050


@q4[ksoftirqd/169]: count 750, average 953, total 715356
@q4[openssl]: count 29958, average 958, total 28705531

@q5[openssl]: count 232519, average 429, total 99913867
@q5[ksoftirqd/169]: count 5525, average 430, total 2379730

@uc: count 2156, average 6266, total 13510751

@q1[openssl]: count 683, average 1795, total 1226573
@q1[ksoftirqd/169]: count 43, average 2128, total 91541

@q2[openssl]: count 1420, average 606, total 861458
@q2[ksoftirqd/169]: count 87, average 665, total 57921


@q4[ksoftirqd/169]: count 464, average 940, total 436432
@q4[openssl]: count 30258, average 958, total 28995957

@q5[openssl]: count 234799, average 429, total 100890680
@q5[ksoftirqd/169]: count 3352, average 433, total 1452954

@uc: count 1966, average 6141, total 12074627

@q1[openssl]: count 686, average 1766, total 1211773
@q1[ksoftirqd/169]: count 47, average 2044, total 96086

@q2[openssl]: count 1410, average 605, total 853503
@q2[ksoftirqd/169]: count 97, average 655, total 63587


@q4[ksoftirqd/169]: count 644, average 944, total 608005
@q4[openssl]: count 30061, average 956, total 28740136

@q5[openssl]: count 233289, average 429, total 100229564
@q5[ksoftirqd/169]: count 4746, average 430, total 2042671

@uc: count 1825, average 6048, total 11038804

@q1[openssl]: count 670, average 1767, total 1184210
@q1[ksoftirqd/169]: count 59, average 1937, total 114296

@q2[openssl]: count 1389, average 599, total 832457
@q2[ksoftirqd/169]: count 122, average 649, total 79202


@q4[ksoftirqd/169]: count 895, average 951, total 851288
@q4[openssl]: count 29840, average 958, total 28602174

@q5[openssl]: count 231502, average 429, total 99544299
@q5[ksoftirqd/169]: count 6651, average 430, total 2863629

@uc: count 2044, average 6119, total 12508256

@q1[openssl]: count 670, average 1758, total 1178471
@q1[ksoftirqd/169]: count 55, average 2148, total 118175

@q2[openssl]: count 1386, average 598, total 830099
@q2[ksoftirqd/169]: count 114, average 667, total 76130


@q4[ksoftirqd/169]: count 932, average 953, total 889116
@q4[openssl]: count 29787, average 959, total 28573653

@q5[openssl]: count 231030, average 429, total 99316323
@q5[ksoftirqd/169]: count 7001, average 430, total 3011205

@uc: count 2145, average 6738, total 14453790

@q1[openssl]: count 663, average 1745, total 1156979
@q1[ksoftirqd/169]: count 57, average 2001, total 114066

@q2[openssl]: count 1401, average 607, total 851553
@q2[ksoftirqd/169]: count 119, average 664, total 79092


@q4[openssl]: count 29987, average 962, total 28855918
@q4[ksoftirqd/169]: count 733, average 970, total 711506

@q5[openssl]: count 232732, average 429, total 100054135
@q5[ksoftirqd/169]: count 5392, average 431, total 2324866

@uc: count 1988, average 6270, total 12465892

@q1[openssl]: count 672, average 1811, total 1217544
@q1[ksoftirqd/169]: count 48, average 2027, total 97323

@q2[openssl]: count 1374, average 611, total 840071
@q2[ksoftirqd/169]: count 107, average 719, total 76998


@q4[ksoftirqd/169]: count 680, average 944, total 642596
@q4[openssl]: count 30014, average 958, total 28773652

@q5[openssl]: count 233090, average 429, total 100075580
@q5[ksoftirqd/169]: count 4996, average 431, total 2153955

@uc: count 1920, average 6108, total 11728392

@q1[openssl]: count 692, average 1802, total 1247486
@q1[ksoftirqd/169]: count 43, average 1939, total 83407

@q2[openssl]: count 1464, average 607, total 888991
@q2[ksoftirqd/169]: count 88, average 666, total 58641


@q4[ksoftirqd/169]: count 575, average 953, total 548301
@q4[openssl]: count 30137, average 955, total 28810342

@q5[openssl]: count 233805, average 429, total 100404567
@q5[ksoftirqd/169]: count 4232, average 432, total 1828518

@uc: count 1837, average 6116, total 11236478

@q1[openssl]: count 670, average 1765, total 1183164
@q1[ksoftirqd/169]: count 57, average 2120, total 120879

@q2[openssl]: count 1379, average 602, total 831460
@q2[ksoftirqd/169]: count 122, average 711, total 86847


@q4[openssl]: count 29857, average 956, total 28571957
@q4[ksoftirqd/169]: count 868, average 958, total 831894

@q5[openssl]: count 231671, average 429, total 99511022
@q5[ksoftirqd/169]: count 6472, average 431, total 2791189

@uc: count 2191, average 7459, total 16344637

@q1[openssl]: count 696, average 1718, total 1195746
@q1[ksoftirqd/169]: count 46, average 2336, total 107492

@q2[openssl]: count 1470, average 597, total 878429
@q2[ksoftirqd/169]: count 90, average 733, total 66005
@q2[kworker/169:1]: count 1, average 15860, total 15860


@q4[ksoftirqd/169]: count 597, average 956, total 570957
@q4[openssl]: count 30118, average 957, total 28830858
