Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 234, average 1406, total 329210
@q1[ksoftirqd/169]: count 2, average 16035, total 32070

@q2[ksoftirqd/169]: count 33, average 775, total 25587
@q2[openssl]: count 1270, average 14566, total 18498989


@q4[openssl]: count 16453, average 947, total 15587031
@q4[ksoftirqd/169]: count 253, average 966, total 244442

@q5[openssl]: count 123441, average 433, total 53496771
@q5[ksoftirqd/169]: count 1861, average 438, total 816376

@uc: count 2478, average 32907, total 81545977

@q1[openssl]: count 431, average 1342, total 578527
@q1[ksoftirqd/169]: count 69, average 1730, total 119417

@q2[openssl]: count 2194, average 567, total 1244794
@q2[ksoftirqd/169]: count 119, average 621, total 73992


@q4[ksoftirqd/169]: count 274, average 891, total 244331
@q4[openssl]: count 22538, average 949, total 21404162

@q5[openssl]: count 168396, average 432, total 72779055
@q5[ksoftirqd/169]: count 1657, average 440, total 729744

@uc: count 3084, average 6427, total 19821438

@q1[openssl]: count 468, average 1351, total 632354
@q1[ksoftirqd/169]: count 32, average 2052, total 65683

@q2[openssl]: count 2252, average 571, total 1287741
@q2[ksoftirqd/169]: count 80, average 651, total 52087


@q4[ksoftirqd/169]: count 226, average 911, total 205910
@q4[openssl]: count 22524, average 949, total 21394591

@q5[openssl]: count 168559, average 431, total 72763003
@q5[ksoftirqd/169]: count 1484, average 436, total 647378

@uc: count 2808, average 5477, total 15381336

@q1[openssl]: count 500, average 1379, total 689809

@q2[openssl]: count 2304, average 567, total 1307751
@q2[ksoftirqd/169]: count 47, average 749, total 35209
@q2[kworker/169:0]: count 1, average 6201, total 6201


@q4[openssl]: count 22554, average 947, total 21365157
@q4[ksoftirqd/169]: count 197, average 961, total 189368
@q4[kworker/169:0]: count 13, average 2145, total 27891

@q5[openssl]: count 168542, average 431, total 72781835
@q5[ksoftirqd/169]: count 1449, average 433, total 627473
@q5[kworker/169:0]: count 101, average 540, total 54593

@uc: count 2634, average 5723, total 15075549

@q1[openssl]: count 501, average 1387, total 695010

@q2[openssl]: count 2292, average 568, total 1303121
@q2[ksoftirqd/169]: count 53, average 729, total 38655


@q4[openssl]: count 22483, average 952, total 21408925
@q4[ksoftirqd/169]: count 257, average 957, total 246164

@q5[openssl]: count 168112, average 432, total 72634404
@q5[ksoftirqd/169]: count 1897, average 434, total 824374

@uc: count 2748, average 6016, total 16532031

@q1[openssl]: count 497, average 1354, total 673124
@q1[ksoftirqd/169]: count 4, average 5984, total 23936

@q2[openssl]: count 2289, average 567, total 1299762
@q2[ksoftirqd/169]: count 55, average 731, total 40226


@q4[openssl]: count 22591, average 950, total 21467800
@q4[ksoftirqd/169]: count 221, average 953, total 210619

@q5[openssl]: count 168501, average 432, total 72868118
@q5[ksoftirqd/169]: count 1594, average 434, total 692255

@uc: count 3029, average 6706, total 20313174

@q1[openssl]: count 429, average 1344, total 576714
@q1[ksoftirqd/169]: count 70, average 1714, total 120049
@q1[kworker/169:0]: count 1, average 14427, total 14427

@q2[openssl]: count 2231, average 554, total 1236466
@q2[ksoftirqd/169]: count 120, average 624, total 74935
@q2[kworker/169:0]: count 2, average 6377, total 12754


@q4[ksoftirqd/169]: count 295, average 887, total 261878
@q4[openssl]: count 22536, average 950, total 21410669
@q4[kworker/169:0]: count 14, average 2582, total 36160

@q5[openssl]: count 168207, average 432, total 72722520
@q5[ksoftirqd/169]: count 1787, average 446, total 798619
@q5[kworker/169:0]: count 108, average 631, total 68186

@uc: count 2554, average 5148, total 13148675

@q1[openssl]: count 473, average 1335, total 631704
@q1[ksoftirqd/169]: count 28, average 2054, total 57516

@q2[openssl]: count 2283, average 553, total 1264645
@q2[ksoftirqd/169]: count 74, average 721, total 53378


@q4[ksoftirqd/169]: count 221, average 936, total 206922
@q4[openssl]: count 22627, average 945, total 21402509

@q5[openssl]: count 168590, average 432, total 72840942
@q5[ksoftirqd/169]: count 1441, average 435, total 627757

@uc: count 2582, average 5269, total 13605340

@q1[openssl]: count 501, average 1366, total 684405

@q2[openssl]: count 2302, average 546, total 1259072
@q2[ksoftirqd/169]: count 49, average 717, total 35156


@q4[openssl]: count 22648, average 947, total 21455712
@q4[ksoftirqd/169]: count 208, average 954, total 198479

@q5[openssl]: count 168566, average 432, total 72841151
@q5[ksoftirqd/169]: count 1502, average 437, total 656379

@uc: count 2588, average 5476, total 14172986

@q1[openssl]: count 500, average 1336, total 668080

@q2[openssl]: count 2303, average 550, total 1268843
@q2[ksoftirqd/169]: count 45, average 731, total 32904
@q2[kworker/169:0]: count 1, average 13425, total 13425


@q4[openssl]: count 22644, average 944, total 21390069
@q4[ksoftirqd/169]: count 192, average 957, total 183861
@q4[kworker/169:0]: count 14, average 3540, total 49560

@q5[openssl]: count 168508, average 431, total 72683521
@q5[ksoftirqd/169]: count 1396, average 433, total 605586
@q5[kworker/169:0]: count 109, average 721, total 78673

@uc: count 3215, average 9493, total 30522145

@q1[openssl]: count 499, average 1343, total 670294
@q1[ksoftirqd/169]: count 3, average 7704, total 23114

@q2[openssl]: count 2293, average 549, total 1260291
@q2[ksoftirqd/169]: count 46, average 834, total 38404


@q4[openssl]: count 22664, average 947, total 21462889
@q4[ksoftirqd/169]: count 187, average 956, total 178950

@q5[openssl]: count 168777, average 431, total 72905486
@q5[ksoftirqd/169]: count 1336, average 433, total 579571

@uc: count 2549, average 5535, total 14110733

@q1[openssl]: count 433, average 1321, total 572333
@q1[ksoftirqd/169]: count 68, average 1809, total 123049

@q2[openssl]: count 2238, average 554, total 1241032
@q2[ksoftirqd/169]: count 116, average 627, total 72820


@q4[ksoftirqd/169]: count 261, average 890, total 232473
@q4[openssl]: count 22564, average 955, total 21568870

@q5[openssl]: count 168503, average 432, total 72925085
@q5[ksoftirqd/169]: count 1540, average 439, total 677299

@uc: count 2615, average 5273, total 13790022

@q1[openssl]: count 474, average 1359, total 644508
@q1[ksoftirqd/169]: count 27, average 1686, total 45546

@q2[openssl]: count 2278, average 553, total 1261293
@q2[ksoftirqd/169]: count 67, average 652, total 43718
@q2[kworker/169:0]: count 2, average 5736, total 11472


@q4[ksoftirqd/169]: count 188, average 914, total 171945
@q4[openssl]: count 22629, average 951, total 21528245
@q4[kworker/169:0]: count 25, average 1434, total 35855

@q5[openssl]: count 168654, average 431, total 72748856
@q5[ksoftirqd/169]: count 1208, average 436, total 527732
@q5[kworker/169:0]: count 190, average 472, total 89798

@uc: count 2737, average 5638, total 15432444

@q1[openssl]: count 503, average 1352, total 680339

@q2[openssl]: count 2301, average 551, total 1269804
@q2[ksoftirqd/169]: count 45, average 737, total 33179
@q2[kworker/169:0]: count 1, average 13596, total 13596


@q4[openssl]: count 22659, average 945, total 21426109
@q4[ksoftirqd/169]: count 183, average 986, total 180529
@q4[kworker/169:0]: count 14, average 3420, total 47892

@q5[openssl]: count 168648, average 431, total 72831082
@q5[ksoftirqd/169]: count 1326, average 432, total 574028
@q5[kworker/169:0]: count 109, average 702, total 76614

@uc: count 3350, average 9958, total 33362564

@q1[openssl]: count 501, average 1357, total 680225
@q1[ksoftirqd/169]: count 1, average 17793, total 17793

@q2[openssl]: count 2303, average 546, total 1258821
@q2[ksoftirqd/169]: count 50, average 807, total 40383
@q2[kworker/169:0]: count 1, average 10200, total 10200


@q4[openssl]: count 22650, average 944, total 21387441
@q4[ksoftirqd/169]: count 198, average 973, total 192811
@q4[kworker/169:0]: count 14, average 3076, total 43071

@q5[openssl]: count 168519, average 431, total 72755734
@q5[ksoftirqd/169]: count 1410, average 437, total 617108
@q5[kworker/169:0]: count 105, average 652, total 68538

@uc: count 2786, average 6519, total 18162184

@q1[openssl]: count 499, average 1328, total 662876
@q1[ksoftirqd/169]: count 4, average 5470, total 21881

@q2[openssl]: count 2285, average 552, total 1262344
@q2[ksoftirqd/169]: count 56, average 728, total 40822


@q4[openssl]: count 22604, average 948, total 21447219
@q4[ksoftirqd/169]: count 229, average 978, total 224030

@q5[openssl]: count 168428, average 432, total 72773264
@q5[ksoftirqd/169]: count 1657, average 435, total 722288

@uc: count 4102, average 33624, total 137928768

@q1[openssl]: count 429, average 1326, total 569202
@q1[ksoftirqd/169]: count 72, average 1657, total 119314

@q2[openssl]: count 2224, average 557, total 1239576
@q2[ksoftirqd/169]: count 124, average 624, total 77387


@q4[ksoftirqd/169]: count 300, average 886, total 266001
@q4[openssl]: count 22541, average 950, total 21423697

@q5[openssl]: count 168250, average 431, total 72587482
@q5[ksoftirqd/169]: count 1805, average 438, total 790775

@uc: count 2592, average 5137, total 13315945

@q1[openssl]: count 477, average 1365, total 651445
@q1[ksoftirqd/169]: count 26, average 1632, total 42450

@q2[openssl]: count 2244, average 559, total 1255949
@q2[ksoftirqd/169]: count 78, average 669, total 52212


@q4[ksoftirqd/169]: count 243, average 930, total 226064
@q4[openssl]: count 22557, average 950, total 21448907

@q5[openssl]: count 168458, average 431, total 72722776
@q5[ksoftirqd/169]: count 1634, average 436, total 712530

@uc: count 3113, average 6928, total 21569948

@q1[openssl]: count 501, average 1354, total 678658

@q2[openssl]: count 2310, average 558, total 1290587
@q2[ksoftirqd/169]: count 46, average 822, total 37841


@q4[openssl]: count 45210, average 475, total 21514143
@q4[ksoftirqd/169]: count 196, average 960, total 188170

@q5[openssl]: count 168638, average 431, total 72833942
@q5[ksoftirqd/169]: count 1422, average 434, total 617986

@uc: count 2684, average 5605, total 15043873

@q1[openssl]: count 500, average 1378, total 689179

@q2[openssl]: count 2296, average 563, total 1294637
@q2[ksoftirqd/169]: count 46, average 748, total 34423


@q4[openssl]: count 22571, average 948, total 21412727
@q4[ksoftirqd/169]: count 212, average 989, total 209786

@q5[openssl]: count 168430, average 431, total 72739208
@q5[ksoftirqd/169]: count 1559, average 433, total 676075

@uc: count 2617, average 5941, total 15549465

@q1[openssl]: count 501, average 1384, total 693746
@q1[ksoftirqd/169]: count 5, average 5161, total 25808

@q2[openssl]: count 2302, average 566, total 1304659
@q2[ksoftirqd/169]: count 55, average 825, total 45417


@q4[openssl]: count 22555, average 945, total 21316726
@q4[ksoftirqd/169]: count 225, average 956, total 215318

@q5[openssl]: count 168466, average 431, total 72676331
@q5[ksoftirqd/169]: count 1640, average 435, total 714865

@uc: count 2613, average 5619, total 14683519

@q1[openssl]: count 433, average 1347, total 583614
@q1[ksoftirqd/169]: count 69, average 1820, total 125637

@q2[openssl]: count 2204, average 563, total 1241824
@q2[ksoftirqd/169]: count 118, average 643, total 75924


@q4[ksoftirqd/169]: count 276, average 922, total 254479
@q4[openssl]: count 22478, average 950, total 21361404

@q5[openssl]: count 168369, average 432, total 72736801
@q5[ksoftirqd/169]: count 1691, average 446, total 755858

@uc: count 3084, average 6554, total 20212981

@q1[openssl]: count 467, average 1408, total 657640
@q1[ksoftirqd/169]: count 34, average 1777, total 60434

@q2[openssl]: count 2277, average 573, total 1306541
@q2[ksoftirqd/169]: count 77, average 733, total 56475
@q2[kworker/169:0]: count 1, average 15970, total 15970


@q4[ksoftirqd/169]: count 215, average 945, total 203284
@q4[openssl]: count 22524, average 951, total 21423469
@q4[kworker/169:0]: count 14, average 3608, total 50525

@q5[openssl]: count 168526, average 432, total 72843718
@q5[ksoftirqd/169]: count 1412, average 436, total 615879
@q5[kworker/169:0]: count 110, average 725, total 79789

@uc: count 2743, average 6176, total 16943398

@q1[openssl]: count 502, average 1398, total 701945

@q2[openssl]: count 2306, average 569, total 1312813
@q2[ksoftirqd/169]: count 44, average 779, total 34305
@q2[kworker/169:0]: count 1, average 10971, total 10971


@q4[openssl]: count 22562, average 950, total 21453854
@q4[ksoftirqd/169]: count 177, average 999, total 176992
@q4[kworker/169:0]: count 14, average 3236, total 45305

@q5[openssl]: count 168636, average 431, total 72831297
@q5[ksoftirqd/169]: count 1307, average 437, total 571650
@q5[kworker/169:0]: count 107, average 652, total 69833

@uc: count 3034, average 10773, total 32687178

@q1[openssl]: count 503, average 1346, total 677489

@q2[openssl]: count 2317, average 553, total 1283526
