Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 457, average 2481, total 1133907
@q1[ksoftirqd/169]: count 69, average 2905, total 200470
@q1[kworker/169:2]: count 4, average 7053, total 28213

@q2[kworker/169:2]: count 5, average 2422, total 12112
@q2[openssl]: count 945, average 3379, total 3193519
@q2[ksoftirqd/169]: count 158, average 53433, total 8442492


@q4[ksoftirqd/169]: count 3966, average 959, total 3804287
@q4[openssl]: count 27294, average 964, total 26325242
@q4[kworker/169:2]: count 17, average 2563, total 43572

@q5[ksoftirqd/169]: count 30869, average 432, total 13341708
@q5[openssl]: count 213746, average 433, total 92558882
@q5[kworker/169:2]: count 128, average 608, total 77843

@uc: count 4193, average 14764, total 61905467

@q1[openssl]: count 902, average 2456, total 2215571
@q1[ksoftirqd/169]: count 153, average 2614, total 400035
@q1[kworker/169:2]: count 1, average 18404, total 18404

@q2[openssl]: count 1528, average 627, total 958971
@q2[ksoftirqd/169]: count 248, average 656, total 162722
@q2[kworker/169:2]: count 1, average 11762, total 11762


@q4[ksoftirqd/169]: count 2907, average 963, total 2801719
@q4[openssl]: count 39654, average 963, total 38197970
@q4[kworker/169:2]: count 45, average 1770, total 79656

@q5[ksoftirqd/169]: count 22413, average 430, total 9642739
@q5[openssl]: count 310892, average 431, total 134115853
@q5[kworker/169:2]: count 355, average 507, total 180223

@uc: count 2330, average 5596, total 13040308

@q1[openssl]: count 844, average 2454, total 2071648
@q1[ksoftirqd/169]: count 155, average 2518, total 390366

@q2[openssl]: count 1522, average 630, total 959635
@q2[ksoftirqd/169]: count 258, average 654, total 168874
@q2[kworker/169:2]: count 1, average 13124, total 13124


@q4[ksoftirqd/169]: count 2994, average 959, total 2872257
@q4[openssl]: count 39418, average 962, total 37929134
@q4[kworker/169:2]: count 50, average 1702, total 85121

@q5[ksoftirqd/169]: count 23050, average 430, total 9922366
@q5[openssl]: count 309044, average 431, total 133356846
@q5[kworker/169:2]: count 397, average 508, total 201968

@uc: count 1932, average 6574, total 12701812

@q1[openssl]: count 832, average 2442, total 2032500
@q1[ksoftirqd/169]: count 162, average 2707, total 438674

@q2[openssl]: count 1531, average 634, total 970773
@q2[ksoftirqd/169]: count 265, average 656, total 174032


@q4[ksoftirqd/169]: count 3065, average 957, total 2935629
@q4[openssl]: count 39423, average 962, total 37963803

@q5[ksoftirqd/169]: count 23619, average 430, total 10178861
@q5[openssl]: count 309140, average 431, total 133454943

@uc: count 2080, average 6517, total 13556398

@q1[openssl]: count 853, average 2442, total 2083408
@q1[ksoftirqd/169]: count 163, average 2634, total 429357

@q2[openssl]: count 1560, average 627, total 978577
@q2[ksoftirqd/169]: count 254, average 689, total 175027


@q4[openssl]: count 40003, average 964, total 38566422
@q4[ksoftirqd/169]: count 2782, average 966, total 2688121

@q5[openssl]: count 313706, average 431, total 135504697
@q5[ksoftirqd/169]: count 21392, average 432, total 9256021

@uc: count 2455, average 6710, total 16474158

@q1[openssl]: count 863, average 2510, total 2166797
@q1[ksoftirqd/169]: count 169, average 2522, total 426312

@q2[openssl]: count 1536, average 633, total 973021
@q2[ksoftirqd/169]: count 260, average 647, total 168239


@q4[ksoftirqd/169]: count 3065, average 960, total 2944275
@q4[openssl]: count 39957, average 963, total 38479086

@q5[ksoftirqd/169]: count 23600, average 430, total 10165842
@q5[openssl]: count 313403, average 431, total 135202613

@uc: count 1908, average 6204, total 11838096

@q1[ksoftirqd/169]: count 162, average 2447, total 396449
@q1[openssl]: count 851, average 2510, total 2136520

@q2[openssl]: count 1536, average 636, total 976906
@q2[ksoftirqd/169]: count 261, average 649, total 169441


@q4[ksoftirqd/169]: count 2898, average 955, total 2767595
@q4[openssl]: count 39948, average 960, total 38387746

@q5[ksoftirqd/169]: count 22262, average 430, total 9581041
@q5[openssl]: count 313397, average 431, total 135132129

@uc: count 1912, average 6548, total 12519834

@q1[openssl]: count 867, average 2508, total 2175132
@q1[ksoftirqd/169]: count 172, average 2671, total 459467

@q2[openssl]: count 1534, average 634, total 973930
@q2[ksoftirqd/169]: count 268, average 655, total 175768


@q4[openssl]: count 40045, average 960, total 38445178
@q4[ksoftirqd/169]: count 3111, average 975, total 3036205

@q5[ksoftirqd/169]: count 24010, average 429, total 10316572
@q5[openssl]: count 314176, average 430, total 135324031

@uc: count 1959, average 6797, total 13315771

@q1[openssl]: count 843, average 2453, total 2068430
@q1[ksoftirqd/169]: count 181, average 2611, total 472726

@q2[openssl]: count 1543, average 637, total 983931
@q2[ksoftirqd/169]: count 268, average 670, total 179647


@q4[openssl]: count 39652, average 961, total 38142462
@q4[ksoftirqd/169]: count 3270, average 982, total 3212722

@q5[ksoftirqd/169]: count 25242, average 429, total 10847120
@q5[openssl]: count 310938, average 431, total 134042048

@uc: count 2444, average 6085, total 14873037

@q1[openssl]: count 917, average 2511, total 2303122
@q1[ksoftirqd/169]: count 176, average 2611, total 459677

@q2[openssl]: count 1523, average 635, total 967160
@q2[ksoftirqd/169]: count 268, average 657, total 176301


@q4[openssl]: count 39813, average 961, total 38283769
@q4[ksoftirqd/169]: count 3326, average 972, total 3235171

@q5[ksoftirqd/169]: count 25666, average 431, total 11069295
@q5[openssl]: count 312216, average 431, total 134650345

@uc: count 2475, average 17337, total 42909653

@q1[openssl]: count 845, average 2473, total 2089808
@q1[ksoftirqd/169]: count 160, average 2726, total 436217

@q2[openssl]: count 1533, average 637, total 977716
@q2[ksoftirqd/169]: count 260, average 687, total 178636


@q4[openssl]: count 39642, average 961, total 38118301
@q4[ksoftirqd/169]: count 3114, average 964, total 3004594
@q4[kworker/169:2]: count 1, average 6231, total 6231

@q5[ksoftirqd/169]: count 24011, average 431, total 10363153
@q5[openssl]: count 310921, average 431, total 134096741
@q5[kworker/169:2]: count 8, average 1105, total 8847

@uc: count 2143, average 6061, total 12990712

@q1[openssl]: count 890, average 2523, total 2246168
@q1[ksoftirqd/169]: count 179, average 2694, total 482310

@q2[ksoftirqd/169]: count 270, average 654, total 176840
@q2[openssl]: count 1548, average 660, total 1022263


@q4[openssl]: count 39989, average 960, total 38391464
@q4[ksoftirqd/169]: count 2990, average 961, total 2873468

@q5[ksoftirqd/169]: count 22999, average 430, total 9894101
@q5[openssl]: count 313587, average 431, total 135183119

@uc: count 1927, average 5744, total 11069994

@q1[openssl]: count 853, average 2485, total 2120382
@q1[ksoftirqd/169]: count 173, average 2585, total 447299

@q2[openssl]: count 1512, average 636, total 962564
@q2[ksoftirqd/169]: count 269, average 651, total 175193


@q4[openssl]: count 39736, average 961, total 38219896
@q4[ksoftirqd/169]: count 3151, average 965, total 3042755

@q5[ksoftirqd/169]: count 24283, average 430, total 10460490
@q5[openssl]: count 311689, average 431, total 134410628

@uc: count 2710, average 5733, total 15536696

@q1[openssl]: count 860, average 2494, total 2145688
@q1[ksoftirqd/169]: count 184, average 2551, total 469467

@q2[openssl]: count 1520, average 638, total 969832
@q2[ksoftirqd/169]: count 293, average 650, total 190504
@q2[kworker/169:2]: count 1, average 13926, total 13926


@q4[openssl]: count 39651, average 961, total 38133953
@q4[ksoftirqd/169]: count 3390, average 968, total 3284350
@q4[kworker/169:2]: count 50, average 1697, total 84860

@q5[ksoftirqd/169]: count 26103, average 431, total 11259988
@q5[openssl]: count 311076, average 431, total 134085679
@q5[kworker/169:2]: count 396, average 512, total 202916

@uc: count 2026, average 7110, total 14405406

@q1[openssl]: count 834, average 2476, total 2065109
@q1[ksoftirqd/169]: count 171, average 2581, total 441482
@q1[kworker/169:2]: count 1, average 15760, total 15760

@q2[openssl]: count 1530, average 636, total 973853
@q2[ksoftirqd/169]: count 270, average 672, total 181636
@q2[kworker/169:2]: count 3, average 4595, total 13785


@q4[openssl]: count 39451, average 961, total 37938495
@q4[ksoftirqd/169]: count 3238, average 992, total 3213579
@q4[kworker/169:2]: count 88, average 1332, total 117259

@q5[ksoftirqd/169]: count 24972, average 430, total 10755457
@q5[openssl]: count 309449, average 431, total 133436898
@q5[kworker/169:2]: count 692, average 466, total 323047

@uc: count 2157, average 7109, total 15335784

@q1[openssl]: count 894, average 2459, total 2198597
@q1[ksoftirqd/169]: count 184, average 2607, total 479728

@q2[openssl]: count 1555, average 631, total 981279
@q2[ksoftirqd/169]: count 261, average 659, total 172201
@q2[kworker/169:2]: count 2, average 8295, total 16591


@q4[ksoftirqd/169]: count 2944, average 957, total 2820178
@q4[openssl]: count 40251, average 963, total 38774297
@q4[kworker/169:2]: count 51, average 1701, total 86761

@q5[ksoftirqd/169]: count 22634, average 430, total 9744496
@q5[openssl]: count 315623, average 431, total 136074199
@q5[kworker/169:2]: count 400, average 514, total 205719

@uc: count 2050, average 6504, total 13333334

@q1[openssl]: count 849, average 2461, total 2089635
@q1[ksoftirqd/169]: count 193, average 2628, total 507334
@q1[kworker/169:2]: count 2, average 12383, total 24767

@q2[openssl]: count 1518, average 629, total 955397
@q2[ksoftirqd/169]: count 274, average 648, total 177743
@q2[kworker/169:2]: count 2, average 6893, total 13786


@q4[openssl]: count 39767, average 965, total 38395343
@q4[ksoftirqd/169]: count 3252, average 981, total 3193072
@q4[kworker/169:2]: count 3, average 13017, total 39053

@q5[ksoftirqd/169]: count 25034, average 431, total 10797612
@q5[openssl]: count 311983, average 431, total 134510861
@q5[kworker/169:2]: count 22, average 1780, total 39171

@uc: count 2459, average 7491, total 18422775

@q1[openssl]: count 852, average 2495, total 2125771
@q1[ksoftirqd/169]: count 178, average 2745, total 488756

@q2[openssl]: count 1546, average 634, total 981485
@q2[ksoftirqd/169]: count 265, average 691, total 183315


@q4[openssl]: count 39957, average 965, total 38597487
@q4[ksoftirqd/169]: count 3078, average 985, total 3034871

@q5[ksoftirqd/169]: count 23728, average 430, total 10217013
@q5[openssl]: count 313396, average 431, total 135172573

@uc: count 2039, average 8360, total 17046739

@q1[openssl]: count 853, average 2484, total 2119610
@q1[ksoftirqd/169]: count 177, average 2671, total 472882

@q2[openssl]: count 1513, average 634, total 960681
@q2[ksoftirqd/169]: count 263, average 656, total 172626


@q4[openssl]: count 40279, average 962, total 38755568
@q4[ksoftirqd/169]: count 2780, average 977, total 2718633

@q5[ksoftirqd/169]: count 21340, average 430, total 9196322
@q5[openssl]: count 316090, average 431, total 136295627

@uc: count 2383, average 5876, total 14003159

@q1[openssl]: count 870, average 2510, total 2184550
