Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 470, average 2532, total 1190244
@q1[ksoftirqd/169]: count 56, average 2547, total 142658
@q1[kworker/169:2]: count 3, average 7253, total 21760

@q2[kworker/169:2]: count 4, average 3063, total 12254
@q2[openssl]: count 978, average 4102, total 4011944
@q2[ksoftirqd/169]: count 124, average 176442, total 21878865


@q4[openssl]: count 27709, average 962, total 26662466
@q4[ksoftirqd/169]: count 3306, average 969, total 3204041
@q4[kworker/169:2]: count 8, average 3959, total 31679

@q5[openssl]: count 216880, average 434, total 94163506
@q5[ksoftirqd/169]: count 25718, average 438, total 11288927
@q5[kworker/169:2]: count 50, average 3682, total 184105

@uc: count 3607, average 23953, total 86399687

@q1[openssl]: count 851, average 2389, total 2033457
@q1[ksoftirqd/169]: count 129, average 2531, total 326624

@q2[openssl]: count 1582, average 644, total 1020194
@q2[ksoftirqd/169]: count 219, average 686, total 150412
@q2[kworker/169:2]: count 2, average 6727, total 13455


@q4[ksoftirqd/169]: count 2191, average 955, total 2093440
@q4[openssl]: count 39879, average 956, total 38138839
@q4[kworker/169:2]: count 46, average 1718, total 79036

@q5[ksoftirqd/169]: count 16784, average 431, total 7243890
@q5[openssl]: count 312532, average 432, total 135179017
@q5[kworker/169:2]: count 359, average 508, total 182448

@uc: count 2313, average 5221, total 12078119

@q1[openssl]: count 846, average 2400, total 2030483
@q1[ksoftirqd/169]: count 129, average 2586, total 333652

@q2[openssl]: count 1583, average 643, total 1018651
@q2[ksoftirqd/169]: count 219, average 671, total 147086


@q4[ksoftirqd/169]: count 2233, average 950, total 2121953
@q4[openssl]: count 39887, average 956, total 38142241

@q5[openssl]: count 312606, average 432, total 135168482
@q5[ksoftirqd/169]: count 17130, average 433, total 7423350

@uc: count 2396, average 6928, total 16601612

@q1[openssl]: count 883, average 2409, total 2127826
@q1[ksoftirqd/169]: count 155, average 2739, total 424670

@q2[openssl]: count 1612, average 646, total 1041986
@q2[ksoftirqd/169]: count 240, average 677, total 162639


@q4[openssl]: count 40019, average 958, total 38351113
@q4[ksoftirqd/169]: count 2402, average 965, total 2318829

@q5[ksoftirqd/169]: count 18412, average 432, total 7959913
@q5[openssl]: count 313597, average 432, total 135724103

@uc: count 1915, average 5843, total 11190031

@q1[openssl]: count 858, average 2442, total 2095981
@q1[ksoftirqd/169]: count 129, average 2556, total 329732

@q2[openssl]: count 1595, average 641, total 1023803
@q2[ksoftirqd/169]: count 226, average 667, total 150848


@q4[openssl]: count 39793, average 956, total 38055490
@q4[ksoftirqd/169]: count 2303, average 963, total 2220055

@q5[ksoftirqd/169]: count 17649, average 432, total 7632551
@q5[openssl]: count 311780, average 432, total 134755136

@uc: count 1890, average 6672, total 12611825

@q1[openssl]: count 858, average 2444, total 2097792
@q1[ksoftirqd/169]: count 138, average 2642, total 364679

@q2[openssl]: count 1578, average 643, total 1015888
@q2[ksoftirqd/169]: count 222, average 687, total 152693


@q4[openssl]: count 40127, average 956, total 38391894
@q4[ksoftirqd/169]: count 2514, average 962, total 2420775

@q5[ksoftirqd/169]: count 19348, average 431, total 8349141
@q5[openssl]: count 314646, average 432, total 135959493

@uc: count 1913, average 6074, total 11621125

@q1[openssl]: count 894, average 2447, total 2188039
@q1[ksoftirqd/169]: count 144, average 2511, total 361684

@q2[openssl]: count 1580, average 643, total 1017505
@q2[ksoftirqd/169]: count 221, average 660, total 145992


@q4[ksoftirqd/169]: count 2447, average 952, total 2330158
@q4[openssl]: count 40372, average 957, total 38659649

@q5[ksoftirqd/169]: count 18774, average 432, total 8117138
@q5[openssl]: count 316433, average 861, total 272726097

@uc: count 2697, average 6578, total 17741700

@q1[openssl]: count 869, average 2450, total 2129138
@q1[ksoftirqd/169]: count 140, average 2670, total 373833
@q1[kworker/169:2]: count 1, average 18855, total 18855

@q2[openssl]: count 1589, average 643, total 1021925
@q2[ksoftirqd/169]: count 226, average 691, total 156366
@q2[kworker/169:2]: count 3, average 5737, total 17212


@q4[openssl]: count 40461, average 957, total 38730256
@q4[ksoftirqd/169]: count 2241, average 960, total 2151477
@q4[kworker/169:2]: count 48, average 1679, total 80631

@q5[ksoftirqd/169]: count 17172, average 432, total 7427731
@q5[openssl]: count 317248, average 432, total 137145394
@q5[kworker/169:2]: count 378, average 515, total 194713

@uc: count 1982, average 6337, total 12561458

@q1[openssl]: count 862, average 2465, total 2125122
@q1[ksoftirqd/169]: count 143, average 2588, total 370166

@q2[openssl]: count 1576, average 644, total 1015892
@q2[ksoftirqd/169]: count 225, average 671, total 151030


@q4[ksoftirqd/169]: count 2339, average 955, total 2234698
@q4[openssl]: count 40286, average 957, total 38561418

