Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 473, average 2415, total 1142662
@q1[ksoftirqd/169]: count 50, average 3360, total 168028

@q2[openssl]: count 1007, average 3247, total 3269816
@q2[kworker/169:2]: count 2, average 6662, total 13325
@q2[ksoftirqd/169]: count 113, average 137446, total 15531495


@q4[openssl]: count 27585, average 963, total 26582982
@q4[ksoftirqd/169]: count 3145, average 1028, total 3233830
@q4[kworker/169:2]: count 38, average 1553, total 59040

@q5[openssl]: count 215753, average 431, total 93156538
@q5[ksoftirqd/169]: count 24459, average 435, total 10650529
@q5[kworker/169:2]: count 239, average 500, total 119614

@uc: count 4178, average 19900, total 83144027

@q1[openssl]: count 848, average 2346, total 1989743
@q1[ksoftirqd/169]: count 109, average 2537, total 276601

@q2[openssl]: count 1601, average 639, total 1024055
@q2[ksoftirqd/169]: count 184, average 685, total 126091


@q4[openssl]: count 39509, average 961, total 37971216
@q4[ksoftirqd/169]: count 1994, average 972, total 1938873

@q5[openssl]: count 309468, average 430, total 133183147
@q5[ksoftirqd/169]: count 15322, average 433, total 6641819

@uc: count 1942, average 5897, total 11453208

@q1[openssl]: count 856, average 2344, total 2007073
@q1[ksoftirqd/169]: count 107, average 2594, total 277632
@q1[kworker/169:2]: count 2, average 8952, total 17904

@q2[openssl]: count 1602, average 633, total 1014976
@q2[ksoftirqd/169]: count 188, average 703, total 132189
@q2[kworker/169:2]: count 2, average 3551, total 7103


@q4[ksoftirqd/169]: count 2024, average 959, total 1942978
@q4[openssl]: count 39836, average 960, total 38273159
@q4[kworker/169:2]: count 2, average 11847, total 23695

@q5[openssl]: count 311974, average 430, total 134194380
@q5[ksoftirqd/169]: count 15529, average 432, total 6721312
@q5[kworker/169:2]: count 13, average 1587, total 20638

@uc: count 1948, average 6787, total 13221093

@q1[openssl]: count 859, average 2410, total 2070517
@q1[ksoftirqd/169]: count 112, average 2595, total 290668

@q2[openssl]: count 1588, average 645, total 1024565
@q2[ksoftirqd/169]: count 189, average 682, total 129046


@q4[openssl]: count 40094, average 964, total 38666813
@q4[ksoftirqd/169]: count 1925, average 970, total 1868762
@q4[kworker/169:2]: count 1, average 23284, total 23284

@q5[openssl]: count 314297, average 430, total 135455521
@q5[ksoftirqd/169]: count 14783, average 435, total 6438554
@q5[kworker/169:2]: count 8, average 2543, total 20348

@uc: count 2545, average 7157, total 18215229

@q1[openssl]: count 902, average 2403, total 2168046
@q1[ksoftirqd/169]: count 130, average 2763, total 359256

@q2[openssl]: count 1625, average 639, total 1039712
@q2[ksoftirqd/169]: count 204, average 705, total 143977


@q4[ksoftirqd/169]: count 2027, average 963, total 1953926
@q4[openssl]: count 40604, average 963, total 39118414

@q5[openssl]: count 318166, average 430, total 136980033
@q5[ksoftirqd/169]: count 15550, average 433, total 6740583

@uc: count 2002, average 6456, total 12926214

@q1[openssl]: count 877, average 2416, total 2119266
@q1[ksoftirqd/169]: count 123, average 2710, total 333360

@q2[openssl]: count 1566, average 635, total 995959
@q2[ksoftirqd/169]: count 205, average 705, total 144667


@q4[openssl]: count 40021, average 964, total 38601942
@q4[ksoftirqd/169]: count 2282, average 968, total 2210452

@q5[openssl]: count 313695, average 430, total 135030342
@q5[ksoftirqd/169]: count 17578, average 432, total 7597195

@uc: count 1884, average 6831, total 12869611

@q1[openssl]: count 890, average 2427, total 2160296
@q1[ksoftirqd/169]: count 122, average 2636, total 321600

@q2[openssl]: count 1608, average 635, total 1022617
@q2[ksoftirqd/169]: count 201, average 700, total 140839


@q4[openssl]: count 80297, average 484, total 38914724
@q4[ksoftirqd/169]: count 2061, average 961, total 1980671

@q5[openssl]: count 315614, average 431, total 136039275
@q5[ksoftirqd/169]: count 15785, average 434, total 6857892

@uc: count 1869, average 5908, total 11042424

@q1[openssl]: count 879, average 2443, total 2147705
@q1[ksoftirqd/169]: count 133, average 2667, total 354827

@q2[openssl]: count 1601, average 638, total 1021819
@q2[ksoftirqd/169]: count 209, average 707, total 147806
@q2[kworker/169:2]: count 1, average 15910, total 15910


@q4[openssl]: count 40178, average 963, total 38695462
@q4[ksoftirqd/169]: count 2374, average 973, total 2311583
@q4[kworker/169:2]: count 10, average 4745, total 47459

@q5[openssl]: count 314922, average 431, total 135813124
@q5[ksoftirqd/169]: count 18287, average 433, total 7936052
@q5[kworker/169:2]: count 78, average 853, total 66555

@uc: count 2306, average 6747, total 15558944

@q1[openssl]: count 880, average 2442, total 2149651
@q1[ksoftirqd/169]: count 123, average 2483, total 305453

@q2[openssl]: count 1602, average 634, total 1016017
@q2[ksoftirqd/169]: count 203, average 701, total 142407
@q2[kworker/169:2]: count 1, average 16171, total 16171


@q4[ksoftirqd/169]: count 2222, average 962, total 2139644
@q4[openssl]: count 40252, average 964, total 38813104
@q4[kworker/169:2]: count 10, average 4688, total 46880

@q5[openssl]: count 315472, average 432, total 136513582
@q5[ksoftirqd/169]: count 16992, average 436, total 7412012
@q5[kworker/169:2]: count 77, average 863, total 66496

@uc: count 1901, average 6051, total 11503051

@q1[openssl]: count 893, average 2452, total 2189800
@q1[ksoftirqd/169]: count 124, average 2581, total 320155

@q2[openssl]: count 1608, average 643, total 1035068
@q2[ksoftirqd/169]: count 191, average 663, total 126648


@q4[openssl]: count 40322, average 962, total 38814138
@q4[ksoftirqd/169]: count 2112, average 974, total 2058860

@q5[openssl]: count 315989, average 430, total 135942657
@q5[ksoftirqd/169]: count 16218, average 434, total 7045429

@uc: count 2404, average 14843, total 35684774

@q1[openssl]: count 904, average 2446, total 2211972
