Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.

@q5[ksoftirqd/169]: count 170750, average 441, total 75384924

@uc: count 6284, average 4218, total 26507145




@q4[ksoftirqd/169]: count 21395, average 1241, total 26562535

@q5[ksoftirqd/169]: count 170139, average 442, total 75273036

@uc: count 5185, average 2675, total 13870248




@q4[ksoftirqd/169]: count 21179, average 1235, total 26164968

@q5[ksoftirqd/169]: count 168497, average 442, total 74489927

@uc: count 8052, average 6314, total 50843768




@q4[ksoftirqd/169]: count 21019, average 1228, total 25824586

@q5[ksoftirqd/169]: count 167208, average 442, total 73987617

@uc: count 16163, average 1350, total 21829273




@q4[ksoftirqd/169]: count 21157, average 1239, total 26219474

@q5[ksoftirqd/169]: count 168338, average 442, total 74505189

@uc: count 6574, average 2943, total 19349028




@q4[ksoftirqd/169]: count 21810, average 1242, total 27093704

@q5[ksoftirqd/169]: count 173450, average 441, total 76662409

@uc: count 5286, average 4898, total 25891194




@q4[ksoftirqd/169]: count 21587, average 1242, total 26819061

@q5[ksoftirqd/169]: count 171743, average 441, total 75867672

@uc: count 5267, average 2513, total 13240079




@q4[ksoftirqd/169]: count 21006, average 1249, total 26246644

@q5[ksoftirqd/169]: count 167080, average 442, total 73980459

@uc: count 6150, average 2305, total 14177652




@q4[ksoftirqd/169]: count 21970, average 1242, total 27298130

@q5[ksoftirqd/169]: count 174767, average 441, total 77159948

@uc: count 4881, average 3380, total 16498404




@q4[ksoftirqd/169]: count 21373, average 1250, total 26719208

@q5[ksoftirqd/169]: count 170048, average 442, total 75297348

@uc: count 5814, average 2581, total 15011605




@q4[ksoftirqd/169]: count 21754, average 1235, total 26879907

@q5[ksoftirqd/169]: count 173048, average 441, total 76323010

@uc: count 4505, average 2930, total 13203588




@q4[ksoftirqd/169]: count 21491, average 1251, total 26893833

@q5[ksoftirqd/169]: count 170943, average 441, total 75488802

@uc: count 2788, average 5749, total 16029327




@q4[ksoftirqd/169]: count 21496, average 1253, total 26949635

@q5[ksoftirqd/169]: count 171034, average 442, total 75636296

@uc: count 3316, average 7693, total 25513168




@q4[ksoftirqd/169]: count 21970, average 1252, total 27518053

@q5[ksoftirqd/169]: count 174749, average 442, total 77309867

@uc: count 4208, average 7291, total 30680700




@q4[ksoftirqd/169]: count 20983, average 1248, total 26195060

@q5[ksoftirqd/169]: count 166948, average 442, total 73906870

@uc: count 5106, average 9474, total 48377174




@q4[ksoftirqd/169]: count 20865, average 1241, total 25904766

@q5[ksoftirqd/169]: count 165888, average 443, total 73515379

@uc: count 8513, average 4129, total 35157348




@q4[ksoftirqd/169]: count 21224, average 1244, total 26420614

@q5[ksoftirqd/169]: count 168799, average 442, total 74742897

@uc: count 5959, average 2936, total 17501119




@q4[ksoftirqd/169]: count 21112, average 1240, total 26196429

@q5[ksoftirqd/169]: count 167972, average 442, total 74383165

@uc: count 7978, average 1953, total 15582143




@q4[ksoftirqd/169]: count 20832, average 1241, total 25865030

@q5[ksoftirqd/169]: count 165682, average 444, total 73573654

@uc: count 7956, average 2078, total 16539604




@q4[ksoftirqd/169]: count 20807, average 1239, total 25788946

@q5[ksoftirqd/169]: count 165546, average 444, total 73611795

@uc: count 8226, average 2174, total 17890808




@q4[ksoftirqd/169]: count 20553, average 1239, total 25483445

@q5[ksoftirqd/169]: count 163454, average 443, total 72563131

@uc: count 9368, average 2266, total 21231697




@q4[ksoftirqd/169]: count 21325, average 1242, total 26494445

@q5[ksoftirqd/169]: count 169617, average 442, total 75067715

@uc: count 6373, average 4026, total 25659903




@q4[ksoftirqd/169]: count 21424, average 1237, total 26518106

@q5[ksoftirqd/169]: count 170453, average 441, total 75261799

@uc: count 6214, average 2205, total 13702325

@q1[swapper/169]: count 188, average 2941, total 553013
@q1[kworker/169:2]: count 8, average 4044, total 32352
@q1[ksoftirqd/169]: count 24, average 4056, total 97352

@q2[swapper/169]: count 233, average 681, total 158731
@q2[kworker/169:2]: count 8, average 1261, total 10088
@q2[ksoftirqd/169]: count 42, average 1547, total 64974


@q4[swapper/169]: count 3523, average 1059, total 3732317
@q4[ksoftirqd/169]: count 23605, average 1219, total 28784845
@q4[kworker/169:2]: count 15, average 1392, total 20888

@q5[ksoftirqd/169]: count 187664, average 468, total 87980380
@q5[swapper/169]: count 27454, average 481, total 13210052
@q5[kworker/169:2]: count 105, average 532, total 55893

@uc: count 10542, average 3528, total 37199651
