Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 487, average 2583, total 1257971
@q1[ksoftirqd/169]: count 103, average 3016, total 310701
@q1[kworker/169:1]: count 5, average 5875, total 29376

@q2[openssl]: count 963, average 1834, total 1766724
@q2[kworker/169:1]: count 5, average 2400, total 12002
@q2[ksoftirqd/169]: count 161, average 73150, total 11777279


@q4[ksoftirqd/169]: count 4294, average 959, total 4120634
@q4[openssl]: count 28011, average 961, total 26922702
@q4[kworker/169:1]: count 8, average 4202, total 33622

@q5[openssl]: count 219590, average 432, total 94951735
@q5[ksoftirqd/169]: count 33483, average 439, total 14724325
@q5[kworker/169:1]: count 49, average 889, total 43580

@uc: count 4384, average 22677, total 99416205

@q1[openssl]: count 930, average 2548, total 2370384
@q1[ksoftirqd/169]: count 199, average 2650, total 527498

@q2[openssl]: count 1580, average 658, total 1040013
@q2[ksoftirqd/169]: count 281, average 690, total 194017


@q4[ksoftirqd/169]: count 3412, average 953, total 3253503
@q4[openssl]: count 40055, average 958, total 38394123

@q5[ksoftirqd/169]: count 26314, average 431, total 11347745
@q5[openssl]: count 314111, average 431, total 135684429

@uc: count 1993, average 6020, total 11998119

@q1[openssl]: count 1046, average 2561, total 2679718
@q1[ksoftirqd/169]: count 210, average 2732, total 573918

@q2[openssl]: count 1600, average 651, total 1042734
@q2[ksoftirqd/169]: count 278, average 680, total 189084
@q2[kworker/169:0]: count 1, average 14438, total 14438


@q4[openssl]: count 40256, average 959, total 38630692
@q4[ksoftirqd/169]: count 3700, average 969, total 3587694
@q4[kworker/169:0]: count 52, average 1705, total 88710

@q5[openssl]: count 315446, average 431, total 136117043
@q5[ksoftirqd/169]: count 28622, average 432, total 12372753
@q5[kworker/169:0]: count 412, average 513, total 211365

@uc: count 2166, average 7086, total 15348607

@q1[openssl]: count 976, average 2527, total 2466947
@q1[ksoftirqd/169]: count 208, average 2728, total 567590
@q1[kworker/169:0]: count 1, average 18545, total 18545

@q2[openssl]: count 1570, average 657, total 1032402
@q2[ksoftirqd/169]: count 273, average 682, total 186416
@q2[kworker/169:0]: count 2, average 7233, total 14467


@q4[ksoftirqd/169]: count 3636, average 959, total 3487796
@q4[openssl]: count 40307, average 963, total 38825314
@q4[kworker/169:0]: count 53, average 1691, total 89639

@q5[openssl]: count 315908, average 431, total 136390171
@q5[ksoftirqd/169]: count 28099, average 432, total 12153813
@q5[kworker/169:0]: count 417, average 513, total 214175

@uc: count 2235, average 6482, total 14487438

@q1[openssl]: count 1093, average 2565, total 2804362
@q1[ksoftirqd/169]: count 200, average 2647, total 529496

@q2[openssl]: count 1623, average 651, total 1057963
@q2[ksoftirqd/169]: count 266, average 674, total 179286


@q4[ksoftirqd/169]: count 3646, average 963, total 3511246
@q4[openssl]: count 40377, average 963, total 38889967

@q5[ksoftirqd/169]: count 28192, average 431, total 12154701
@q5[openssl]: count 316404, average 431, total 136506262

@uc: count 1914, average 6385, total 12222734

@q1[openssl]: count 150, average 2679, total 401872
@q1[ksoftirqd/169]: count 23, average 3117, total 71704

@q2[openssl]: count 202, average 714, total 144351
@q2[ksoftirqd/169]: count 31, average 826, total 25619


@q4[openssl]: count 5148, average 967, total 4981984
@q4[ksoftirqd/169]: count 18888, average 1252, total 23665909

@q5[ksoftirqd/169]: count 150159, average 431, total 64744471
@q5[openssl]: count 40312, average 432, total 17443899

@uc: count 5546, average 6090, total 33780313




@q4[ksoftirqd/169]: count 17196, average 1295, total 22276056

@q5[ksoftirqd/169]: count 136755, average 439, total 60087175

@uc: count 5289, average 11485, total 60748125




@q4[ksoftirqd/169]: count 17712, average 1273, total 22559399

@q5[ksoftirqd/169]: count 140867, average 437, total 61608594

@uc: count 5848, average 3307, total 19344265




@q4[ksoftirqd/169]: count 17432, average 1306, total 22776573

@q5[ksoftirqd/169]: count 138641, average 440, total 61067490

@uc: count 3899, average 5120, total 19966117




@q4[ksoftirqd/169]: count 17592, average 1278, total 22488837

@q5[ksoftirqd/169]: count 139913, average 437, total 61257930

@uc: count 4581, average 3764, total 17246293




@q4[ksoftirqd/169]: count 17217, average 1304, total 22467798

@q5[ksoftirqd/169]: count 136993, average 442, total 60563639

@uc: count 4657, average 15588, total 72597107




@q4[ksoftirqd/169]: count 17568, average 1297, total 22801509

@q5[ksoftirqd/169]: count 139765, average 439, total 61451794

@uc: count 4393, average 8011, total 35193014




@q4[ksoftirqd/169]: count 17383, average 1293, total 22485453

@q5[ksoftirqd/169]: count 138295, average 440, total 60939654

@uc: count 4871, average 6647, total 32381263




@q4[ksoftirqd/169]: count 17364, average 1290, total 22400758

@q5[ksoftirqd/169]: count 138087, average 439, total 60645749

@uc: count 5492, average 3569, total 19601170




@q4[ksoftirqd/169]: count 17627, average 1285, total 22655764

@q5[ksoftirqd/169]: count 140247, average 438, total 61449877

@uc: count 5046, average 3693, total 18637839




@q4[ksoftirqd/169]: count 17334, average 1286, total 22295406

@q5[ksoftirqd/169]: count 137853, average 438, total 60460143

@uc: count 5142, average 7888, total 40563336




@q4[ksoftirqd/169]: count 17168, average 1299, total 22311904

@q5[ksoftirqd/169]: count 136541, average 440, total 60144265

@uc: count 4228, average 4539, total 19191706




@q4[ksoftirqd/169]: count 17648, average 1293, total 22823255

@q5[ksoftirqd/169]: count 140358, average 438, total 61547900

@uc: count 4480, average 4227, total 18939964




@q4[ksoftirqd/169]: count 17136, average 1296, total 22225338

@q5[ksoftirqd/169]: count 136287, average 437, total 59608563

@uc: count 4215, average 5354, total 22569434




@q4[ksoftirqd/169]: count 17224, average 1285, total 22134685

@q5[ksoftirqd/169]: count 136986, average 439, total 60233203

@uc: count 5848, average 3646, total 21326327




@q4[ksoftirqd/169]: count 17576, average 1297, total 22807385

@q5[ksoftirqd/169]: count 139785, average 438, total 61261823

@uc: count 4693, average 10440, total 48998960




@q4[ksoftirqd/169]: count 17480, average 1274, total 22285194

@q5[ksoftirqd/169]: count 139023, average 438, total 60985876

@uc: count 5702, average 4299, total 24515557




@q4[ksoftirqd/169]: count 17080, average 1265, total 21613717

@q5[ksoftirqd/169]: count 135841, average 437, total 59378047

@uc: count 6919, average 3258, total 22547871




@q4[ksoftirqd/169]: count 17228, average 1299, total 22390004

@q5[ksoftirqd/169]: count 137074, average 443, total 60759861

@uc: count 7128, average 3608, total 25719536




@q4[ksoftirqd/169]: count 17425, average 1285, total 22405513

@q5[ksoftirqd/169]: count 138633, average 440, total 61018176

@uc: count 7626, average 3025, total 23069813




@q4[ksoftirqd/169]: count 17293, average 1285, total 22228710

@q5[ksoftirqd/169]: count 137527, average 439, total 60488833

@uc: count 6604, average 3082, total 20355680




@q4[ksoftirqd/169]: count 17456, average 1289, total 22509934

@q5[ksoftirqd/169]: count 138831, average 437, total 60751609

@uc: count 7688, average 3111, total 23924516




@q4[ksoftirqd/169]: count 17208, average 1284, total 22107474

@q5[ksoftirqd/169]: count 136859, average 440, total 60273150

@uc: count 7160, average 3374, total 24160971




@q4[ksoftirqd/169]: count 17416, average 1283, total 22356689

@q5[ksoftirqd/169]: count 138513, average 439, total 60943170

@uc: count 6550, average 3028, total 19833481




@q4[ksoftirqd/169]: count 17486, average 1287, total 22521301

@q5[ksoftirqd/169]: count 139127, average 438, total 61005211

@uc: count 7535, average 2905, total 21890205




@q4[ksoftirqd/169]: count 17331, average 1297, total 22489262

@q5[ksoftirqd/169]: count 137884, average 439, total 60601439

@uc: count 7244, average 3107, total 22511295




@q4[ksoftirqd/169]: count 17418, average 1286, total 22403203

@q5[ksoftirqd/169]: count 138537, average 437, total 60613916

@uc: count 8128, average 7330, total 59579933




@q4[ksoftirqd/169]: count 17165, average 1295, total 22234167

@q5[ksoftirqd/169]: count 136477, average 438, total 59802417

@uc: count 7064, average 3307, total 23363584




@q4[ksoftirqd/169]: count 17568, average 1271, total 22329777

@q5[ksoftirqd/169]: count 139722, average 439, total 61387353

@uc: count 10029, average 2525, total 25324118




@q4[ksoftirqd/169]: count 17704, average 1268, total 22453761

@q5[ksoftirqd/169]: count 140860, average 438, total 61711356

@uc: count 11330, average 2281, total 25852172




@q4[ksoftirqd/169]: count 16979, average 1305, total 22168391

@q5[ksoftirqd/169]: count 135078, average 444, total 59974931

@uc: count 9246, average 2765, total 25569368




@q4[ksoftirqd/169]: count 16943, average 1345, total 22795068

@q5[ksoftirqd/169]: count 134799, average 448, total 60464661

@uc: count 9074, average 2729, total 24770844




@q4[ksoftirqd/169]: count 17231, average 1283, total 22119088

@q5[ksoftirqd/169]: count 137090, average 440, total 60326888

@uc: count 9078, average 2731, total 24797446




@q4[ksoftirqd/169]: count 16924, average 1301, total 22019648

@q5[ksoftirqd/169]: count 134592, average 442, total 59561324

@uc: count 8908, average 2932, total 26120076




@q4[ksoftirqd/169]: count 17032, average 1297, total 22096159

@q5[ksoftirqd/169]: count 135460, average 439, total 59576254

@uc: count 8028, average 3381, total 27149988




@q4[ksoftirqd/169]: count 17576, average 1265, total 22240049

@q5[ksoftirqd/169]: count 139785, average 438, total 61241140

@uc: count 7052, average 2975, total 20980244




@q4[ksoftirqd/169]: count 17379, average 1276, total 22188503

@q5[ksoftirqd/169]: count 138272, average 438, total 60597959

@uc: count 6988, average 8263, total 57748322




@q4[ksoftirqd/169]: count 17135, average 1288, total 22085607

@q5[ksoftirqd/169]: count 136268, average 438, total 59773025

@uc: count 6815, average 3387, total 23087077




@q4[ksoftirqd/169]: count 17336, average 1290, total 22374649

@q5[ksoftirqd/169]: count 137877, average 440, total 60706251

@uc: count 7847, average 3162, total 24812619




@q4[ksoftirqd/169]: count 17288, average 1293, total 22354684

@q5[ksoftirqd/169]: count 137552, average 439, total 60470921

@uc: count 7162, average 2877, total 20611155




@q4[ksoftirqd/169]: count 17318, average 1276, total 22099903

@q5[ksoftirqd/169]: count 137782, average 437, total 60266878

@uc: count 7260, average 2963, total 21516196




@q4[ksoftirqd/169]: count 17377, average 1280, total 22253300

@q5[ksoftirqd/169]: count 138243, average 438, total 60566819

@uc: count 6355, average 3488, total 22169544




@q4[ksoftirqd/169]: count 17354, average 1306, total 22676580

@q5[ksoftirqd/169]: count 138067, average 439, total 60722662

@uc: count 6681, average 3485, total 23287323




@q4[ksoftirqd/169]: count 17340, average 1288, total 22334653

@q5[ksoftirqd/169]: count 137901, average 438, total 60500545

@uc: count 7364, average 2881, total 21221778




@q4[ksoftirqd/169]: count 17504, average 1308, total 22899818

@q5[ksoftirqd/169]: count 139213, average 439, total 61131095

@uc: count 6871, average 3282, total 22552175




@q4[ksoftirqd/169]: count 17352, average 1298, total 22530164

@q5[ksoftirqd/169]: count 138004, average 436, total 60255645

@uc: count 7904, average 3031, total 23964777




@q4[ksoftirqd/169]: count 17457, average 1275, total 22275130

@q5[ksoftirqd/169]: count 138848, average 436, total 60581355

@uc: count 9770, average 3486, total 34061817




@q4[ksoftirqd/169]: count 17254, average 1273, total 21969232

@q5[ksoftirqd/169]: count 137216, average 436, total 59955657

@uc: count 8628, average 5938, total 51240883




@q4[ksoftirqd/169]: count 17432, average 1292, total 22532286

@q5[ksoftirqd/169]: count 138641, average 436, total 60503672

@uc: count 8039, average 2955, total 23762910




@q4[ksoftirqd/169]: count 17542, average 1269, total 22273444

@q5[ksoftirqd/169]: count 139531, average 433, total 60446392

@uc: count 10174, average 2560, total 26052487




@q4[ksoftirqd/169]: count 17544, average 1259, total 22100600

@q5[ksoftirqd/169]: count 139523, average 434, total 60627575

@uc: count 9167, average 2834, total 25985746




@q4[ksoftirqd/169]: count 17528, average 1295, total 22707085

@q5[ksoftirqd/169]: count 139404, average 438, total 61157424

@uc: count 9632, average 2390, total 23026513

@q1[swapper/169]: count 119, average 3400, total 404634
@q1[ksoftirqd/169]: count 7, average 3429, total 24005

@q2[swapper/169]: count 142, average 719, total 102110
@q2[ksoftirqd/169]: count 14, average 3544, total 49622


@q4[swapper/169]: count 1770, average 1032, total 1827808
@q4[ksoftirqd/169]: count 20679, average 1241, total 25669980

@q5[ksoftirqd/169]: count 164429, average 450, total 74120864
@q5[swapper/169]: count 13811, average 455, total 6296793

@uc: count 10709, average 2357, total 25247388
