Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 512, average 2540, total 1300777
@q1[ksoftirqd/169]: count 83, average 2942, total 244190
@q1[kworker/169:2]: count 1, average 15479, total 15479

@q2[openssl]: count 977, average 2713, total 2651548
@q2[kworker/169:2]: count 2, average 3146, total 6293
@q2[ksoftirqd/169]: count 145, average 33353, total 4836276


@q4[ksoftirqd/169]: count 3772, average 967, total 3650819
@q4[openssl]: count 28187, average 968, total 27298013
@q4[kworker/169:2]: count 26, average 1972, total 51276

@q5[openssl]: count 220834, average 432, total 95532566
@q5[ksoftirqd/169]: count 29397, average 444, total 13062426
@q5[kworker/169:2]: count 193, average 531, total 102623

@uc: count 4583, average 16884, total 77383882

@q1[openssl]: count 1022, average 2514, total 2570241
@q1[ksoftirqd/169]: count 168, average 2797, total 469983
@q1[kworker/169:2]: count 1, average 19287, total 19287

@q2[openssl]: count 1635, average 634, total 1037979
@q2[ksoftirqd/169]: count 217, average 674, total 146294
@q2[kworker/169:2]: count 1, average 10340, total 10340


@q4[openssl]: count 41142, average 966, total 39744383
@q4[ksoftirqd/169]: count 2376, average 974, total 2315633
@q4[kworker/169:2]: count 1, average 39544, total 39544

@q5[openssl]: count 322351, average 431, total 139043153
@q5[ksoftirqd/169]: count 18286, average 433, total 7920616
@q5[kworker/169:2]: count 7, average 5032, total 35225

@uc: count 1914, average 6263, total 11987827

@q1[openssl]: count 1078, average 2495, total 2690670
@q1[ksoftirqd/169]: count 169, average 2645, total 447079

@q2[openssl]: count 1668, average 634, total 1057762
@q2[ksoftirqd/169]: count 214, average 692, total 148149


@q4[ksoftirqd/169]: count 2183, average 961, total 2098874
@q4[openssl]: count 41423, average 968, total 40099429

@q5[openssl]: count 324373, average 431, total 139921953
@q5[ksoftirqd/169]: count 16711, average 433, total 7237524

@uc: count 1901, average 5826, total 11075738

@q1[openssl]: count 1106, average 2537, total 2805988
@q1[ksoftirqd/169]: count 173, average 2869, total 496414

@q2[openssl]: count 1668, average 644, total 1075452
@q2[ksoftirqd/169]: count 233, average 674, total 157118


@q4[openssl]: count 41227, average 969, total 39986082
@q4[ksoftirqd/169]: count 2489, average 995, total 2477470

@q5[openssl]: count 322931, average 431, total 139476465
@q5[ksoftirqd/169]: count 19147, average 432, total 8279507

@uc: count 2252, average 5176, total 11656928

@q1[openssl]: count 1175, average 2644, total 3107745
@q1[ksoftirqd/169]: count 152, average 2789, total 424068

@q2[openssl]: count 1628, average 630, total 1026600
@q2[ksoftirqd/169]: count 232, average 710, total 164945


@q4[openssl]: count 42029, average 965, total 40585009
@q4[ksoftirqd/169]: count 2594, average 1001, total 2598363

@q5[openssl]: count 329406, average 431, total 142124131
@q5[ksoftirqd/169]: count 19977, average 434, total 8672737

@uc: count 2402, average 6440, total 15470326

@q1[ksoftirqd/169]: count 148, average 2613, total 386753
@q1[openssl]: count 1272, average 2671, total 3398040
@q1[kworker/169:2]: count 1, average 17273, total 17273

@q2[openssl]: count 1689, average 643, total 1087382
@q2[ksoftirqd/169]: count 209, average 664, total 138864
@q2[kworker/169:2]: count 1, average 13315, total 13315


@q4[ksoftirqd/169]: count 2038, average 964, total 1965121
@q4[openssl]: count 42118, average 966, total 40687340
@q4[kworker/169:2]: count 51, average 1733, total 88422

@q5[openssl]: count 329956, average 431, total 142214374
@q5[ksoftirqd/169]: count 15612, average 433, total 6760593
@q5[kworker/169:2]: count 404, average 513, total 207641

@uc: count 1952, average 6080, total 11868186

@q1[openssl]: count 1257, average 2622, total 3296447
@q1[ksoftirqd/169]: count 156, average 2799, total 436721

@q2[openssl]: count 1669, average 632, total 1054994
@q2[ksoftirqd/169]: count 219, average 704, total 154288


@q4[openssl]: count 41893, average 969, total 40600862
@q4[ksoftirqd/169]: count 2373, average 992, total 2354362

@q5[openssl]: count 328213, average 431, total 141645577
@q5[ksoftirqd/169]: count 18249, average 432, total 7901029

@uc: count 1905, average 5954, total 11343275

@q1[openssl]: count 1255, average 2657, total 3335701
@q1[ksoftirqd/169]: count 155, average 2749, total 426177
@q1[kworker/169:2]: count 2, average 11336, total 22672

@q2[openssl]: count 1659, average 633, total 1050356
@q2[ksoftirqd/169]: count 218, average 711, total 155125
@q2[kworker/169:2]: count 4, average 4350, total 17402


@q4[openssl]: count 41880, average 966, total 40488158
@q4[ksoftirqd/169]: count 2427, average 991, total 2407296
@q4[kworker/169:2]: count 103, average 1357, total 139811

@q5[openssl]: count 328171, average 431, total 141546734
@q5[ksoftirqd/169]: count 18684, average 433, total 8091563
@q5[kworker/169:2]: count 813, average 475, total 386941

@uc: count 1942, average 6299, total 12234161

@q1[openssl]: count 1262, average 2621, total 3307916
@q1[ksoftirqd/169]: count 164, average 2678, total 439294

@q2[openssl]: count 1699, average 630, total 1071949
@q2[ksoftirqd/169]: count 239, average 703, total 168045


@q4[ksoftirqd/169]: count 2232, average 959, total 2142470
@q4[openssl]: count 41866, average 966, total 40455889

@q5[openssl]: count 327859, average 431, total 141477746
@q5[ksoftirqd/169]: count 17071, average 433, total 7403885

@uc: count 2347, average 6578, total 15439164

@q1[openssl]: count 1227, average 2619, total 3214526
@q1[ksoftirqd/169]: count 143, average 2682, total 383576

@q2[openssl]: count 1665, average 634, total 1056929
@q2[ksoftirqd/169]: count 200, average 670, total 134088


@q4[openssl]: count 41744, average 968, total 40447137
@q4[ksoftirqd/169]: count 2278, average 998, total 2274152

@q5[openssl]: count 327033, average 431, total 141160068
@q5[ksoftirqd/169]: count 17542, average 432, total 7594349

@uc: count 3496, average 12116, total 42358032

@q1[openssl]: count 1183, average 2669, total 3158030
@q1[ksoftirqd/169]: count 167, average 2778, total 463993

@q2[openssl]: count 1633, average 637, total 1041761
@q2[ksoftirqd/169]: count 242, average 702, total 169937


@q4[openssl]: count 41974, average 968, total 40660748
@q4[ksoftirqd/169]: count 2355, average 976, total 2300432

@q5[openssl]: count 329012, average 431, total 142094939
@q5[ksoftirqd/169]: count 18045, average 433, total 7829396

@uc: count 2571, average 7984, total 20528354

@q1[openssl]: count 1258, average 2633, total 3313190
@q1[ksoftirqd/169]: count 167, average 2848, total 475646
@q1[kworker/169:2]: count 1, average 18826, total 18826

@q2[openssl]: count 1642, average 631, total 1036307
@q2[ksoftirqd/169]: count 241, average 712, total 171678
@q2[kworker/169:2]: count 1, average 14918, total 14918


@q4[ksoftirqd/169]: count 2318, average 965, total 2238702
@q4[openssl]: count 41936, average 969, total 40637491
@q4[kworker/169:2]: count 1, average 39534, total 39534

@q5[openssl]: count 328591, average 431, total 141884675
@q5[ksoftirqd/169]: count 17784, average 433, total 7713903
@q5[kworker/169:2]: count 5, average 7171, total 35857

@uc: count 2097, average 6147, total 12891212

@q1[openssl]: count 1322, average 2689, total 3555819
@q1[ksoftirqd/169]: count 146, average 2733, total 399098
@q1[kworker/169:2]: count 1, average 17262, total 17262

@q2[openssl]: count 1708, average 639, total 1092972
@q2[ksoftirqd/169]: count 213, average 691, total 147288
@q2[kworker/169:2]: count 2, average 7339, total 14678


@q4[ksoftirqd/169]: count 1962, average 959, total 1882815
@q4[openssl]: count 42222, average 969, total 40915956
@q4[kworker/169:2]: count 54, average 1660, total 89653

@q5[openssl]: count 330784, average 431, total 142775326
@q5[ksoftirqd/169]: count 14998, average 433, total 6498401
@q5[kworker/169:2]: count 426, average 500, total 213077

@uc: count 2413, average 6864, total 16565028

@q1[openssl]: count 1246, average 2595, total 3233782
@q1[ksoftirqd/169]: count 172, average 2778, total 477947
@q1[kworker/169:2]: count 1, average 14948, total 14948

@q2[openssl]: count 1688, average 631, total 1066334
@q2[ksoftirqd/169]: count 237, average 709, total 168189
@q2[kworker/169:2]: count 1, average 14237, total 14237


@q4[ksoftirqd/169]: count 2337, average 958, total 2239048
@q4[openssl]: count 41830, average 967, total 40480415
@q4[kworker/169:2]: count 1, average 40346, total 40346

@q5[openssl]: count 327570, average 431, total 141338734
@q5[ksoftirqd/169]: count 17887, average 433, total 7755847
@q5[kworker/169:2]: count 1, average 32541, total 32541

@uc: count 2353, average 5789, total 13621543

@q1[openssl]: count 1226, average 2605, total 3194219
@q1[ksoftirqd/169]: count 157, average 2707, total 425017

@q2[openssl]: count 1699, average 628, total 1067169
@q2[ksoftirqd/169]: count 232, average 696, total 161500
@q2[kworker/169:2]: count 1, average 15058, total 15058


@q4[ksoftirqd/169]: count 2229, average 961, total 2143977
@q4[openssl]: count 41738, average 967, total 40367627
@q4[kworker/169:2]: count 53, average 1699, total 90091

@q5[openssl]: count 326902, average 431, total 141042940
@q5[ksoftirqd/169]: count 17021, average 432, total 7368301
@q5[kworker/169:2]: count 420, average 514, total 216279

@uc: count 2051, average 6676, total 13693855

@q1[openssl]: count 1273, average 2649, total 3373414
@q1[ksoftirqd/169]: count 164, average 2784, total 456688
@q1[kworker/169:2]: count 1, average 17543, total 17543

@q2[openssl]: count 1664, average 629, total 1047334
@q2[ksoftirqd/169]: count 242, average 687, total 166490
@q2[kworker/169:2]: count 1, average 13796, total 13796


@q4[openssl]: count 41751, average 969, total 40466816
@q4[ksoftirqd/169]: count 2520, average 975, total 2459500
@q4[kworker/169:2]: count 1, average 40356, total 40356

@q5[openssl]: count 327100, average 431, total 141023886
@q5[ksoftirqd/169]: count 19348, average 432, total 8375862
@q5[kworker/169:2]: count 6, average 6198, total 37190

@uc: count 1927, average 7232, total 13937247

@q1[openssl]: count 1270, average 2652, total 3368142
@q1[ksoftirqd/169]: count 154, average 2708, total 417131

@q2[openssl]: count 1676, average 629, total 1054578
@q2[ksoftirqd/169]: count 230, average 695, total 159877


@q4[openssl]: count 41855, average 967, total 40479529
@q4[ksoftirqd/169]: count 2358, average 992, total 2339826

@q5[openssl]: count 327796, average 431, total 141472922
@q5[ksoftirqd/169]: count 18089, average 434, total 7863380

@uc: count 2350, average 6675, total 15687926

@q1[openssl]: count 1175, average 2656, total 3121120
@q1[ksoftirqd/169]: count 146, average 2838, total 414421

@q2[openssl]: count 1641, average 636, total 1045204
@q2[ksoftirqd/169]: count 230, average 717, total 165066
@q2[kworker/169:2]: count 2, average 8325, total 16651


@q4[ksoftirqd/169]: count 2295, average 969, total 2225834
@q4[openssl]: count 42223, average 969, total 40921623
@q4[kworker/169:2]: count 30, average 2279, total 68380

@q5[openssl]: count 658796, average 216, total 142883491
@q5[ksoftirqd/169]: count 17618, average 433, total 7634174
@q5[kworker/169:2]: count 235, average 578, total 135894

@uc: count 2268, average 5712, total 12955530

@q1[ksoftirqd/169]: count 141, average 2741, total 386591
@q1[openssl]: count 1429, average 2760, total 3944541
@q1[kworker/169:1]: count 6, average 4157, total 24947
@q1[kworker/169:2]: count 2, average 12093, total 24186
@q1[kworker/169:0]: count 1, average 13615, total 13615

@q2[openssl]: count 1877, average 635, total 1193242
@q2[ksoftirqd/169]: count 221, average 709, total 156908
@q2[kworker/169:1]: count 6, average 1611, total 9669
@q2[kworker/169:2]: count 4, average 3954, total 15819
@q2[kworker/169:0]: count 3, average 5227, total 15681


@q4[openssl]: count 42103, average 967, total 40742849
@q4[ksoftirqd/169]: count 2354, average 985, total 2320178
@q4[kworker/169:1]: count 46, average 1196, total 55054
