Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 336, average 1972, total 662891
@q1[ksoftirqd/169]: count 17, average 2337, total 39733
@q1[kworker/169:1]: count 1, average 15660, total 15660

@q2[ksoftirqd/169]: count 46, average 729, total 33535
@q2[openssl]: count 898, average 4712, total 4231969
@q2[kworker/169:1]: count 2, average 6593, total 13186


@q4[openssl]: count 20443, average 961, total 19663439
@q4[ksoftirqd/169]: count 661, average 1098, total 725861
@q4[kworker/169:1]: count 31, average 2150, total 66658

@q5[openssl]: count 158620, average 434, total 68858829
@q5[ksoftirqd/169]: count 4988, average 436, total 2179614
@q5[kworker/169:1]: count 242, average 563, total 136472

@uc: count 2160, average 42826, total 92506175

@q1[ksoftirqd/169]: count 45, average 1868, total 84091
@q1[openssl]: count 684, average 1906, total 1304138

@q2[openssl]: count 1586, average 618, total 981417
@q2[ksoftirqd/169]: count 95, average 651, total 61912


@q4[ksoftirqd/169]: count 756, average 948, total 716692
@q4[openssl]: count 27760, average 957, total 26587398

@q5[ksoftirqd/169]: count 5601, average 429, total 2407572
@q5[openssl]: count 215383, average 431, total 92903965

@uc: count 1950, average 5030, total 9809558

@q1[openssl]: count 698, average 1901, total 1327345
@q1[ksoftirqd/169]: count 45, average 2160, total 97203
@q1[kworker/169:1]: count 1, average 15128, total 15128

@q2[openssl]: count 1552, average 624, total 968710
@q2[ksoftirqd/169]: count 93, average 700, total 65108
@q2[kworker/169:1]: count 2, average 4783, total 9567


@q4[ksoftirqd/169]: count 855, average 946, total 809119
@q4[openssl]: count 27630, average 958, total 26475880
@q4[kworker/169:1]: count 30, average 1774, total 53220

@q5[ksoftirqd/169]: count 6406, average 431, total 2764578
@q5[openssl]: count 214476, average 431, total 92576358
@q5[kworker/169:1]: count 233, average 515, total 120105

@uc: count 2354, average 5760, total 13559887

@q1[openssl]: count 695, average 1931, total 1342491
@q1[ksoftirqd/169]: count 41, average 1982, total 81302

@q2[openssl]: count 1559, average 628, total 980418
@q2[ksoftirqd/169]: count 90, average 673, total 60614
@q2[kworker/169:1]: count 1, average 14407, total 14407


@q4[openssl]: count 27784, average 960, total 26700139
@q4[ksoftirqd/169]: count 712, average 975, total 694739
@q4[kworker/169:1]: count 30, average 2182, total 65482

@q5[openssl]: count 215623, average 431, total 93109142
@q5[ksoftirqd/169]: count 5296, average 442, total 2344082
@q5[kworker/169:1]: count 235, average 562, total 132191

@uc: count 2465, average 7350, total 18119927

@q1[openssl]: count 684, average 1892, total 1294438
@q1[ksoftirqd/169]: count 38, average 2012, total 76463
@q1[kworker/169:1]: count 1, average 13435, total 13435

@q2[openssl]: count 1579, average 626, total 989276
@q2[ksoftirqd/169]: count 72, average 689, total 49626
@q2[kworker/169:1]: count 2, average 4979, total 9959


@q4[ksoftirqd/169]: count 629, average 958, total 602906
@q4[openssl]: count 27847, average 963, total 26829180
@q4[kworker/169:1]: count 30, average 1802, total 54069

@q5[openssl]: count 216051, average 431, total 93208129
@q5[ksoftirqd/169]: count 4728, average 436, total 2065254
@q5[kworker/169:1]: count 235, average 512, total 120542

@uc: count 2085, average 6089, total 12696884

@q1[openssl]: count 694, average 1923, total 1334676
@q1[ksoftirqd/169]: count 37, average 2047, total 75762

@q2[openssl]: count 1528, average 629, total 962569
@q2[ksoftirqd/169]: count 77, average 730, total 56250
@q2[kworker/169:1]: count 1, average 14467, total 14467


@q4[ksoftirqd/169]: count 682, average 947, total 646292
@q4[openssl]: count 27794, average 961, total 26730857
@q4[kworker/169:1]: count 30, average 2212, total 66367

@q5[openssl]: count 215799, average 431, total 93090565
@q5[ksoftirqd/169]: count 5105, average 436, total 2226937
@q5[kworker/169:1]: count 235, average 559, total 131481

@uc: count 1971, average 6395, total 12606100

@q1[openssl]: count 689, average 1928, total 1328766
@q1[ksoftirqd/169]: count 34, average 1935, total 65803
@q1[kworker/169:1]: count 1, average 11351, total 11351

@q2[openssl]: count 1529, average 624, total 954553
@q2[ksoftirqd/169]: count 81, average 672, total 54470
@q2[kworker/169:1]: count 1, average 11532, total 11532


@q4[ksoftirqd/169]: count 728, average 960, total 699013
@q4[openssl]: count 27744, average 961, total 26673139
@q4[kworker/169:1]: count 24, average 2434, total 58421

@q5[openssl]: count 215405, average 431, total 92886538
@q5[ksoftirqd/169]: count 5450, average 435, total 2375762
@q5[kworker/169:1]: count 186, average 585, total 108816

@uc: count 1950, average 6052, total 11803213

@q1[openssl]: count 703, average 1922, total 1351499
@q1[ksoftirqd/169]: count 38, average 2166, total 82313

@q2[openssl]: count 1550, average 626, total 970803
@q2[ksoftirqd/169]: count 82, average 682, total 55957


@q4[ksoftirqd/169]: count 628, average 948, total 595661
@q4[openssl]: count 27890, average 962, total 26846999

@q5[openssl]: count 216354, average 431, total 93448867
@q5[ksoftirqd/169]: count 4657, average 435, total 2029455

@uc: count 2411, average 5963, total 14377861

@q1[openssl]: count 692, average 1938, total 1341249
@q1[ksoftirqd/169]: count 35, average 2322, total 81299

@q2[openssl]: count 1576, average 628, total 990840
@q2[ksoftirqd/169]: count 77, average 683, total 52648


@q4[openssl]: count 27882, average 960, total 26768635
@q4[ksoftirqd/169]: count 633, average 965, total 611238

@q5[openssl]: count 216395, average 431, total 93328944
@q5[ksoftirqd/169]: count 4712, average 436, total 2058000

@uc: count 2085, average 6156, total 12835797

@q1[openssl]: count 698, average 1918, total 1339092
@q1[ksoftirqd/169]: count 30, average 2035, total 61056

@q2[openssl]: count 1591, average 625, total 994638
@q2[ksoftirqd/169]: count 67, average 703, total 47163


@q4[openssl]: count 27852, average 960, total 26762751
@q4[ksoftirqd/169]: count 656, average 977, total 640980

@q5[openssl]: count 216110, average 431, total 93206699
@q5[ksoftirqd/169]: count 4946, average 438, total 2169854

@uc: count 2000, average 6523, total 13046628

@q1[openssl]: count 697, average 1946, total 1356658
@q1[ksoftirqd/169]: count 37, average 2093, total 77448

@q2[openssl]: count 1531, average 625, total 958057
@q2[ksoftirqd/169]: count 79, average 889, total 70288


@q4[openssl]: count 27830, average 960, total 26733900
@q4[ksoftirqd/169]: count 640, average 971, total 621773
@q4[kworker/169:1]: count 30, average 2434, total 73042

@q5[openssl]: count 216167, average 431, total 93220843
@q5[ksoftirqd/169]: count 4756, average 436, total 2078148
@q5[kworker/169:1]: count 239, average 587, total 140522

@uc: count 2028, average 7027, total 14251326

@q1[ksoftirqd/169]: count 34, average 1966, total 66869
@q1[openssl]: count 683, average 1969, total 1345031

@q2[openssl]: count 1538, average 646, total 994002
@q2[ksoftirqd/169]: count 80, average 763, total 61103


