Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 482, average 2573, total 1240301
@q1[ksoftirqd/169]: count 74, average 2591, total 191767
@q1[kworker/169:1]: count 9, average 5633, total 50705

@q2[openssl]: count 908, average 1464, total 1329685
@q2[kworker/169:1]: count 11, average 3425, total 37680
@q2[ksoftirqd/169]: count 150, average 28096, total 4214483


@q4[ksoftirqd/169]: count 3669, average 958, total 3516559
@q4[openssl]: count 27336, average 960, total 26244579
@q4[kworker/169:1]: count 126, average 1029, total 129708

@q5[openssl]: count 214105, average 437, total 93644262
@q5[ksoftirqd/169]: count 28532, average 444, total 12679660
@q5[kworker/169:1]: count 958, average 446, total 427777

@uc: count 4190, average 19740, total 82714552

@q1[openssl]: count 829, average 2438, total 2021874
@q1[ksoftirqd/169]: count 149, average 2469, total 368019

@q2[openssl]: count 1518, average 638, total 969708
@q2[ksoftirqd/169]: count 256, average 772, total 197832
@q2[kworker/169:1]: count 2, average 18690, total 37380


@q4[openssl]: count 66533, average 565, total 37621033
@q4[ksoftirqd/169]: count 2801, average 955, total 2675429
@q4[kworker/169:1]: count 47, average 1378, total 64769

@q5[openssl]: count 307278, average 435, total 133833972
@q5[ksoftirqd/169]: count 21526, average 436, total 9398288
@q5[kworker/169:1]: count 371, average 478, total 177669

@uc: count 2296, average 6189, total 14211314

@q1[openssl]: count 821, average 2415, total 1983060
@q1[ksoftirqd/169]: count 153, average 2688, total 411390

@q2[openssl]: count 1541, average 639, total 985336
@q2[ksoftirqd/169]: count 262, average 764, total 200230
@q2[kworker/169:1]: count 2, average 18870, total 37741


@q4[ksoftirqd/169]: count 2917, average 955, total 2786856
@q4[openssl]: count 39030, average 959, total 37434498
@q4[kworker/169:1]: count 47, average 1406, total 66082

@q5[openssl]: count 305900, average 435, total 133149378
@q5[ksoftirqd/169]: count 22438, average 436, total 9784994
@q5[kworker/169:1]: count 371, average 482, total 178983

@uc: count 2397, average 6498, total 15577554

@q1[openssl]: count 835, average 2471, total 2063693
@q1[ksoftirqd/169]: count 166, average 2506, total 416032

@q2[openssl]: count 1528, average 648, total 991156
@q2[ksoftirqd/169]: count 281, average 651, total 183116


@q4[ksoftirqd/169]: count 3054, average 957, total 2923684
@q4[openssl]: count 39167, average 958, total 37533102

@q5[ksoftirqd/169]: count 23473, average 435, total 10220854
@q5[openssl]: count 307104, average 435, total 133631596

@uc: count 2115, average 5828, total 12327079

@q1[openssl]: count 841, average 2493, total 2097336
@q1[ksoftirqd/169]: count 186, average 2639, total 491004

@q2[ksoftirqd/169]: count 270, average 656, total 177274
@q2[openssl]: count 1532, average 659, total 1010474
@q2[kworker/169:1]: count 2, average 17578, total 35156


@q4[ksoftirqd/169]: count 2862, average 953, total 2729260
@q4[openssl]: count 39528, average 961, total 38001025
@q4[kworker/169:1]: count 47, average 1290, total 60654

@q5[openssl]: count 310037, average 435, total 135034561
@q5[ksoftirqd/169]: count 21970, average 437, total 9602004
@q5[kworker/169:1]: count 370, average 468, total 173203

@uc: count 2517, average 6650, total 16738856

@q1[openssl]: count 859, average 2495, total 2143387
@q1[ksoftirqd/169]: count 236, average 2662, total 628309

@q2[openssl]: count 1520, average 634, total 964591
@q2[ksoftirqd/169]: count 305, average 747, total 227949
@q2[kworker/169:1]: count 1, average 36389, total 36389


@q4[ksoftirqd/169]: count 3129, average 959, total 3002710
@q4[openssl]: count 39704, average 962, total 38219044
@q4[kworker/169:1]: count 48, average 1367, total 65632

@q5[openssl]: count 311472, average 435, total 135674068
@q5[ksoftirqd/169]: count 23985, average 437, total 10490105
@q5[kworker/169:1]: count 380, average 477, total 181616

@uc: count 2817, average 5962, total 16795551

@q1[openssl]: count 879, average 2496, total 2194290
@q1[ksoftirqd/169]: count 215, average 2772, total 595982

@q2[openssl]: count 1510, average 637, total 963209
@q2[ksoftirqd/169]: count 293, average 761, total 223098


@q4[openssl]: count 39730, average 962, total 38243051
@q4[ksoftirqd/169]: count 3219, average 980, total 3157203
@q4[kworker/169:1]: count 1, average 12864, total 12864

@q5[openssl]: count 311594, average 435, total 135650916
@q5[ksoftirqd/169]: count 24761, average 436, total 10795894
@q5[kworker/169:1]: count 8, average 1390, total 11121

@uc: count 3295, average 5042, total 16615651

@q1[openssl]: count 862, average 2506, total 2160584
@q1[ksoftirqd/169]: count 204, average 2655, total 541687
@q1[kworker/169:1]: count 1, average 38102, total 38102

@q2[ksoftirqd/169]: count 279, average 654, total 182603
@q2[openssl]: count 1551, average 660, total 1024675
@q2[kworker/169:1]: count 2, average 36353, total 72707


@q4[ksoftirqd/169]: count 2914, average 958, total 2793689
@q4[openssl]: count 39824, average 961, total 38310376
@q4[kworker/169:1]: count 54, average 1365, total 73712

@q5[openssl]: count 312393, average 435, total 135961339
@q5[ksoftirqd/169]: count 22362, average 437, total 9773428
@q5[kworker/169:1]: count 426, average 474, total 202255

@uc: count 2604, average 5595, total 14570008

@q1[openssl]: count 881, average 2530, total 2229300
@q1[ksoftirqd/169]: count 223, average 2654, total 591846

@q2[openssl]: count 1515, average 650, total 986015
@q2[ksoftirqd/169]: count 301, average 659, total 198361


@q4[openssl]: count 39796, average 962, total 38284744
@q4[ksoftirqd/169]: count 3117, average 974, total 3038208

@q5[openssl]: count 312100, average 435, total 135908284
@q5[ksoftirqd/169]: count 23897, average 436, total 10421853

@uc: count 2671, average 5750, total 15359975

@q1[openssl]: count 884, average 2534, total 2240109
@q1[ksoftirqd/169]: count 218, average 2739, total 597150

@q2[openssl]: count 1529, average 660, total 1009589
@q2[ksoftirqd/169]: count 293, average 668, total 195863


@q4[openssl]: count 39551, average 965, total 38190086
@q4[ksoftirqd/169]: count 3326, average 972, total 3234597
@q4[kworker/169:1]: count 1, average 23904, total 23904

@q5[ksoftirqd/169]: count 25629, average 436, total 11185913
@q5[openssl]: count 310219, average 436, total 135311219
@q5[kworker/169:1]: count 8, average 2579, total 20639

@uc: count 2770, average 6398, total 17724720

@q1[ksoftirqd/169]: count 204, average 2512, total 512615
@q1[openssl]: count 883, average 2546, total 2248448

@q2[ksoftirqd/169]: count 295, average 644, total 190255
@q2[openssl]: count 1515, average 663, total 1004576


@q4[openssl]: count 39412, average 962, total 37932242
@q4[ksoftirqd/169]: count 3279, average 965, total 3165793
@q4[kworker/169:1]: count 1, average 23995, total 23995

@q5[openssl]: count 309110, average 435, total 134645436
@q5[ksoftirqd/169]: count 25179, average 436, total 10993205
@q5[kworker/169:1]: count 8, average 2965, total 23726

@uc: count 3029, average 13067, total 39581331

@q1[openssl]: count 913, average 2507, total 2289378
@q1[ksoftirqd/169]: count 197, average 2775, total 546767

@q2[openssl]: count 1513, average 640, total 968534
@q2[ksoftirqd/169]: count 288, average 753, total 217108
@q2[kworker/169:1]: count 2, average 18665, total 37330


