Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 521, average 2653, total 1382663
@q1[ksoftirqd/169]: count 88, average 2762, total 243143
@q1[kworker/169:0]: count 3, average 12009, total 36028

@q2[openssl]: count 993, average 3582, total 3557338
@q2[kworker/169:0]: count 4, average 8283, total 33132
@q2[ksoftirqd/169]: count 154, average 25829, total 3977761


@q4[openssl]: count 27999, average 962, total 26955398
@q4[ksoftirqd/169]: count 4428, average 970, total 4295232
@q4[kworker/169:0]: count 18, average 1333, total 24000
@q4[kworker/169:2]: count 16, average 1738, total 27819

@q5[openssl]: count 219476, average 433, total 95219037
@q5[ksoftirqd/169]: count 34614, average 438, total 15181770
@q5[kworker/169:0]: count 127, average 485, total 61713
@q5[kworker/169:2]: count 126, average 513, total 64750

@uc: count 3827, average 17671, total 67628466

@q1[openssl]: count 922, average 2523, total 2326439
@q1[ksoftirqd/169]: count 197, average 2748, total 541522

@q2[openssl]: count 1571, average 656, total 1031150
@q2[ksoftirqd/169]: count 272, average 661, total 179852


@q4[ksoftirqd/169]: count 2837, average 955, total 2711863
@q4[openssl]: count 40563, average 962, total 39058669

@q5[openssl]: count 318060, average 432, total 137422762
@q5[ksoftirqd/169]: count 21785, average 434, total 9467339

@uc: count 2291, average 5948, total 13627122

@q1[openssl]: count 998, average 2572, total 2567233
@q1[ksoftirqd/169]: count 184, average 2714, total 499497
@q1[kworker/169:0]: count 2, average 19822, total 39644

@q2[openssl]: count 1614, average 658, total 1062090
@q2[ksoftirqd/169]: count 250, average 665, total 166312
@q2[kworker/169:0]: count 2, average 17051, total 34103


@q4[openssl]: count 81658, average 484, total 39528317
@q4[ksoftirqd/169]: count 2557, average 962, total 2459865
@q4[kworker/169:0]: count 2, average 11070, total 22141

@q5[openssl]: count 322164, average 432, total 139266785
@q5[ksoftirqd/169]: count 19621, average 435, total 8551350
@q5[kworker/169:0]: count 14, average 1634, total 22883

@uc: count 1958, average 5772, total 11301589

@q1[openssl]: count 1020, average 2598, total 2650482
@q1[ksoftirqd/169]: count 207, average 2774, total 574315

@q2[openssl]: count 1576, average 639, total 1008116
@q2[ksoftirqd/169]: count 273, average 785, total 214497


@q4[openssl]: count 40887, average 965, total 39468867
@q4[ksoftirqd/169]: count 2848, average 974, total 2774929

@q5[openssl]: count 320593, average 432, total 138699717
@q5[ksoftirqd/169]: count 21867, average 436, total 9553782

@uc: count 2491, average 6778, total 16885676

@q1[openssl]: count 986, average 2566, total 2530468
@q1[ksoftirqd/169]: count 201, average 2705, total 543714

@q2[openssl]: count 1552, average 641, total 995019
@q2[ksoftirqd/169]: count 279, average 774, total 216008


@q4[openssl]: count 41436, average 964, total 39953879
@q4[ksoftirqd/169]: count 2823, average 966, total 2727108

@q5[openssl]: count 324997, average 432, total 140453897
@q5[ksoftirqd/169]: count 21649, average 434, total 9400976

@uc: count 1917, average 5790, total 11100335

@q1[openssl]: count 1008, average 2560, total 2581097
@q1[ksoftirqd/169]: count 215, average 2665, total 573126

@q2[ksoftirqd/169]: count 284, average 652, total 185406
@q2[openssl]: count 1567, average 657, total 1030503


@q4[openssl]: count 41028, average 963, total 39546734
@q4[ksoftirqd/169]: count 2931, average 974, total 2855024

@q5[openssl]: count 321755, average 432, total 139185126
@q5[ksoftirqd/169]: count 22457, average 433, total 9726212

