Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 183, average 1495, total 273661
@q1[ksoftirqd/169]: count 8, average 4701, total 37610

@q2[ksoftirqd/169]: count 38, average 876, total 33322
@q2[openssl]: count 1078, average 4092, total 4411245


@q4[ksoftirqd/169]: count 158, average 956, total 151107
@q4[openssl]: count 13209, average 964, total 12741646

@q5[openssl]: count 99450, average 433, total 43112881
@q5[ksoftirqd/169]: count 1092, average 442, total 483252

@uc: count 2289, average 27536, total 63030297

@q1[openssl]: count 387, average 1378, total 533320
@q1[ksoftirqd/169]: count 13, average 1875, total 24387

@q2[openssl]: count 1955, average 581, total 1137306
@q2[ksoftirqd/169]: count 57, average 702, total 40070


@q4[openssl]: count 18017, average 946, total 17049411
@q4[ksoftirqd/169]: count 145, average 967, total 140333

@q5[openssl]: count 135092, average 431, total 58311553
@q5[ksoftirqd/169]: count 967, average 437, total 423131

@uc: count 2432, average 5241, total 12747243

@q1[openssl]: count 385, average 1398, total 538565
@q1[ksoftirqd/169]: count 17, average 2076, total 35296

@q2[openssl]: count 1958, average 583, total 1142299
@q2[ksoftirqd/169]: count 57, average 785, total 44746


@q4[ksoftirqd/169]: count 145, average 944, total 137005
@q4[openssl]: count 18008, average 946, total 17043608
@q4[kworker/169:0]: count 11, average 1992, total 21922

@q5[openssl]: count 134984, average 431, total 58232679
@q5[ksoftirqd/169]: count 956, average 439, total 420597
@q5[kworker/169:0]: count 88, average 540, total 47569

@uc: count 2491, average 5199, total 12951461

@q1[openssl]: count 384, average 1384, total 531482
@q1[ksoftirqd/169]: count 16, average 1871, total 29945

@q2[openssl]: count 1958, average 583, total 1143313
@q2[ksoftirqd/169]: count 55, average 698, total 38413
@q2[kworker/169:0]: count 2, average 12428, total 24857


@q4[openssl]: count 18020, average 945, total 17034081
@q4[ksoftirqd/169]: count 134, average 951, total 127440
@q4[kworker/169:0]: count 23, average 1482, total 34105

@q5[openssl]: count 135006, average 431, total 58196541
@q5[ksoftirqd/169]: count 878, average 446, total 392168
@q5[kworker/169:0]: count 173, average 496, total 85978

@uc: count 2799, average 5783, total 16187877

@q1[openssl]: count 384, average 1428, total 548411
@q1[ksoftirqd/169]: count 16, average 2606, total 41696

@q2[openssl]: count 1952, average 585, total 1143352
@q2[ksoftirqd/169]: count 61, average 781, total 47689


@q4[ksoftirqd/169]: count 163, average 935, total 152530
@q4[openssl]: count 18004, average 946, total 17040124

@q5[openssl]: count 134973, average 430, total 58143385
@q5[ksoftirqd/169]: count 1082, average 437, total 473517

@uc: count 2462, average 5378, total 13242810

@q1[openssl]: count 384, average 1389, total 533557
@q1[ksoftirqd/169]: count 16, average 2499, total 39986

@q2[openssl]: count 1960, average 583, total 1143085
@q2[ksoftirqd/169]: count 55, average 755, total 41537


@q4[openssl]: count 18023, average 947, total 17073162
@q4[ksoftirqd/169]: count 142, average 953, total 135364

@q5[openssl]: count 135087, average 431, total 58225476
@q5[ksoftirqd/169]: count 934, average 444, total 414712

@uc: count 2387, average 5437, total 12978480

@q1[openssl]: count 387, average 1327, total 513815
@q1[ksoftirqd/169]: count 13, average 3998, total 51977

@q2[openssl]: count 1951, average 570, total 1113334
@q2[ksoftirqd/169]: count 61, average 1172, total 71500
@q2[kworker/169:1]: count 1, average 35095, total 35095


@q4[openssl]: count 17983, average 948, total 17065559
@q4[ksoftirqd/169]: count 171, average 956, total 163619
@q4[kworker/169:1]: count 12, average 2428, total 29145

@q5[openssl]: count 134855, average 430, total 58115769
@q5[ksoftirqd/169]: count 1157, average 438, total 507242
@q5[kworker/169:1]: count 92, average 585, total 53843

@uc: count 2497, average 5581, total 13937840

@q1[openssl]: count 387, average 1463, total 566299
@q1[ksoftirqd/169]: count 15, average 2266, total 34003

@q2[openssl]: count 1957, average 589, total 1152830
@q2[ksoftirqd/169]: count 55, average 839, total 46177


@q4[openssl]: count 17965, average 945, total 16989406
@q4[ksoftirqd/169]: count 144, average 962, total 138608

@q5[openssl]: count 135060, average 431, total 58223666
@q5[ksoftirqd/169]: count 972, average 449, total 436898

@uc: count 2776, average 5915, total 16422188

@q1[openssl]: count 381, average 1445, total 550630
@q1[ksoftirqd/169]: count 20, average 2187, total 43741

@q2[openssl]: count 1949, average 589, total 1149141
@q2[ksoftirqd/169]: count 64, average 779, total 49864


@q4[ksoftirqd/169]: count 163, average 929, total 151466
@q4[openssl]: count 17984, average 950, total 17101567

@q5[openssl]: count 134960, average 431, total 58231620
@q5[ksoftirqd/169]: count 1068, average 441, total 471860

@uc: count 2428, average 6058, total 14710472

@q1[openssl]: count 383, average 1441, total 552160
@q1[ksoftirqd/169]: count 17, average 1756, total 29865

@q2[openssl]: count 1956, average 587, total 1150026
@q2[ksoftirqd/169]: count 56, average 696, total 38978
@q2[kworker/169:0]: count 1, average 25477, total 25477


@q4[ksoftirqd/169]: count 148, average 944, total 139793
@q4[openssl]: count 17994, average 952, total 17134836
@q4[kworker/169:0]: count 12, average 2063, total 24767

@q5[openssl]: count 134980, average 431, total 58183687
@q5[ksoftirqd/169]: count 981, average 442, total 433787
@q5[kworker/169:0]: count 90, average 576, total 51893

@uc: count 2658, average 8817, total 23438080

@q1[openssl]: count 386, average 1419, total 547899
@q1[ksoftirqd/169]: count 17, average 2672, total 45436

@q2[openssl]: count 1947, average 590, total 1149379
@q2[ksoftirqd/169]: count 59, average 700, total 41320


@q4[openssl]: count 17990, average 951, total 17121188
@q4[ksoftirqd/169]: count 156, average 981, total 153180

@q5[openssl]: count 135010, average 431, total 58231178
@q5[ksoftirqd/169]: count 1037, average 439, total 455261

@uc: count 2958, average 8128, total 24045405

@q1[openssl]: count 390, average 1414, total 551577
@q1[ksoftirqd/169]: count 10, average 2328, total 23283

@q2[openssl]: count 1961, average 600, total 1177308
@q2[ksoftirqd/169]: count 50, average 745, total 37286


@q4[openssl]: count 18016, average 951, total 17145409
@q4[ksoftirqd/169]: count 133, average 959, total 127565

@q5[openssl]: count 135119, average 431, total 58314882
@q5[ksoftirqd/169]: count 907, average 439, total 398938

@uc: count 2702, average 7163, total 19355424

@q1[openssl]: count 385, average 1405, total 541153
@q1[ksoftirqd/169]: count 15, average 1885, total 28277

@q2[openssl]: count 1950, average 576, total 1124520
@q2[ksoftirqd/169]: count 63, average 1209, total 76171


@q4[ksoftirqd/169]: count 178, average 946, total 168552
@q4[openssl]: count 17978, average 949, total 17070778

@q5[openssl]: count 134894, average 431, total 58216756
@q5[ksoftirqd/169]: count 1205, average 438, total 528823

@uc: count 2489, average 5331, total 13269450

@q1[openssl]: count 385, average 1409, total 542811
@q1[ksoftirqd/169]: count 15, average 2873, total 43109

@q2[openssl]: count 1954, average 589, total 1151893
@q2[ksoftirqd/169]: count 52, average 836, total 43474


@q4[ksoftirqd/169]: count 137, average 949, total 130041
@q4[openssl]: count 18002, average 950, total 17117691

@q5[openssl]: count 135084, average 431, total 58288958
@q5[ksoftirqd/169]: count 908, average 441, total 400683

@uc: count 2445, average 5671, total 13866895

@q1[openssl]: count 383, average 1423, total 545130
