Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 558, average 2643, total 1474845
@q1[ksoftirqd/169]: count 102, average 3052, total 311313
@q1[kworker/169:0]: count 4, average 8651, total 34604

@q2[ksoftirqd/169]: count 172, average 1676, total 288333
@q2[openssl]: count 948, average 3540, total 3356726
@q2[kworker/169:0]: count 4, average 8671, total 34687


@q4[openssl]: count 28043, average 959, total 26909703
@q4[ksoftirqd/169]: count 4399, average 1005, total 4423981
@q4[kworker/169:0]: count 19, average 1690, total 32126

@q5[openssl]: count 219800, average 432, total 95148861
@q5[ksoftirqd/169]: count 34309, average 445, total 15275995
@q5[kworker/169:0]: count 141, average 504, total 71108

@uc: count 4817, average 21408, total 103126796

@q1[openssl]: count 1013, average 2594, total 2628399
@q1[ksoftirqd/169]: count 234, average 2681, total 627368

@q2[openssl]: count 1555, average 649, total 1009370
@q2[ksoftirqd/169]: count 301, average 652, total 196326


@q4[ksoftirqd/169]: count 3043, average 949, total 2890397
@q4[openssl]: count 40898, average 954, total 39041277

@q5[openssl]: count 320763, average 433, total 139042487
@q5[ksoftirqd/169]: count 23275, average 434, total 10123764

@uc: count 2072, average 6786, total 14061662

@q1[openssl]: count 1086, average 2590, total 2813140
@q1[ksoftirqd/169]: count 221, average 2775, total 613486

@q2[openssl]: count 1595, average 646, total 1031704
@q2[ksoftirqd/169]: count 300, average 658, total 197652


@q4[openssl]: count 40628, average 952, total 38711778
@q4[ksoftirqd/169]: count 3315, average 967, total 3206859

@q5[openssl]: count 318385, average 434, total 138270430
@q5[ksoftirqd/169]: count 25500, average 437, total 11147896

@uc: count 2367, average 6697, total 15853915

@q1[openssl]: count 971, average 2557, total 2483796
@q1[ksoftirqd/169]: count 204, average 2715, total 553991

@q2[openssl]: count 1536, average 654, total 1005264
@q2[ksoftirqd/169]: count 288, average 664, total 191511


@q4[openssl]: count 40609, average 954, total 38750305
@q4[ksoftirqd/169]: count 3081, average 959, total 2956034

@q5[openssl]: count 318514, average 434, total 138253304
@q5[ksoftirqd/169]: count 23677, average 435, total 10302555

@uc: count 2656, average 6482, total 17216601

@q1[openssl]: count 1062, average 2614, total 2776378
@q1[ksoftirqd/169]: count 246, average 2805, total 690158

@q2[ksoftirqd/169]: count 328, average 653, total 214424
@q2[openssl]: count 1557, average 653, total 1017562


@q4[openssl]: count 40241, average 957, total 38515379
@q4[ksoftirqd/169]: count 3601, average 976, total 3514753

@q5[ksoftirqd/169]: count 27706, average 434, total 12041351
@q5[openssl]: count 315499, average 434, total 136968451

@uc: count 2060, average 6168, total 12706314

@q1[openssl]: count 1184, average 2674, total 3166029
@q1[ksoftirqd/169]: count 192, average 2738, total 525761
@q1[kworker/169:0]: count 1, average 38462, total 38462

@q2[openssl]: count 1565, average 652, total 1021676
@q2[ksoftirqd/169]: count 285, average 663, total 189016
@q2[kworker/169:0]: count 1, average 35807, total 35807


@q4[openssl]: count 41022, average 955, total 39207327
@q4[ksoftirqd/169]: count 3388, average 989, total 3351511
@q4[kworker/169:0]: count 1, average 24627, total 24627

@q5[ksoftirqd/169]: count 26146, average 434, total 11365530
@q5[openssl]: count 321626, average 434, total 139696297
@q5[kworker/169:0]: count 7, average 3244, total 22713

@uc: count 1993, average 7550, total 15047723

@q1[openssl]: count 1289, average 2685, total 3461735
@q1[ksoftirqd/169]: count 202, average 2788, total 563308
@q1[kworker/169:1]: count 2, average 19777, total 39554

@q2[openssl]: count 1645, average 649, total 1068610
@q2[ksoftirqd/169]: count 295, average 661, total 195048
@q2[kworker/169:1]: count 2, average 17803, total 35607


@q4[openssl]: count 41160, average 955, total 39318901
@q4[ksoftirqd/169]: count 3248, average 988, total 3209871
@q4[kworker/169:1]: count 18, average 2360, total 42488

@q5[openssl]: count 322448, average 433, total 139865021
@q5[ksoftirqd/169]: count 24994, average 434, total 10858742
@q5[kworker/169:1]: count 140, average 590, total 82668

@uc: count 2232, average 6577, total 14681591

@q1[openssl]: count 1180, average 2666, total 3146262
@q1[ksoftirqd/169]: count 188, average 2734, total 514029
@q1[kworker/169:0]: count 4, average 11691, total 46767

@q2[openssl]: count 1607, average 637, total 1024232
@q2[ksoftirqd/169]: count 290, average 660, total 191577
@q2[kworker/169:0]: count 5, average 7696, total 38482


@q4[openssl]: count 39457, average 954, total 37654588
@q4[ksoftirqd/169]: count 4995, average 997, total 4980222
@q4[kworker/169:0]: count 23, average 1910, total 43932

@q5[ksoftirqd/169]: count 38916, average 432, total 16813801
@q5[openssl]: count 309114, average 433, total 134092415
@q5[kworker/169:0]: count 171, average 527, total 90259

@uc: count 2629, average 10779, total 28338497

@q1[openssl]: count 1111, average 2583, total 2870551
@q1[ksoftirqd/169]: count 225, average 2840, total 639114

@q2[openssl]: count 1591, average 649, total 1033645
@q2[ksoftirqd/169]: count 291, average 665, total 193652


@q4[openssl]: count 40708, average 954, total 38867487
@q4[ksoftirqd/169]: count 3266, average 966, total 3155273
@q4[kworker/169:0]: count 5, average 3791, total 18957

@q5[openssl]: count 319044, average 433, total 138406688
@q5[ksoftirqd/169]: count 25122, average 434, total 10920062
@q5[kworker/169:0]: count 40, average 616, total 24647

@uc: count 2092, average 6522, total 13645029

@q1[openssl]: count 1038, average 2631, total 2731397
@q1[ksoftirqd/169]: count 227, average 2793, total 634175

@q2[openssl]: count 1570, average 655, total 1028947
@q2[ksoftirqd/169]: count 314, average 662, total 208150
@q2[kworker/169:0]: count 1, average 25298, total 25298


@q4[openssl]: count 40654, average 955, total 38827983
@q4[ksoftirqd/169]: count 3365, average 961, total 3234313
@q4[kworker/169:0]: count 47, average 1236, total 58137

@q5[ksoftirqd/169]: count 25887, average 434, total 11246483
@q5[openssl]: count 318769, average 434, total 138474674
@q5[kworker/169:0]: count 372, average 465, total 173340

@uc: count 2298, average 8238, total 18931802

@q1[openssl]: count 976, average 2595, total 2533508
@q1[ksoftirqd/169]: count 223, average 2777, total 619343

@q2[openssl]: count 1531, average 661, total 1012586
@q2[ksoftirqd/169]: count 309, average 663, total 205039


@q4[openssl]: count 40414, average 955, total 38618762
@q4[ksoftirqd/169]: count 3497, average 968, total 3386825

@q5[openssl]: count 317097, average 433, total 137484630
@q5[ksoftirqd/169]: count 26933, average 434, total 11714707

@uc: count 3118, average 10705, total 33379645

@q1[openssl]: count 1196, average 2665, total 3187727
@q1[ksoftirqd/169]: count 203, average 2849, total 578526
@q1[kworker/169:0]: count 1, average 36689, total 36689

@q2[openssl]: count 1577, average 653, total 1030210
@q2[ksoftirqd/169]: count 318, average 659, total 209711
@q2[kworker/169:0]: count 1, average 35617, total 35617


@q4[openssl]: count 41244, average 954, total 39365490
@q4[ksoftirqd/169]: count 3364, average 955, total 3213736
@q4[kworker/169:0]: count 48, average 1445, total 69399

@q5[ksoftirqd/169]: count 25886, average 434, total 11260311
@q5[openssl]: count 323379, average 434, total 140423647
@q5[kworker/169:0]: count 379, average 489, total 185495

@uc: count 2975, average 4936, total 14686437

@q1[openssl]: count 978, average 2632, total 2574224
@q1[ksoftirqd/169]: count 191, average 2833, total 541138

@q2[openssl]: count 1375, average 657, total 904660
@q2[ksoftirqd/169]: count 260, average 658, total 171129


@q4[openssl]: count 35767, average 955, total 34181802
@q4[ksoftirqd/169]: count 5444, average 1112, total 6056540

@q5[openssl]: count 280379, average 433, total 121530713
@q5[ksoftirqd/169]: count 42524, average 434, total 18455936

@uc: count 2663, average 4945, total 13170225




@q4[ksoftirqd/169]: count 20832, average 1264, total 26335043

@q5[ksoftirqd/169]: count 165682, average 435, total 72118600

@uc: count 5497, average 8766, total 48186805




@q4[ksoftirqd/169]: count 21090, average 1258, total 26541747

@q5[ksoftirqd/169]: count 167797, average 434, total 72962032

@uc: count 4003, average 3536, total 14157103




@q4[ksoftirqd/169]: count 20670, average 1259, total 26035008

@q5[ksoftirqd/169]: count 164383, average 435, total 71659080

@uc: count 6024, average 2894, total 17438679




@q4[ksoftirqd/169]: count 20408, average 1267, total 25865725

@q5[ksoftirqd/169]: count 162309, average 435, total 70656656

@uc: count 4402, average 2863, total 12604747




@q4[ksoftirqd/169]: count 20708, average 1252, total 25927249

@q5[ksoftirqd/169]: count 164771, average 435, total 71803178

@uc: count 6896, average 2432, total 16771777




@q4[ksoftirqd/169]: count 20491, average 1268, total 25988051

@q5[ksoftirqd/169]: count 162953, average 434, total 70858468

@uc: count 4969, average 3346, total 16627449




@q4[ksoftirqd/169]: count 20619, average 1263, total 26055536

@q5[ksoftirqd/169]: count 164051, average 435, total 71428316

@uc: count 6839, average 4716, total 32257498




@q4[ksoftirqd/169]: count 21090, average 1262, total 26628094

@q5[ksoftirqd/169]: count 167775, average 433, total 72791256

@uc: count 5563, average 7792, total 43347936




@q4[ksoftirqd/169]: count 20589, average 1265, total 26060628

@q5[ksoftirqd/169]: count 163734, average 434, total 71125006

