Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 601, average 2708, total 1627897
@q1[ksoftirqd/169]: count 102, average 2809, total 286602
@q1[kworker/169:0]: count 1, average 25969, total 25969

@q2[openssl]: count 985, average 2859, total 2816503
@q2[ksoftirqd/169]: count 165, average 23699, total 3910427
@q2[kworker/169:0]: count 1, average 31639, total 31639


@q4[openssl]: count 27784, average 960, total 26672958
@q4[ksoftirqd/169]: count 4609, average 968, total 4463557
@q4[kworker/169:0]: count 11, average 1887, total 20757

@q5[ksoftirqd/169]: count 36015, average 435, total 15675347
@q5[openssl]: count 217651, average 435, total 94814962
@q5[kworker/169:0]: count 62, average 578, total 35855

@uc: count 5426, average 13732, total 74515256

@q1[openssl]: count 1169, average 2599, total 3039157
@q1[ksoftirqd/169]: count 227, average 2722, total 618084

@q2[openssl]: count 1602, average 627, total 1005097
@q2[ksoftirqd/169]: count 303, average 768, total 232727


@q4[openssl]: count 40760, average 951, total 38781980
@q4[ksoftirqd/169]: count 3161, average 959, total 3033232

@q5[ksoftirqd/169]: count 24276, average 433, total 10514008
@q5[openssl]: count 319330, average 434, total 138823827

@uc: count 2150, average 5764, total 12393031

@q1[openssl]: count 1238, average 2588, total 3204827
@q1[ksoftirqd/169]: count 234, average 2760, total 645875

@q2[openssl]: count 1639, average 642, total 1053500
@q2[ksoftirqd/169]: count 299, average 670, total 200461


@q4[ksoftirqd/169]: count 3174, average 951, total 3019553
@q4[openssl]: count 40772, average 952, total 38838177

@q5[ksoftirqd/169]: count 24469, average 433, total 10595677
@q5[openssl]: count 319191, average 434, total 138647960

@uc: count 1938, average 6026, total 11679669

@q1[openssl]: count 1221, average 2607, total 3183355
@q1[ksoftirqd/169]: count 211, average 2877, total 607111

@q2[openssl]: count 1632, average 629, total 1027657
@q2[ksoftirqd/169]: count 280, average 770, total 215621


@q4[openssl]: count 40704, average 955, total 38912457
@q4[ksoftirqd/169]: count 3238, average 970, total 3142113

@q5[ksoftirqd/169]: count 24942, average 433, total 10801832
@q5[openssl]: count 318741, average 434, total 138398273

@uc: count 1914, average 5944, total 11377031

@q1[openssl]: count 1215, average 2646, total 3214922
@q1[ksoftirqd/169]: count 213, average 2692, total 573467
@q1[kworker/169:0]: count 1, average 37360, total 37360

@q2[openssl]: count 1594, average 629, total 1003729
@q2[ksoftirqd/169]: count 304, average 780, total 237130
@q2[kworker/169:0]: count 3, average 12563, total 37690


@q4[openssl]: count 40610, average 950, total 38599771
@q4[ksoftirqd/169]: count 3447, average 963, total 3322612
@q4[kworker/169:0]: count 52, average 1373, total 71428

@q5[ksoftirqd/169]: count 26483, average 433, total 11481925
@q5[openssl]: count 318217, average 434, total 138119980
@q5[kworker/169:0]: count 409, average 473, total 193465

@uc: count 2435, average 6326, total 15405174

@q1[openssl]: count 1182, average 2646, total 3127685
@q1[ksoftirqd/169]: count 210, average 2666, total 559908
@q1[kworker/169:0]: count 1, average 11823, total 11823

@q2[openssl]: count 1594, average 647, total 1031639
@q2[ksoftirqd/169]: count 315, average 669, total 210926
@q2[kworker/169:0]: count 1, average 13666, total 13666


@q4[openssl]: count 40883, average 953, total 38982823
@q4[ksoftirqd/169]: count 3469, average 967, total 3355214
@q4[kworker/169:0]: count 1, average 8105, total 8105

@q5[ksoftirqd/169]: count 26752, average 433, total 11589001
@q5[openssl]: count 320399, average 434, total 139180233
@q5[kworker/169:0]: count 7, average 1532, total 10729

@uc: count 2430, average 5113, total 12426737

@q1[openssl]: count 1098, average 2631, total 2889685
@q1[ksoftirqd/169]: count 187, average 2797, total 523157

@q2[openssl]: count 1523, average 633, total 965135
@q2[ksoftirqd/169]: count 298, average 769, total 229233


@q4[openssl]: count 41149, average 956, total 39349579
@q4[ksoftirqd/169]: count 3285, average 977, total 3209709

@q5[openssl]: count 322771, average 434, total 140167643
@q5[ksoftirqd/169]: count 25221, average 892, total 22519463

@uc: count 2806, average 5587, total 15678494

@q1[ksoftirqd/169]: count 172, average 2649, total 455664
@q1[openssl]: count 1236, average 2679, total 3311343
@q1[kworker/169:0]: count 6, average 9758, total 58549

@q2[openssl]: count 1681, average 655, total 1102278
@q2[ksoftirqd/169]: count 274, average 688, total 188746
@q2[kworker/169:0]: count 7, average 5234, total 36639


@q4[openssl]: count 41440, average 952, total 39485116
@q4[ksoftirqd/169]: count 3053, average 957, total 2923718
@q4[kworker/169:0]: count 22, average 2240, total 49290

@q5[ksoftirqd/169]: count 23533, average 433, total 10195335
@q5[openssl]: count 324684, average 434, total 140966212
@q5[kworker/169:0]: count 165, average 528, total 87176

@uc: count 2131, average 5974, total 12732529

@q1[openssl]: count 1122, average 2651, total 2975214
@q1[ksoftirqd/169]: count 185, average 2656, total 491433
@q1[kworker/169:0]: count 1, average 37931, total 37931

@q2[openssl]: count 1553, average 629, total 977670
@q2[ksoftirqd/169]: count 299, average 778, total 232738
@q2[kworker/169:0]: count 1, average 34124, total 34124


@q4[openssl]: count 41276, average 955, total 39424304
@q4[ksoftirqd/169]: count 3150, average 967, total 3047011
@q4[kworker/169:0]: count 33, average 1865, total 61554

@q5[ksoftirqd/169]: count 24233, average 432, total 10478161
@q5[openssl]: count 323709, average 433, total 140453741
@q5[kworker/169:0]: count 262, average 495, total 129906

