Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 207, average 1380, total 285674
@q1[ksoftirqd/169]: count 4, average 2815, total 11262
@q1[kworker/169:0]: count 3, average 6312, total 18936

@q2[kworker/169:0]: count 3, average 7637, total 22913
@q2[openssl]: count 916, average 9895, total 9064259
@q2[ksoftirqd/169]: count 41, average 779872, total 31974777


@q4[openssl]: count 9774, average 952, total 9312280
@q4[ksoftirqd/169]: count 155, average 955, total 148067
@q4[kworker/169:0]: count 3, average 5016, total 15048

@q5[openssl]: count 74017, average 439, total 32558283
@q5[ksoftirqd/169]: count 1083, average 442, total 478816
@q5[kworker/169:0]: count 3, average 4291, total 12874

@uc: count 2060, average 46816, total 96441505

@q1[openssl]: count 353, average 1244, total 439197
@q1[ksoftirqd/169]: count 21, average 1632, total 34280
@q1[kworker/169:0]: count 4, average 8170, total 32681

@q2[openssl]: count 1607, average 629, total 1012090
@q2[ksoftirqd/169]: count 66, average 724, total 47813
@q2[kworker/169:0]: count 4, average 7762, total 31049


@q4[openssl]: count 13305, average 955, total 12719426
@q4[ksoftirqd/169]: count 145, average 1021, total 148142
@q4[kworker/169:0]: count 4, average 4536, total 18144

@q5[openssl]: count 101026, average 439, total 44388228
@q5[ksoftirqd/169]: count 963, average 445, total 428669
@q5[kworker/169:0]: count 5, average 2914, total 14574

@uc: count 2593, average 6816, total 17675264

@q1[openssl]: count 360, average 1243, total 447802
@q1[ksoftirqd/169]: count 19, average 1849, total 35134
@q1[kworker/169:0]: count 1, average 25108, total 25108

@q2[openssl]: count 1609, average 625, total 1006744
@q2[ksoftirqd/169]: count 75, average 762, total 57157
@q2[kworker/169:0]: count 1, average 29967, total 29967


@q4[ksoftirqd/169]: count 154, average 951, total 146575
@q4[openssl]: count 13309, average 952, total 12674403
@q4[kworker/169:0]: count 1, average 14337, total 14337

@q5[openssl]: count 101025, average 438, total 44287299
@q5[ksoftirqd/169]: count 1022, average 444, total 454358
@q5[kworker/169:0]: count 1, average 16261, total 16261

@uc: count 2099, average 6020, total 12637581

@q1[openssl]: count 355, average 1241, total 440747
@q1[ksoftirqd/169]: count 19, average 1976, total 37560
@q1[kworker/169:0]: count 1, average 23164, total 23164

@q2[openssl]: count 1619, average 629, total 1019090
@q2[ksoftirqd/169]: count 73, average 720, total 52618
@q2[kworker/169:0]: count 1, average 29235, total 29235


@q4[openssl]: count 13338, average 951, total 12696991
@q4[ksoftirqd/169]: count 133, average 964, total 128315
@q4[kworker/169:0]: count 1, average 14207, total 14207

@q5[openssl]: count 101133, average 439, total 44414983
@q5[ksoftirqd/169]: count 863, average 445, total 384750
@q5[kworker/169:0]: count 1, average 11772, total 11772

@uc: count 2100, average 6464, total 13575828

@q1[openssl]: count 364, average 1245, total 453323
@q1[ksoftirqd/169]: count 11, average 1568, total 17252
@q1[kworker/169:1]: count 1, average 25478, total 25478

@q2[openssl]: count 1613, average 629, total 1015823
@q2[ksoftirqd/169]: count 65, average 749, total 48731
@q2[kworker/169:1]: count 1, average 28113, total 28113


@q4[openssl]: count 13311, average 955, total 12718047
@q4[ksoftirqd/169]: count 156, average 998, total 155747
@q4[kworker/169:1]: count 1, average 14547, total 14547

@q5[openssl]: count 100968, average 438, total 44252523
@q5[ksoftirqd/169]: count 1092, average 445, total 486294
@q5[kworker/169:1]: count 1, average 12103, total 12103

@uc: count 2082, average 6595, total 13731622

@q1[openssl]: count 363, average 1245, total 452134
@q1[ksoftirqd/169]: count 11, average 2112, total 23233
@q1[kworker/169:1]: count 1, average 24125, total 24125

@q2[openssl]: count 1620, average 635, total 1029713
@q2[ksoftirqd/169]: count 60, average 769, total 46168
@q2[kworker/169:1]: count 1, average 29666, total 29666


@q4[openssl]: count 13331, average 954, total 12718820
@q4[ksoftirqd/169]: count 137, average 977, total 133942
@q4[kworker/169:1]: count 1, average 14027, total 14027

@q5[openssl]: count 101088, average 439, total 44445573
@q5[ksoftirqd/169]: count 966, average 444, total 429459
@q5[kworker/169:1]: count 1, average 11852, total 11852

@uc: count 2559, average 7752, total 19837788

@q1[openssl]: count 363, average 1273, total 462238
@q1[ksoftirqd/169]: count 16, average 1700, total 27200
@q1[kworker/169:1]: count 1, average 20218, total 20218

@q2[openssl]: count 1623, average 630, total 1024057
@q2[ksoftirqd/169]: count 64, average 726, total 46477
@q2[kworker/169:1]: count 2, average 13680, total 27361


@q4[openssl]: count 13336, average 953, total 12718693
@q4[ksoftirqd/169]: count 135, average 955, total 128994
@q4[kworker/169:1]: count 3, average 5146, total 15439

@q5[openssl]: count 101137, average 438, total 44345269
@q5[ksoftirqd/169]: count 905, average 446, total 404409
@q5[kworker/169:1]: count 12, average 1444, total 17335

@uc: count 2069, average 6165, total 12756578

@q1[openssl]: count 358, average 1266, total 453524
@q1[ksoftirqd/169]: count 15, average 1776, total 26640
@q1[kworker/169:1]: count 1, average 6372, total 6372
@q1[kworker/169:0]: count 1, average 13706, total 13706

@q2[openssl]: count 1619, average 636, total 1030503
@q2[ksoftirqd/169]: count 66, average 753, total 49708
@q2[kworker/169:1]: count 1, average 9799, total 9799
@q2[kworker/169:0]: count 2, average 9899, total 19798


@q4[openssl]: count 13310, average 951, total 12666830
@q4[ksoftirqd/169]: count 153, average 997, total 152631
@q4[kworker/169:0]: count 3, average 5179, total 15539
@q4[kworker/169:1]: count 1, average 7714, total 7714

@q5[openssl]: count 100991, average 438, total 44268481
@q5[ksoftirqd/169]: count 1054, average 444, total 468525
@q5[kworker/169:0]: count 12, average 1359, total 16310
@q5[kworker/169:1]: count 1, average 5170, total 5170

@uc: count 2132, average 6899, total 14708845

@q1[openssl]: count 353, average 1306, total 461269
@q1[ksoftirqd/169]: count 17, average 1909, total 32469
@q1[kworker/169:0]: count 2, average 8115, total 16231

@q2[openssl]: count 1608, average 644, total 1035599
@q2[ksoftirqd/169]: count 69, average 748, total 51626
@q2[kworker/169:0]: count 2, average 7799, total 15599


@q4[openssl]: count 13323, average 957, total 12756663
@q4[ksoftirqd/169]: count 136, average 998, total 135858
@q4[kworker/169:0]: count 3, average 4969, total 14908

@q5[openssl]: count 101099, average 438, total 44376235
@q5[ksoftirqd/169]: count 912, average 444, total 405798
@q5[kworker/169:0]: count 15, average 1018, total 15280

@uc: count 2088, average 6581, total 13741706

@q1[openssl]: count 363, average 1296, total 470674
@q1[ksoftirqd/169]: count 14, average 1569, total 21970

@q2[openssl]: count 1612, average 646, total 1041395
@q2[ksoftirqd/169]: count 49, average 854, total 41859
@q2[kworker/169:0]: count 1, average 33633, total 33633


@q4[openssl]: count 13279, average 957, total 12716342
@q4[ksoftirqd/169]: count 155, average 975, total 151162
@q4[kworker/169:0]: count 11, average 2458, total 27042

@q5[openssl]: count 100832, average 439, total 44293479
@q5[ksoftirqd/169]: count 1107, average 444, total 492263
@q5[kworker/169:0]: count 83, average 586, total 48665

@uc: count 2895, average 11257, total 32590658

@q1[openssl]: count 430, average 1297, total 557795
@q1[ksoftirqd/169]: count 17, average 1551, total 26380

@q2[openssl]: count 1682, average 635, total 1068403
@q2[ksoftirqd/169]: count 65, average 791, total 51479


@q4[openssl]: count 13343, average 954, total 12737894
@q4[ksoftirqd/169]: count 160, average 962, total 153933

@q5[openssl]: count 100918, average 439, total 44350379
@q5[ksoftirqd/169]: count 1104, average 445, total 492196

@uc: count 2528, average 9737, total 24616059

@q1[openssl]: count 356, average 1293, total 460495
@q1[ksoftirqd/169]: count 13, average 1698, total 22084
@q1[kworker/169:1]: count 1, average 11261, total 11261
@q1[kworker/169:0]: count 1, average 32491, total 32491

@q2[openssl]: count 1594, average 647, total 1032334
@q2[ksoftirqd/169]: count 57, average 805, total 45898
@q2[kworker/169:1]: count 1, average 5530, total 5530
@q2[kworker/169:0]: count 1, average 31780, total 31780


@q4[openssl]: count 13261, average 956, total 12686955
@q4[ksoftirqd/169]: count 178, average 1018, total 181267
@q4[kworker/169:1]: count 1, average 9107, total 9107
@q4[kworker/169:0]: count 1, average 23504, total 23504

@q5[openssl]: count 100807, average 438, total 44234173
@q5[ksoftirqd/169]: count 1265, average 447, total 566285
@q5[kworker/169:1]: count 2, average 3071, total 6142
@q5[kworker/169:0]: count 2, average 10404, total 20809

@uc: count 2586, average 15470, total 40007519

@q1[openssl]: count 362, average 1200, total 434536
@q1[ksoftirqd/169]: count 11, average 1642, total 18063
@q1[kworker/169:0]: count 1, average 31349, total 31349

@q2[openssl]: count 1610, average 627, total 1009973
@q2[ksoftirqd/169]: count 72, average 805, total 58027
@q2[kworker/169:0]: count 1, average 30107, total 30107


@q4[openssl]: count 13298, average 951, total 12658404
@q4[ksoftirqd/169]: count 162, average 958, total 155320
@q4[kworker/169:0]: count 1, average 21661, total 21661

@q5[openssl]: count 100896, average 439, total 44309318
@q5[ksoftirqd/169]: count 1133, average 443, total 502322
@q5[kworker/169:0]: count 1, average 13325, total 13325

@uc: count 2100, average 6347, total 13329583

@q1[openssl]: count 10249, average 1169, total 11987797
@q1[ksoftirqd/169]: count 127, average 1282, total 162874
@q1[kworker/169:0]: count 180, average 1338, total 240899

@q2[openssl]: count 11362, average 500, total 5689374
@q2[ksoftirqd/169]: count 169, average 596, total 100835
@q2[kworker/169:0]: count 181, average 651, total 117882


@q4[kworker/169:0]: count 193, average 763, total 147291
@q4[openssl]: count 21810, average 816, total 17815519
@q4[ksoftirqd/169]: count 238, average 851, total 202545

@q5[openssl]: count 100779, average 441, total 44481839
@q5[ksoftirqd/169]: count 994, average 449, total 446845
@q5[kworker/169:0]: count 287, average 499, total 143247

@uc: count 12842, average 2580, total 33134816

@q1[openssl]: count 986, average 1226, total 1208903
@q1[ksoftirqd/169]: count 21, average 1413, total 29686
@q1[kworker/169:0]: count 21, average 2345, total 49256
@q1[kworker/169:1]: count 1, average 7064, total 7064

@q2[openssl]: count 2233, average 593, total 1326230
@q2[ksoftirqd/169]: count 71, average 718, total 51008
@q2[kworker/169:0]: count 23, average 1764, total 40578
@q2[kworker/169:1]: count 1, average 7674, total 7674


