Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 524, average 2647, total 1387320
@q1[ksoftirqd/169]: count 116, average 2780, total 322483
@q1[kworker/169:1]: count 3, average 9741, total 29225

@q2[openssl]: count 936, average 1293, total 1210807
@q2[kworker/169:1]: count 4, average 7584, total 30336
@q2[ksoftirqd/169]: count 168, average 70203, total 11794261


@q4[openssl]: count 27600, average 967, total 26696302
@q4[ksoftirqd/169]: count 4379, average 980, total 4291489
@q4[kworker/169:1]: count 48, average 1122, total 53891

@q5[openssl]: count 216291, average 438, total 94855059
@q5[ksoftirqd/169]: count 34138, average 439, total 15000272
@q5[kworker/169:1]: count 361, average 458, total 165459

@uc: count 4005, average 21683, total 86844211

@q1[openssl]: count 908, average 2462, total 2236271
@q1[ksoftirqd/169]: count 205, average 2692, total 552063

@q2[openssl]: count 1546, average 659, total 1019446
@q2[ksoftirqd/169]: count 268, average 669, total 179367


@q4[ksoftirqd/169]: count 2865, average 965, total 2766896
@q4[openssl]: count 39963, average 968, total 38699484
@q4[kworker/169:1]: count 1, average 10359, total 10359

@q5[openssl]: count 313267, average 436, total 136816483
@q5[ksoftirqd/169]: count 21997, average 440, total 9687017
@q5[kworker/169:1]: count 8, average 1069, total 8556

@uc: count 2774, average 5534, total 15351643

@q1[openssl]: count 892, average 2490, total 2221748
@q1[ksoftirqd/169]: count 198, average 2679, total 530565

@q2[openssl]: count 1535, average 641, total 984001
@q2[ksoftirqd/169]: count 276, average 771, total 212916


@q4[openssl]: count 39957, average 969, total 38721001
@q4[ksoftirqd/169]: count 2937, average 975, total 2863729

@q5[openssl]: count 313346, average 436, total 136746722
@q5[ksoftirqd/169]: count 22484, average 437, total 9831298

@uc: count 1985, average 5857, total 11627616

@q1[openssl]: count 934, average 2557, total 2388779
@q1[ksoftirqd/169]: count 209, average 2690, total 562297
@q1[kworker/169:1]: count 1, average 36689, total 36689

@q2[openssl]: count 1532, average 647, total 991703
@q2[ksoftirqd/169]: count 285, average 768, total 219060
@q2[kworker/169:1]: count 1, average 34636, total 34636


@q4[openssl]: count 39457, average 970, total 38299036
@q4[ksoftirqd/169]: count 3581, average 1004, total 3595703
@q4[kworker/169:1]: count 46, average 1454, total 66917

@q5[openssl]: count 309338, average 436, total 135105066
@q5[ksoftirqd/169]: count 27667, average 438, total 12121388
@q5[kworker/169:1]: count 364, average 475, total 173227

@uc: count 2076, average 6596, total 13694056

@q1[openssl]: count 1039, average 2502, total 2599729
@q1[ksoftirqd/169]: count 231, average 2672, total 617300
@q1[kworker/169:1]: count 1, average 38472, total 38472

@q2[openssl]: count 1596, average 634, total 1012230
@q2[ksoftirqd/169]: count 307, average 754, total 231712
@q2[kworker/169:1]: count 1, average 35216, total 35216


@q4[openssl]: count 40247, average 967, total 38946117
@q4[ksoftirqd/169]: count 3035, average 969, total 2943000
@q4[kworker/169:1]: count 1, average 20018, total 20018

@q5[openssl]: count 315330, average 436, total 137487673
@q5[ksoftirqd/169]: count 23113, average 437, total 10120247
@q5[kworker/169:1]: count 6, average 3040, total 18245

@uc: count 1996, average 6002, total 11981538

@q1[ksoftirqd/169]: count 194, average 2602, total 504981
@q1[openssl]: count 1182, average 2611, total 3087307

@q2[openssl]: count 1569, average 640, total 1005460
@q2[ksoftirqd/169]: count 303, average 762, total 230901
@q2[kworker/169:1]: count 1, average 36519, total 36519


@q4[openssl]: count 40456, average 967, total 39150975
@q4[ksoftirqd/169]: count 3408, average 984, total 3355151
@q4[kworker/169:1]: count 49, average 1390, total 68139

@q5[openssl]: count 317045, average 436, total 138300045
@q5[ksoftirqd/169]: count 26112, average 438, total 11446633
@q5[kworker/169:1]: count 389, average 479, total 186384

@uc: count 2339, average 5980, total 13988526

@q1[openssl]: count 1149, average 2636, total 3029448
@q1[ksoftirqd/169]: count 213, average 2680, total 570841

@q2[openssl]: count 1564, average 643, total 1006031
@q2[ksoftirqd/169]: count 306, average 762, total 233415


@q4[openssl]: count 40449, average 970, total 39244226
@q4[ksoftirqd/169]: count 3537, average 988, total 3495083

@q5[openssl]: count 316965, average 435, total 138130356
@q5[ksoftirqd/169]: count 27173, average 437, total 11890839

@uc: count 1977, average 7081, total 14000346

@q1[openssl]: count 1104, average 2559, total 2825979
@q1[ksoftirqd/169]: count 220, average 2821, total 620659

@q2[openssl]: count 1630, average 653, total 1065105
@q2[ksoftirqd/169]: count 275, average 668, total 183739


@q4[openssl]: count 40569, average 967, total 39265847
@q4[ksoftirqd/169]: count 2968, average 974, total 2892604

@q5[openssl]: count 317697, average 436, total 138668193
@q5[ksoftirqd/169]: count 22827, average 438, total 10000428

@uc: count 1933, average 6516, total 12596872

@q1[openssl]: count 1061, average 2574, total 2731349
@q1[ksoftirqd/169]: count 228, average 2825, total 644250

@q2[openssl]: count 1587, average 641, total 1017437
@q2[ksoftirqd/169]: count 287, average 774, total 222208


@q4[openssl]: count 40328, average 968, total 39054890
@q4[ksoftirqd/169]: count 3101, average 974, total 3022808

@q5[openssl]: count 316023, average 435, total 137709897
@q5[ksoftirqd/169]: count 23834, average 437, total 10427683

@uc: count 2026, average 5543, total 11232103

