Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 513, average 2684, total 1377311
@q1[ksoftirqd/169]: count 63, average 2867, total 180647
@q1[kworker/169:1]: count 2, average 13104, total 26209

@q2[ksoftirqd/169]: count 130, average 1461, total 189956
@q2[openssl]: count 934, average 2522, total 2356110
@q2[kworker/169:1]: count 4, average 8100, total 32400


@q4[openssl]: count 27333, average 969, total 26495160
@q4[ksoftirqd/169]: count 4141, average 984, total 4075495
@q4[kworker/169:0]: count 65, average 1086, total 70607
@q4[kworker/169:1]: count 53, average 1336, total 70815

@q5[openssl]: count 214233, average 435, total 93283905
@q5[ksoftirqd/169]: count 32391, average 446, total 14476245
@q5[kworker/169:0]: count 508, average 447, total 227298
@q5[kworker/169:1]: count 412, average 477, total 196526

@uc: count 4562, average 25804, total 117717933

@q1[openssl]: count 883, average 2513, total 2219545
@q1[ksoftirqd/169]: count 122, average 2516, total 307057

@q2[openssl]: count 1604, average 652, total 1046871
@q2[ksoftirqd/169]: count 200, average 661, total 132258
@q2[kworker/169:1]: count 1, average 34916, total 34916


@q4[openssl]: count 40133, average 959, total 38488386
@q4[ksoftirqd/169]: count 2084, average 961, total 2004121
@q4[kworker/169:1]: count 6, average 4039, total 24234

@q5[openssl]: count 314554, average 434, total 136583912
@q5[ksoftirqd/169]: count 15982, average 438, total 7013677
@q5[kworker/169:1]: count 45, average 786, total 35376

@uc: count 2068, average 5929, total 12262216

@q1[openssl]: count 908, average 2516, total 2284910
@q1[ksoftirqd/169]: count 143, average 2633, total 376594

@q2[openssl]: count 1568, average 629, total 986504
@q2[ksoftirqd/169]: count 222, average 791, total 175818


@q4[openssl]: count 40358, average 957, total 38639563
@q4[ksoftirqd/169]: count 2231, average 960, total 2142704

@q5[openssl]: count 316429, average 433, total 137319222
@q5[ksoftirqd/169]: count 17106, average 441, total 7548475

@uc: count 2286, average 7103, total 16237863

@q1[ksoftirqd/169]: count 121, average 2403, total 290818
@q1[openssl]: count 864, average 2506, total 2165798

@q2[ksoftirqd/169]: count 206, average 656, total 135142
@q2[openssl]: count 1559, average 657, total 1024380


@q4[ksoftirqd/169]: count 2081, average 948, total 1974508
@q4[openssl]: count 40066, average 959, total 38440819

@q5[openssl]: count 314221, average 434, total 136482773
@q5[ksoftirqd/169]: count 15910, average 437, total 6960796

