-- Logs begin at Mon 2023-08-21 11:34:55 UTC, end at Mon 2023-08-21 18:47:05 UTC. --
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.446: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[145] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.446: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[146] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.448: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[147] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.449: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[148] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.451: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[149] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.473: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[150] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.473: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[151] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.473: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[152] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.474: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[153] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.474: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[154] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.475: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[155] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.475: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[156] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.475: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[157] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.475: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[158] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.476: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[159] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.476: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[160] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.476: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[161] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.476: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[162] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.477: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[163] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.477: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[164] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.477: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[165] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.477: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[166] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.478: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[167] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.478: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[168] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.480: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[169] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.504: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[170] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.504: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[171] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.505: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[172] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.505: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[173] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.506: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[174] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.506: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[175] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.507: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[176] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.507: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[177] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.507: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[178] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.508: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[179] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.508: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[180] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.508: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[181] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.509: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[183] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.509: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[184] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.510: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[185] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.510: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[186] (../src/amf/ngap-handler.c:623)
Aug 21 18:45:37 open5gs open5gs-amfd[83399]: 08/21 18:45:37.511: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[187] (../src/amf/ngap-handler.c:623)
