-- Logs begin at Mon 2023-08-21 11:34:55 UTC, end at Mon 2023-08-21 17:46:44 UTC. --
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.947: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[52] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.947: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[53] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.947: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[54] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.947: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[55] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.948: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[56] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.948: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[57] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.948: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[59] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.948: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[58] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.948: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[60] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.949: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[61] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.949: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[62] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.949: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[63] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.949: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[64] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.951: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[65] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.952: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[66] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.953: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[67] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.955: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[68] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.973: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[70] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.973: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[78] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.973: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[69] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.973: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[71] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.973: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[72] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.974: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[73] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.974: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[74] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.974: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[77] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.974: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[75] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.974: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[76] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.974: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[79] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.975: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[80] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.975: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[81] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.975: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[82] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.975: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[83] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.975: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[84] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.976: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[85] (../src/amf/ngap-handler.c:623)
Aug 21 17:45:15 open5gs open5gs-amfd[76801]: 08/21 17:45:15.995: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[86] (../src/amf/ngap-handler.c:623)
