-- Logs begin at Mon 2023-08-21 11:34:55 UTC, end at Mon 2023-08-21 17:34:45 UTC. --
Aug 21 17:33:17 open5gs open5gs-amfd[73026]: 08/21 17:33:17.954: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[21] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:17 open5gs open5gs-amfd[73026]: 08/21 17:33:17.956: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[22] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:17 open5gs open5gs-amfd[73026]: 08/21 17:33:17.978: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[24] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:17 open5gs open5gs-amfd[73026]: 08/21 17:33:17.978: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[28] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:17 open5gs open5gs-amfd[73026]: 08/21 17:33:17.978: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[23] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:17 open5gs open5gs-amfd[73026]: 08/21 17:33:17.978: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[25] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:17 open5gs open5gs-amfd[73026]: 08/21 17:33:17.979: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[26] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:17 open5gs open5gs-amfd[73026]: 08/21 17:33:17.979: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[29] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:17 open5gs open5gs-amfd[73026]: 08/21 17:33:17.979: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[27] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:17 open5gs open5gs-amfd[73026]: 08/21 17:33:17.979: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[30] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:17 open5gs open5gs-amfd[73026]: 08/21 17:33:17.980: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[31] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:17 open5gs open5gs-amfd[73026]: 08/21 17:33:17.980: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[32] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:17 open5gs open5gs-amfd[73026]: 08/21 17:33:17.980: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[33] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:17 open5gs open5gs-amfd[73026]: 08/21 17:33:17.980: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[34] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:17 open5gs open5gs-amfd[73026]: 08/21 17:33:17.981: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[35] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:17 open5gs open5gs-amfd[73026]: 08/21 17:33:17.981: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[36] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:17 open5gs open5gs-amfd[73026]: 08/21 17:33:17.981: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[37] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:17 open5gs open5gs-amfd[73026]: 08/21 17:33:17.981: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[38] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:17 open5gs open5gs-amfd[73026]: 08/21 17:33:17.981: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[39] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:17 open5gs open5gs-amfd[73026]: 08/21 17:33:17.982: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[40] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:18 open5gs open5gs-amfd[73026]: 08/21 17:33:18.004: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[41] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:18 open5gs open5gs-amfd[73026]: 08/21 17:33:18.004: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[42] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:18 open5gs open5gs-amfd[73026]: 08/21 17:33:18.004: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[43] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:18 open5gs open5gs-amfd[73026]: 08/21 17:33:18.005: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[44] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:18 open5gs open5gs-amfd[73026]: 08/21 17:33:18.005: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[45] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:18 open5gs open5gs-amfd[73026]: 08/21 17:33:18.005: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[46] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:18 open5gs open5gs-amfd[73026]: 08/21 17:33:18.005: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[47] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:18 open5gs open5gs-amfd[73026]: 08/21 17:33:18.005: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[48] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:18 open5gs open5gs-amfd[73026]: 08/21 17:33:18.006: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[49] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:18 open5gs open5gs-amfd[73026]: 08/21 17:33:18.006: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[50] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:18 open5gs open5gs-amfd[73026]: 08/21 17:33:18.006: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[51] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:18 open5gs open5gs-amfd[73026]: 08/21 17:33:18.006: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[52] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:18 open5gs open5gs-amfd[73026]: 08/21 17:33:18.006: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[53] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:18 open5gs open5gs-amfd[73026]: 08/21 17:33:18.007: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[54] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:18 open5gs open5gs-amfd[73026]: 08/21 17:33:18.007: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[55] (../src/amf/ngap-handler.c:623)
Aug 21 17:33:18 open5gs open5gs-amfd[73026]: 08/21 17:33:18.007: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[56] (../src/amf/ngap-handler.c:623)
