Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.





@uc: count 629, average 53233, total 33483633

@q1[swapper/169]: count 501, average 2598, total 1301686
@q1[ksoftirqd/169]: count 97, average 3095, total 300306
@q1[kworker/169:1]: count 1, average 12013, total 12013

@q2[swapper/169]: count 752, average 651, total 490079
@q2[ksoftirqd/169]: count 144, average 921, total 132737
@q2[kworker/169:1]: count 2, average 3170, total 6341


@q4[swapper/169]: count 17858, average 1142, total 20410182
@q4[ksoftirqd/169]: count 17727, average 1579, total 27997507
@q4[kworker/169:1]: count 7, average 2508, total 17562

@q5[swapper/169]: count 140049, average 471, total 65995595
@q5[kworker/169:1]: count 52, average 553, total 28797
@q5[ksoftirqd/169]: count 140579, average 650, total 91485185

@uc: count 23144, average 3069, total 71039975

@q1[swapper/169]: count 476, average 2743, total 1305678
@q1[ksoftirqd/169]: count 124, average 2820, total 349758
@q1[iperf]: count 1, average 37961, total 37961

@q2[swapper/169]: count 739, average 647, total 478665
@q2[ksoftirqd/169]: count 190, average 812, total 154449
@q2[iperf]: count 4, average 8410, total 33642


@q4[swapper/169]: count 22466, average 1032, total 23197896
@q4[ksoftirqd/169]: count 20791, average 1474, total 30654146
@q4[iperf]: count 38, average 1547, total 58792

@q5[swapper/169]: count 176626, average 463, total 81886073
@q5[iperf]: count 291, average 509, total 148189
@q5[ksoftirqd/169]: count 164881, average 649, total 107169848

@uc: count 30566, average 2096, total 64079390

@q1[swapper/169]: count 377, average 2603, total 981630
@q1[ksoftirqd/169]: count 113, average 2794, total 315759

@q2[swapper/169]: count 665, average 644, total 428703
@q2[ksoftirqd/169]: count 181, average 777, total 140795


@q4[swapper/169]: count 20176, average 1051, total 21207911
@q4[ksoftirqd/169]: count 22591, average 1488, total 33624568

@q5[swapper/169]: count 158646, average 473, total 75100052
@q5[ksoftirqd/169]: count 179174, average 658, total 117909171

@uc: count 31409, average 1737, total 54566749

@q1[swapper/169]: count 425, average 2566, total 1090786
@q1[ksoftirqd/169]: count 113, average 2985, total 337396
@q1[iperf]: count 1, average 38853, total 38853

@q2[swapper/169]: count 683, average 649, total 443495
@q2[ksoftirqd/169]: count 165, average 839, total 138443
@q2[iperf]: count 2, average 11817, total 23634


@q4[swapper/169]: count 21134, average 1039, total 21974137
@q4[ksoftirqd/169]: count 21776, average 1489, total 32428822
@q4[iperf]: count 96, average 1593, total 152942

@q5[swapper/169]: count 166163, average 468, total 77811779
@q5[ksoftirqd/169]: count 172704, average 655, total 113200858
@q5[iperf]: count 761, average 677, total 515843

@uc: count 30996, average 1884, total 58426554

@q1[swapper/169]: count 433, average 2568, total 1112158
@q1[ksoftirqd/169]: count 133, average 2855, total 379784

@q2[swapper/169]: count 694, average 649, total 450662
@q2[ksoftirqd/169]: count 195, average 782, total 152507


@q4[swapper/169]: count 20903, average 1046, total 21874458
@q4[ksoftirqd/169]: count 22156, average 1479, total 32789666
@q4[iperf]: count 80, average 1852, total 148176

@q5[swapper/169]: count 164229, average 470, total 77311048
@q5[ksoftirqd/169]: count 175637, average 653, total 114804720
@q5[iperf]: count 637, average 751, total 478398

@uc: count 29449, average 1722, total 50740125

@q1[swapper/169]: count 455, average 2709, total 1232873
@q1[ksoftirqd/169]: count 123, average 2747, total 337958

@q2[swapper/169]: count 680, average 646, total 439394
@q2[ksoftirqd/169]: count 188, average 806, total 151692
@q2[iperf]: count 1, average 31600, total 31600


@q4[swapper/169]: count 20444, average 1030, total 21060880
@q4[iperf]: count 47, average 1320, total 62076
@q4[ksoftirqd/169]: count 23122, average 1457, total 33692256

@q5[swapper/169]: count 160667, average 464, total 74636425
@q5[iperf]: count 373, average 480, total 179238
@q5[ksoftirqd/169]: count 183388, average 645, total 118342463

@uc: count 31203, average 1915, total 59775489

