Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q4[ksoftirqd/169]: count 23209, average 1430, total 33202737
@q4[iperf]: count 80, average 1824, total 145954

@q5[swapper/169]: count 167157, average 461, total 77154206
@q5[ksoftirqd/169]: count 184104, average 633, total 116589452
@q5[iperf]: count 636, average 742, total 472315

@uc: count 32311, average 1820, total 58835941

@q1[ksoftirqd/169]: count 132, average 2751, total 363247
@q1[swapper/169]: count 470, average 2810, total 1320704
@q1[iperf]: count 1, average 40175, total 40175

@q2[swapper/169]: count 712, average 657, total 467962
@q2[ksoftirqd/169]: count 199, average 805, total 160348
@q2[iperf]: count 1, average 28995, total 28995


@q4[swapper/169]: count 22238, average 1022, total 22735633
@q4[ksoftirqd/169]: count 22574, average 1394, total 31487680
@q4[iperf]: count 1, average 25358, total 25358

@q5[swapper/169]: count 174969, average 460, total 80605776
@q5[ksoftirqd/169]: count 178985, average 618, total 110776514
@q5[iperf]: count 7, average 3562, total 24936

@uc: count 29261, average 1857, total 54364816

@q1[ksoftirqd/169]: count 140, average 2665, total 373164
@q1[swapper/169]: count 475, average 2706, total 1285587
@q1[iperf]: count 1, average 38172, total 38172

@q2[swapper/169]: count 692, average 647, total 448053
@q2[ksoftirqd/169]: count 214, average 703, total 150493
@q2[iperf]: count 1, average 24126, total 24126


@q4[swapper/169]: count 21765, average 1030, total 22428238
@q4[ksoftirqd/169]: count 22613, average 1422, total 32173057
@q4[iperf]: count 23, average 1623, total 37332

@q5[swapper/169]: count 171269, average 465, total 79667071
@q5[iperf]: count 180, average 520, total 93758
@q5[ksoftirqd/169]: count 179218, average 629, total 112800416

@uc: count 31069, average 1568, total 48724345

@q1[swapper/169]: count 461, average 2683, total 1237244
@q1[ksoftirqd/169]: count 131, average 2769, total 362820
@q1[iperf]: count 3, average 5550, total 16650

@q2[swapper/169]: count 710, average 677, total 480921
@q2[ksoftirqd/169]: count 203, average 679, total 138016
@q2[iperf]: count 4, average 2118, total 8475


@q4[swapper/169]: count 21878, average 1020, total 22333955
@q4[iperf]: count 50, average 1027, total 51358
@q4[ksoftirqd/169]: count 22397, average 1427, total 31970157

@q5[iperf]: count 391, average 441, total 172548
@q5[swapper/169]: count 171960, average 461, total 79278553
@q5[ksoftirqd/169]: count 177601, average 632, total 112377942

@uc: count 31254, average 1644, total 51408458

@q1[swapper/169]: count 526, average 2706, total 1423505
@q1[ksoftirqd/169]: count 118, average 2918, total 344343

@q2[swapper/169]: count 764, average 649, total 495841
@q2[ksoftirqd/169]: count 192, average 809, total 155407


@q4[swapper/169]: count 22745, average 1015, total 23101084
@q4[ksoftirqd/169]: count 21622, average 1431, total 30950701
@q4[iperf]: count 16, average 2078, total 33261

@q5[swapper/169]: count 178783, average 458, total 81899253
@q5[iperf]: count 127, average 588, total 74693
@q5[ksoftirqd/169]: count 171465, average 632, total 108494502

@uc: count 30381, average 1720, total 52267515

@q1[swapper/169]: count 475, average 2701, total 1283228
@q1[ksoftirqd/169]: count 125, average 2723, total 340406
@q1[iperf]: count 3, average 5884, total 17654

@q2[swapper/169]: count 685, average 644, total 441769
@q2[ksoftirqd/169]: count 203, average 810, total 164446
@q2[iperf]: count 5, average 1879, total 9398


@q4[swapper/169]: count 21989, average 1018, total 22393438
@q4[iperf]: count 207, average 1393, total 288393
@q4[ksoftirqd/169]: count 22367, average 1418, total 31733367

@q5[swapper/169]: count 173052, average 458, total 79395326
@q5[ksoftirqd/169]: count 177286, average 626, total 111121340
@q5[iperf]: count 1632, average 648, total 1058390

@uc: count 31446, average 1811, total 56970120

@q1[ksoftirqd/169]: count 127, average 2725, total 346177
@q1[swapper/169]: count 497, average 2765, total 1374261

@q2[swapper/169]: count 729, average 686, total 500522
@q2[ksoftirqd/169]: count 194, average 705, total 136880


@q4[swapper/169]: count 22319, average 1021, total 22804896
@q4[ksoftirqd/169]: count 21842, average 1431, total 31269051

@q5[ksoftirqd/169]: count 173195, average 633, total 109706621
