Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[ksoftirqd/169]: count 58, average 2681, total 155498
@q1[swapper/169]: count 166, average 2772, total 460154
@q1[kworker/169:2]: count 1, average 11211, total 11211

@q2[ksoftirqd/169]: count 116, average 990, total 114953
@q2[swapper/169]: count 302, average 2319, total 700619
@q2[kworker/169:2]: count 1, average 9478, total 9478


@q4[swapper/169]: count 12825, average 1053, total 13512268
@q4[ksoftirqd/169]: count 18300, average 1361, total 24921577
@q4[kworker/169:2]: count 43, average 1375, total 59132
@q4[iperf]: count 80, average 1637, total 131032

@q5[swapper/169]: count 101074, average 473, total 47837902
@q5[kworker/169:2]: count 338, average 480, total 162392
@q5[ksoftirqd/169]: count 145131, average 608, total 88315754
@q5[iperf]: count 636, average 744, total 473205

@uc: count 24606, average 3611, total 88876864

@q1[ksoftirqd/169]: count 133, average 2576, total 342628
@q1[swapper/169]: count 382, average 2597, total 992145

@q2[ksoftirqd/169]: count 211, average 673, total 142158
@q2[swapper/169]: count 636, average 685, total 435689
@q2[iperf]: count 1, average 18715, total 18715


@q4[swapper/169]: count 20437, average 1063, total 21734781
@q4[ksoftirqd/169]: count 21817, average 1491, total 32542254
@q4[iperf]: count 18, average 1651, total 29725

@q5[swapper/169]: count 160674, average 476, total 76628655
@q5[iperf]: count 142, average 508, total 72241
@q5[ksoftirqd/169]: count 172932, average 666, total 115272077

@uc: count 32837, average 2010, total 66007789

@q1[swapper/169]: count 445, average 2631, total 1170984
@q1[ksoftirqd/169]: count 127, average 2872, total 364801

@q2[swapper/169]: count 679, average 652, total 443276
@q2[ksoftirqd/169]: count 197, average 788, total 155313


@q4[swapper/169]: count 20850, average 1046, total 21827287
@q4[ksoftirqd/169]: count 21960, average 1471, total 32311819
@q4[iperf]: count 80, average 1724, total 137939

@q5[swapper/169]: count 163937, average 468, total 76835772
@q5[ksoftirqd/169]: count 174112, average 655, total 114080561
@q5[iperf]: count 637, average 732, total 466431

@uc: count 30206, average 1856, total 56072337

@q1[swapper/169]: count 357, average 2593, total 925842
@q1[ksoftirqd/169]: count 133, average 2664, total 354403

@q2[swapper/169]: count 616, average 647, total 398925
@q2[ksoftirqd/169]: count 221, average 783, total 173173
@q2[iperf]: count 2, average 6487, total 12975


@q4[swapper/169]: count 19798, average 1066, total 21118889
@q4[iperf]: count 92, average 1497, total 137737
@q4[ksoftirqd/169]: count 22402, average 1500, total 33612628

@q5[swapper/169]: count 155702, average 477, total 74308404
@q5[ksoftirqd/169]: count 177557, average 667, total 118465404
@q5[iperf]: count 728, average 677, total 493359

@uc: count 32681, average 1675, total 54750698

@q1[ksoftirqd/169]: count 133, average 2615, total 347842
@q1[swapper/169]: count 394, average 2696, total 1062603

@q2[swapper/169]: count 618, average 655, total 405100
@q2[ksoftirqd/169]: count 208, average 795, total 165508
@q2[iperf]: count 2, average 14096, total 28193


@q4[swapper/169]: count 19945, average 1058, total 21108397
@q4[ksoftirqd/169]: count 23180, average 1469, total 34052000
@q4[iperf]: count 11, average 2569, total 28266

@q5[swapper/169]: count 156906, average 473, total 74350689
@q5[iperf]: count 85, average 652, total 55444
@q5[ksoftirqd/169]: count 183730, average 652, total 119899087

@uc: count 33034, average 1747, total 57730357

@q1[swapper/169]: count 428, average 2686, total 1149864
@q1[ksoftirqd/169]: count 136, average 2697, total 366852

@q2[swapper/169]: count 688, average 681, total 469069
@q2[ksoftirqd/169]: count 203, average 683, total 138788


@q4[swapper/169]: count 21731, average 1042, total 22655697
@q4[ksoftirqd/169]: count 21431, average 1470, total 31503594

@q5[swapper/169]: count 170956, average 466, total 79707930
@q5[ksoftirqd/169]: count 169895, average 653, total 110941756

@uc: count 31499, average 1653, total 52097177

@q1[swapper/169]: count 409, average 2537, total 1037777
@q1[ksoftirqd/169]: count 128, average 2931, total 375255

@q2[swapper/169]: count 667, average 648, total 432614
@q2[ksoftirqd/169]: count 189, average 798, total 150970
@q2[iperf]: count 2, average 6782, total 13565


@q4[swapper/169]: count 20366, average 1055, total 21496093
@q4[ksoftirqd/169]: count 22405, average 1490, total 33391649
@q4[iperf]: count 7, average 2520, total 17644

@q5[swapper/169]: count 160035, average 472, total 75584947
@q5[iperf]: count 54, average 546, total 29488
@q5[ksoftirqd/169]: count 177612, average 662, total 117662206

@uc: count 30719, average 1634, total 50218886

@q1[swapper/169]: count 409, average 2636, total 1078444
@q1[ksoftirqd/169]: count 138, average 2801, total 386648

@q2[swapper/169]: count 657, average 651, total 427853
@q2[ksoftirqd/169]: count 215, average 782, total 168332
@q2[iperf]: count 2, average 12939, total 25879


@q4[swapper/169]: count 20408, average 1049, total 21416683
@q4[ksoftirqd/169]: count 22549, average 1471, total 33183863
@q4[iperf]: count 32, average 1513, total 48416

@q5[swapper/169]: count 160453, average 468, total 75232335
@q5[iperf]: count 252, average 493, total 124395
