Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q2[ksoftirqd/169]: count 177, average 836, total 148123


@q4[swapper/169]: count 22149, average 1042, total 23085025
@q4[ksoftirqd/169]: count 21840, average 1456, total 31806371

@q5[swapper/169]: count 174247, average 468, total 81690676
@q5[ksoftirqd/169]: count 173186, average 644, total 111656275

@uc: count 31650, average 2454, total 77671896

@q1[swapper/169]: count 576, average 2719, total 1566431
@q1[ksoftirqd/169]: count 89, average 3211, total 285780

@q2[swapper/169]: count 943, average 660, total 623308
@q2[ksoftirqd/169]: count 137, average 902, total 123615


@q4[swapper/169]: count 28425, average 1008, total 28679526
@q4[ksoftirqd/169]: count 15529, average 1453, total 22577468

@q5[swapper/169]: count 223623, average 451, total 101026672
@q5[ksoftirqd/169]: count 123157, average 641, total 78974010

@uc: count 26240, average 2127, total 55818036

@q1[swapper/169]: count 459, average 2684, total 1232005
@q1[ksoftirqd/169]: count 106, average 3126, total 331425
@q1[iperf]: count 1, average 39304, total 39304

@q2[swapper/169]: count 787, average 657, total 517839
@q2[ksoftirqd/169]: count 158, average 869, total 137335
@q2[iperf]: count 3, average 5143, total 15429


@q4[swapper/169]: count 24265, average 1032, total 25043021
@q4[iperf]: count 31, average 1268, total 39322
@q4[ksoftirqd/169]: count 19463, average 1447, total 28174493

@q5[iperf]: count 242, average 459, total 111226
@q5[swapper/169]: count 190911, average 461, total 88191015
@q5[ksoftirqd/169]: count 154367, average 639, total 98671646

@uc: count 30350, average 1815, total 55107760

@q1[swapper/169]: count 540, average 2741, total 1480372
@q1[ksoftirqd/169]: count 93, average 2895, total 269268

@q2[swapper/169]: count 876, average 686, total 601787
@q2[ksoftirqd/169]: count 143, average 760, total 108711
@q2[kworker/169:2]: count 2, average 14292, total 28584


@q4[swapper/169]: count 26629, average 1023, total 27260698
@q4[kworker/169:2]: count 52, average 1347, total 70086
@q4[ksoftirqd/169]: count 16978, average 1455, total 24710856

@q5[swapper/169]: count 209512, average 458, total 96049543
@q5[kworker/169:2]: count 411, average 473, total 194519
@q5[ksoftirqd/169]: count 134676, average 642, total 86524292

@uc: count 30355, average 1706, total 51815257

@q1[swapper/169]: count 546, average 2705, total 1477471
@q1[ksoftirqd/169]: count 82, average 3253, total 266772

@q2[swapper/169]: count 916, average 659, total 603863
@q2[ksoftirqd/169]: count 130, average 843, total 109620
@q2[kworker/169:2]: count 2, average 14462, total 28924


@q4[swapper/169]: count 27209, average 1012, total 27552075
@q4[kworker/169:2]: count 52, average 1341, total 69743
@q4[ksoftirqd/169]: count 16454, average 1475, total 24272820

@q5[swapper/169]: count 213998, average 454, total 97184337
@q5[kworker/169:2]: count 411, average 477, total 196234
@q5[ksoftirqd/169]: count 130548, average 649, total 84822423

@uc: count 26906, average 1826, total 49141780

@q1[swapper/169]: count 478, average 2767, total 1322829
@q1[ksoftirqd/169]: count 94, average 2914, total 273990

@q2[swapper/169]: count 782, average 691, total 540590
@q2[ksoftirqd/169]: count 156, average 709, total 110618


@q4[swapper/169]: count 24509, average 1021, total 25031814
@q4[ksoftirqd/169]: count 19173, average 1472, total 28231870

@q5[swapper/169]: count 192892, average 457, total 88210838
@q5[ksoftirqd/169]: count 152094, average 647, total 98506704

@uc: count 28535, average 1898, total 54187512

@q1[swapper/169]: count 503, average 2694, total 1355200
@q1[ksoftirqd/169]: count 101, average 3222, total 325468

@q2[swapper/169]: count 829, average 665, total 551794
@q2[ksoftirqd/169]: count 148, average 843, total 124797
@q2[iperf]: count 2, average 12157, total 24315


@q4[swapper/169]: count 25430, average 1024, total 26047155
@q4[ksoftirqd/169]: count 18528, average 1447, total 26815893
@q4[iperf]: count 27, average 1485, total 40110

@q5[swapper/169]: count 200114, average 459, total 91874889
@q5[iperf]: count 213, average 505, total 107751
@q5[ksoftirqd/169]: count 146936, average 636, total 93579986

@uc: count 29057, average 1816, total 52773182

@q1[swapper/169]: count 557, average 2726, total 1518771
@q1[ksoftirqd/169]: count 100, average 3238, total 323816

@q2[swapper/169]: count 901, average 662, total 596705
@q2[ksoftirqd/169]: count 151, average 847, total 127919


@q4[swapper/169]: count 27263, average 1020, total 27816205
@q4[ksoftirqd/169]: count 16543, average 1458, total 24134541

@q5[swapper/169]: count 214444, average 456, total 97935067
@q5[ksoftirqd/169]: count 131169, average 641, total 84109135

@uc: count 27526, average 1885, total 51893578

@q1[swapper/169]: count 596, average 2723, total 1623478
@q1[ksoftirqd/169]: count 89, average 2852, total 253915

@q2[swapper/169]: count 957, average 681, total 652451
@q2[ksoftirqd/169]: count 135, average 715, total 96563


@q4[swapper/169]: count 28287, average 1015, total 28718710
@q4[ksoftirqd/169]: count 15492, average 1452, total 22506620
@q4[iperf]: count 80, average 1782, total 142580

@q5[swapper/169]: count 222416, average 455, total 101247879
@q5[ksoftirqd/169]: count 122921, average 640, total 78707179
@q5[iperf]: count 637, average 744, total 474107

@uc: count 26095, average 1827, total 47684900

@q1[swapper/169]: count 514, average 2681, total 1378259
@q1[ksoftirqd/169]: count 92, average 3239, total 298040

@q2[swapper/169]: count 827, average 656, total 543074
@q2[ksoftirqd/169]: count 141, average 888, total 125312


@q4[swapper/169]: count 25235, average 1021, total 25765327
@q4[ksoftirqd/169]: count 18350, average 1471, total 27009671

@q5[swapper/169]: count 198486, average 457, total 90887035
@q5[ksoftirqd/169]: count 145549, average 649, total 94525573

@uc: count 27754, average 1821, total 50555256

@q1[swapper/169]: count 506, average 2833, total 1433779
@q1[ksoftirqd/169]: count 89, average 2975, total 264820
@q1[iperf]: count 1, average 11893, total 11893

@q2[swapper/169]: count 819, average 694, total 568978
@q2[ksoftirqd/169]: count 141, average 748, total 105568
@q2[iperf]: count 1, average 6051, total 6051


@q4[swapper/169]: count 25260, average 1023, total 25860967
@q4[ksoftirqd/169]: count 18491, average 1462, total 27052165
@q4[iperf]: count 13, average 1534, total 19947

@q5[swapper/169]: count 198793, average 459, total 91286719
@q5[iperf]: count 100, average 534, total 53432
@q5[ksoftirqd/169]: count 146714, average 644, total 94590465

@uc: count 29366, average 1766, total 51863953

@q1[swapper/169]: count 519, average 2839, total 1473898
@q1[ksoftirqd/169]: count 104, average 2864, total 297874
@q1[iperf]: count 1, average 38242, total 38242

@q2[swapper/169]: count 822, average 688, total 566232
@q2[ksoftirqd/169]: count 161, average 714, total 115008
@q2[iperf]: count 1, average 23754, total 23754


@q4[swapper/169]: count 25339, average 1016, total 25764292
@q4[ksoftirqd/169]: count 19102, average 1418, total 27104646
@q4[iperf]: count 11, average 2863, total 31500

@q5[swapper/169]: count 199419, average 454, total 90580084
@q5[ksoftirqd/169]: count 151520, average 626, total 94970819
@q5[iperf]: count 84, average 678, total 56973

@uc: count 29192, average 3106, total 90671236

@q1[swapper/169]: count 460, average 2775, total 1276649
@q1[ksoftirqd/169]: count 113, average 2875, total 324967
@q1[iperf]: count 3, average 15599, total 46797

@q2[swapper/169]: count 740, average 680, total 503905
@q2[ksoftirqd/169]: count 180, average 738, total 132927
@q2[iperf]: count 5, average 6225, total 31128
@q2[kworker/169:2]: count 2, average 9002, total 18004


@q4[swapper/169]: count 23701, average 1034, total 24530081
@q4[kworker/169:2]: count 47, average 1239, total 58252
