Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q2[ksoftirqd/169]: count 193, average 810, total 156493
@q2[iperf]: count 2, average 10099, total 20198
@q2[kworker/169:0]: count 2, average 13785, total 27571


@q4[swapper/169]: count 22475, average 1028, total 23106277
@q4[kworker/169:0]: count 55, average 1289, total 70896
@q4[iperf]: count 42, average 1306, total 54875
@q4[ksoftirqd/169]: count 21724, average 1419, total 30830850

@q5[swapper/169]: count 176743, average 464, total 82025366
@q5[kworker/169:0]: count 434, average 475, total 206358
@q5[iperf]: count 326, average 479, total 156309
@q5[ksoftirqd/169]: count 172228, average 641, total 110496169

@uc: count 31710, average 2492, total 79029649

@q1[swapper/169]: count 480, average 2690, total 1291352
@q1[ksoftirqd/169]: count 128, average 2798, total 358247
@q1[iperf]: count 1, average 40296, total 40296

@q2[swapper/169]: count 713, average 687, total 490292
@q2[ksoftirqd/169]: count 184, average 692, total 127337
@q2[iperf]: count 4, average 7409, total 29636


@q4[swapper/169]: count 21847, average 1024, total 22393040
@q4[ksoftirqd/169]: count 21823, average 1442, total 31483265
@q4[iperf]: count 35, average 1448, total 50688

@q5[swapper/169]: count 171709, average 462, total 79493632
@q5[iperf]: count 273, average 497, total 135804
@q5[ksoftirqd/169]: count 173054, average 651, total 112762766

@uc: count 30894, average 1830, total 56540942

@q1[swapper/169]: count 441, average 2648, total 1168186
@q1[ksoftirqd/169]: count 125, average 2764, total 345505
@q1[iperf]: count 1, average 38503, total 38503

@q2[swapper/169]: count 681, average 702, total 478536
@q2[ksoftirqd/169]: count 187, average 713, total 133509
@q2[iperf]: count 2, average 14046, total 28093


@q4[swapper/169]: count 20600, average 1028, total 21179625
@q4[ksoftirqd/169]: count 23330, average 1439, total 33583626
@q4[iperf]: count 33, average 1586, total 52357

@q5[swapper/169]: count 161874, average 463, total 75013907
@q5[iperf]: count 255, average 515, total 131542
@q5[ksoftirqd/169]: count 185106, average 649, total 120211128

@uc: count 32516, average 1638, total 53262756

@q1[swapper/169]: count 475, average 2659, total 1263346
@q1[ksoftirqd/169]: count 118, average 2822, total 333051

@q2[swapper/169]: count 721, average 669, total 482563
@q2[ksoftirqd/169]: count 180, average 728, total 131125
@q2[iperf]: count 2, average 14737, total 29475


@q4[swapper/169]: count 22501, average 1029, total 23155563
@q4[ksoftirqd/169]: count 21313, average 1440, total 30692588
@q4[iperf]: count 27, average 1855, total 50111

@q5[swapper/169]: count 177035, average 464, total 82195619
@q5[iperf]: count 212, average 533, total 113042
@q5[ksoftirqd/169]: count 168939, average 649, total 109776322

@uc: count 30032, average 1658, total 49793436

@q1[swapper/169]: count 406, average 2668, total 1083214
@q1[ksoftirqd/169]: count 134, average 2781, total 372773

@q2[swapper/169]: count 629, average 692, total 435470
@q2[ksoftirqd/169]: count 199, average 699, total 139174


@q4[swapper/169]: count 20388, average 1047, total 21355559
@q4[ksoftirqd/169]: count 23065, average 1460, total 33693730

@q5[swapper/169]: count 160351, average 472, total 75789268
@q5[ksoftirqd/169]: count 182931, average 658, total 120387807

@uc: count 33434, average 1679, total 56155534

@q1[swapper/169]: count 458, average 2623, total 1201706
@q1[ksoftirqd/169]: count 132, average 3016, total 398213

@q2[swapper/169]: count 698, average 667, total 465645
@q2[ksoftirqd/169]: count 197, average 805, total 158732


@q4[swapper/169]: count 21549, average 1035, total 22321579
@q4[ksoftirqd/169]: count 22051, average 1440, total 31765235

@q5[swapper/169]: count 169435, average 466, total 79028845
@q5[ksoftirqd/169]: count 174893, average 649, total 113638226

@uc: count 29884, average 2864, total 85591561

@q1[swapper/169]: count 455, average 2712, total 1234305
@q1[ksoftirqd/169]: count 126, average 2773, total 349429
@q1[iperf]: count 1, average 38202, total 38202

@q2[swapper/169]: count 675, average 664, total 448756
@q2[ksoftirqd/169]: count 186, average 835, total 155435
@q2[iperf]: count 4, average 7198, total 28795


@q4[swapper/169]: count 21654, average 1044, total 22607909
@q4[iperf]: count 39, average 1377, total 53740
@q4[ksoftirqd/169]: count 22346, average 1427, total 31904900

@q5[swapper/169]: count 170373, average 470, total 80086215
@q5[iperf]: count 300, average 486, total 146091
@q5[ksoftirqd/169]: count 177213, average 641, total 113604678

@uc: count 31100, average 1733, total 53921374

@q1[swapper/169]: count 483, average 2754, total 1330417
@q1[ksoftirqd/169]: count 127, average 2801, total 355808
@q1[kworker/169:0]: count 1, average 36278, total 36278
@q1[iperf]: count 1, average 37581, total 37581

@q2[swapper/169]: count 668, average 692, total 462314
@q2[ksoftirqd/169]: count 201, average 698, total 140411
@q2[iperf]: count 2, average 11782, total 23564
@q2[kworker/169:0]: count 1, average 17914, total 17914


@q4[swapper/169]: count 21207, average 1037, total 21999131
@q4[kworker/169:0]: count 48, average 1289, total 61885
@q4[ksoftirqd/169]: count 22415, average 1449, total 32488096
@q4[iperf]: count 24, average 1636, total 39277

@q5[swapper/169]: count 166722, average 466, total 77816828
@q5[kworker/169:0]: count 379, average 475, total 180190
@q5[iperf]: count 187, average 520, total 97357
@q5[ksoftirqd/169]: count 177816, average 651, total 115814221

@uc: count 30040, average 1711, total 51424197

@q1[swapper/169]: count 486, average 2610, total 1268734
@q1[ksoftirqd/169]: count 127, average 3029, total 384701

@q2[swapper/169]: count 714, average 669, total 477715
@q2[ksoftirqd/169]: count 197, average 808, total 159333
@q2[iperf]: count 2, average 14231, total 28463


@q4[swapper/169]: count 21586, average 1033, total 22306217
@q4[ksoftirqd/169]: count 21932, average 1442, total 31641499
@q4[iperf]: count 28, average 1630, total 45650

@q5[swapper/169]: count 169663, average 465, total 78983721
@q5[iperf]: count 219, average 519, total 113860
@q5[ksoftirqd/169]: count 173898, average 648, total 112773739

@uc: count 29949, average 1648, total 49366181

@q1[swapper/169]: count 478, average 2640, total 1262017
@q1[ksoftirqd/169]: count 124, average 2959, total 366958
