Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[swapper/169]: count 262, average 3104, total 813321
@q1[ksoftirqd/169]: count 90, average 4807, total 432715

@q2[ksoftirqd/169]: count 153, average 1307, total 200052
@q2[swapper/169]: count 538, average 3126, total 1681863
@q2[iperf]: count 2, average 13570, total 27141


@q4[swapper/169]: count 17257, average 1348, total 23268751
@q4[ksoftirqd/169]: count 6543, average 1518, total 9937295
@q4[iperf]: count 38, average 1714, total 65157
@q4[kworker/169:0]: count 17, average 3035, total 51599

@q5[swapper/169]: count 135323, average 597, total 80829977
@q5[ksoftirqd/169]: count 51646, average 673, total 34791353
@q5[iperf]: count 300, average 734, total 220231
@q5[kworker/169:0]: count 135, average 888, total 119898

@uc: count 16841, average 5111, total 86085322

@q1[swapper/169]: count 357, average 3358, total 1198998
@q1[ksoftirqd/169]: count 189, average 4303, total 813294
@q1[iperf]: count 2, average 22402, total 44804

@q2[swapper/169]: count 731, average 856, total 626010
@q2[ksoftirqd/169]: count 284, average 1076, total 305755
@q2[iperf]: count 6, average 6336, total 38020


@q4[swapper/169]: count 26725, average 1415, total 37823474
@q4[ksoftirqd/169]: count 5568, average 1579, total 8792041
@q4[iperf]: count 78, average 1831, total 142860

@q5[swapper/169]: count 210753, average 622, total 131278355
@q5[ksoftirqd/169]: count 43693, average 689, total 30137048
@q5[iperf]: count 610, average 748, total 456803

@uc: count 23877, average 2389, total 57047883

@q1[swapper/169]: count 403, average 3038, total 1224444
@q1[ksoftirqd/169]: count 196, average 4099, total 803552
@q1[iperf]: count 4, average 11777, total 47109

@q2[swapper/169]: count 840, average 803, total 675216
@q2[ksoftirqd/169]: count 299, average 1031, total 308300
@q2[iperf]: count 9, average 3198, total 28783


@q4[swapper/169]: count 27036, average 1347, total 36442111
@q4[ksoftirqd/169]: count 5266, average 1523, total 8022240
@q4[iperf]: count 137, average 1568, total 214863

@q5[swapper/169]: count 212776, average 594, total 126558068
@q5[ksoftirqd/169]: count 41224, average 672, total 27732034
@q5[iperf]: count 1074, average 717, total 770592

@uc: count 20697, average 2776, total 57470880

@q1[swapper/169]: count 512, average 3080, total 1577443
@q1[ksoftirqd/169]: count 149, average 4931, total 734737
@q1[kworker/169:0]: count 2, average 17462, total 34925
@q1[iperf]: count 1, average 41328, total 41328

@q2[swapper/169]: count 933, average 789, total 737020
@q2[ksoftirqd/169]: count 243, average 1215, total 295397
@q2[kworker/169:0]: count 2, average 6898, total 13796
@q2[iperf]: count 2, average 8190, total 16381


@q4[swapper/169]: count 27785, average 1371, total 38108059
@q4[ksoftirqd/169]: count 4608, average 1572, total 7247513
@q4[iperf]: count 57, average 1650, total 94068
@q4[kworker/169:0]: count 7, average 2798, total 19588

@q5[swapper/169]: count 218398, average 606, total 132355855
@q5[kworker/169:0]: count 47, average 673, total 31657
@q5[ksoftirqd/169]: count 36232, average 691, total 25053306
@q5[iperf]: count 451, average 725, total 327298

@uc: count 22080, average 2399, total 52975416

@q1[swapper/169]: count 432, average 3345, total 1445117
@q1[ksoftirqd/169]: count 180, average 4347, total 782630
@q1[iperf]: count 3, average 15616, total 46848

@q2[swapper/169]: count 816, average 851, total 695114
@q2[ksoftirqd/169]: count 278, average 1091, total 303574
@q2[iperf]: count 6, average 3954, total 23725
@q2[kworker/169:0]: count 1, average 8897, total 8897


@q4[swapper/169]: count 26566, average 1406, total 37361603
@q4[ksoftirqd/169]: count 5707, average 1571, total 8970653
@q4[iperf]: count 126, average 1601, total 201737
@q4[kworker/169:0]: count 12, average 1667, total 20007

@q5[swapper/169]: count 209152, average 619, total 129562105
@q5[kworker/169:0]: count 95, average 646, total 61371
@q5[ksoftirqd/169]: count 44845, average 688, total 30863241
@q5[iperf]: count 993, average 718, total 713837

@uc: count 23633, average 2688, total 63542571

@q1[swapper/169]: count 393, average 3276, total 1287778
@q1[ksoftirqd/169]: count 199, average 4114, total 818721
@q1[iperf]: count 1, average 38212, total 38212

@q2[swapper/169]: count 783, average 832, total 652230
@q2[ksoftirqd/169]: count 300, average 1046, total 313882
@q2[iperf]: count 1, average 19576, total 19576


@q4[swapper/169]: count 27199, average 1383, total 37620213
@q4[ksoftirqd/169]: count 5171, average 1558, total 8057298
@q4[iperf]: count 37, average 1965, total 72721

@q5[swapper/169]: count 214183, average 608, total 130259678
@q5[ksoftirqd/169]: count 40477, average 685, total 27752895
@q5[iperf]: count 292, average 759, total 221691

@uc: count 22191, average 2491, total 55284615

@q1[swapper/169]: count 491, average 2966, total 1456529
@q1[iperf]: count 478, average 3880, total 1855097
@q1[ksoftirqd/169]: count 151, average 4257, total 642948
@q1[kworker/169:0]: count 1, average 27943, total 27943

@q2[swapper/169]: count 948, average 792, total 751027
@q2[ksoftirqd/169]: count 233, average 1073, total 250222
@q2[iperf]: count 482, average 1078, total 520057
@q2[kworker/169:0]: count 3, average 6438, total 19316


@q4[swapper/169]: count 27126, average 1332, total 36142784
@q4[iperf]: count 538, average 1368, total 736348
@q4[kworker/169:0]: count 38, average 1389, total 52798
@q4[ksoftirqd/169]: count 4932, average 1553, total 7659694

@q5[kworker/169:0]: count 297, average 461, total 136930
@q5[swapper/169]: count 213060, average 585, total 124764270
@q5[ksoftirqd/169]: count 38732, average 681, total 26394228
@q5[iperf]: count 3088, average 717, total 2216734

@uc: count 19179, average 3532, total 67755093

@q1[swapper/169]: count 415, average 3289, total 1365030
@q1[ksoftirqd/169]: count 161, average 4768, total 767728
@q1[iperf]: count 5, average 9530, total 47650

@q2[swapper/169]: count 813, average 816, total 664051
@q2[ksoftirqd/169]: count 257, average 1182, total 304030
@q2[iperf]: count 6, average 3142, total 18857


@q4[swapper/169]: count 26981, average 1393, total 37600978
@q4[iperf]: count 118, average 1558, total 183905
@q4[ksoftirqd/169]: count 5299, average 1576, total 8351833

@q5[swapper/169]: count 212386, average 609, total 129552146
@q5[ksoftirqd/169]: count 41720, average 688, total 28740028
@q5[iperf]: count 924, average 694, total 641955

@uc: count 22157, average 2396, total 53102596

@q1[swapper/169]: count 473, average 2890, total 1367117
@q1[ksoftirqd/169]: count 183, average 4344, total 795092
@q1[iperf]: count 4, average 13433, total 53732

@q2[swapper/169]: count 923, average 760, total 701959
@q2[ksoftirqd/169]: count 281, average 1115, total 313445
@q2[iperf]: count 10, average 2987, total 29877


@q4[swapper/169]: count 27178, average 1345, total 36555403
@q4[ksoftirqd/169]: count 5158, average 1563, total 8062791
@q4[iperf]: count 140, average 1616, total 226278

@q5[swapper/169]: count 213590, average 590, total 126184291
@q5[ksoftirqd/169]: count 40368, average 683, total 27598677
@q5[iperf]: count 1094, average 719, total 786993

@uc: count 21009, average 2898, total 60889067

@q1[swapper/169]: count 472, average 3094, total 1460658
@q1[ksoftirqd/169]: count 178, average 4398, total 782982
@q1[iperf]: count 3, average 14524, total 43572
@q1[kworker/169:0]: count 2, average 20744, total 41488

@q2[swapper/169]: count 914, average 797, total 728473
@q2[ksoftirqd/169]: count 281, average 1067, total 300088
@q2[iperf]: count 7, average 4512, total 31590
@q2[kworker/169:0]: count 3, average 6372, total 19116


@q4[swapper/169]: count 27210, average 1357, total 36930894
@q4[ksoftirqd/169]: count 5106, average 1539, total 7861366
@q4[iperf]: count 150, average 1623, total 243471
@q4[kworker/169:0]: count 9, average 2616, total 23544

@q5[swapper/169]: count 213856, average 597, total 127694073
@q5[kworker/169:0]: count 60, average 677, total 40657
@q5[ksoftirqd/169]: count 40039, average 680, total 27249836
@q5[iperf]: count 1179, average 722, total 851860

@uc: count 21464, average 3202, total 68734183

@q1[swapper/169]: count 399, average 3103, total 1238171
@q1[ksoftirqd/169]: count 200, average 4942, total 988536
@q1[iperf]: count 3, average 15642, total 46928

@q2[swapper/169]: count 708, average 797, total 564533
@q2[ksoftirqd/169]: count 297, average 1208, total 358948
@q2[iperf]: count 8, average 4012, total 32100


@q4[swapper/169]: count 26143, average 1454, total 38035175
@q4[iperf]: count 195, average 1601, total 312359
@q4[ksoftirqd/169]: count 6057, average 1619, total 9810766

@q5[swapper/169]: count 205883, average 637, total 131345296
@q5[ksoftirqd/169]: count 47696, average 710, total 33888243
@q5[iperf]: count 1535, average 715, total 1097660

@uc: count 25295, average 2947, total 74546943

@q1[swapper/169]: count 410, average 3005, total 1232082
@q1[ksoftirqd/169]: count 190, average 4432, total 842126
@q1[iperf]: count 9, average 4896, total 44071

@q2[swapper/169]: count 842, average 776, total 654052
@q2[ksoftirqd/169]: count 282, average 1123, total 316844
@q2[iperf]: count 14, average 1788, total 25045


@q4[swapper/169]: count 27049, average 1352, total 36579662
@q4[iperf]: count 213, average 1528, total 325592
@q4[ksoftirqd/169]: count 5170, average 1550, total 8015120

@q5[swapper/169]: count 212949, average 594, total 126592760
@q5[ksoftirqd/169]: count 40504, average 677, total 27447000
@q5[iperf]: count 1671, average 715, total 1194783

@uc: count 20761, average 2739, total 56874506

@q1[swapper/169]: count 434, average 3341, total 1450060
@q1[ksoftirqd/169]: count 185, average 4077, total 754429
@q1[iperf]: count 2, average 22958, total 45916

@q2[swapper/169]: count 884, average 836, total 739435
@q2[ksoftirqd/169]: count 292, average 1008, total 294584
@q2[iperf]: count 5, average 7103, total 35517


@q4[swapper/169]: count 27017, average 1367, total 36956821
@q4[ksoftirqd/169]: count 5360, average 1553, total 8326863
@q4[iperf]: count 79, average 1769, total 139811

@q5[swapper/169]: count 212506, average 599, total 127501509
@q5[ksoftirqd/169]: count 41968, average 679, total 28511206
@q5[iperf]: count 621, average 741, total 460730

@uc: count 21501, average 2706, total 58192330

@q1[swapper/169]: count 402, average 3245, total 1304564
@q1[ksoftirqd/169]: count 170, average 4567, total 776520
@q1[iperf]: count 3, average 15642, total 46927

@q2[swapper/169]: count 790, average 826, total 652902
@q2[ksoftirqd/169]: count 262, average 1108, total 290312
@q2[iperf]: count 8, average 3580, total 28643


@q4[swapper/169]: count 27091, average 1399, total 37905872
@q4[ksoftirqd/169]: count 5171, average 1576, total 8154454
@q4[iperf]: count 127, average 1615, total 205158

@q5[swapper/169]: count 213407, average 612, total 130658504
@q5[ksoftirqd/169]: count 40659, average 691, total 28108767
@q5[iperf]: count 993, average 719, total 714011

@uc: count 22814, average 2451, total 55929701

@q1[swapper/169]: count 586, average 2845, total 1667559
@q1[ksoftirqd/169]: count 153, average 4291, total 656642
@q1[iperf]: count 3, average 16404, total 49213
@q1[kworker/169:0]: count 1, average 39153, total 39153

@q2[swapper/169]: count 1086, average 759, total 824650
@q2[ksoftirqd/169]: count 244, average 1043, total 254682
@q2[iperf]: count 6, average 4740, total 28443
@q2[kworker/169:0]: count 3, average 6823, total 20469


@q4[swapper/169]: count 27781, average 1312, total 36459055
@q4[ksoftirqd/169]: count 4631, average 1552, total 7188494
@q4[iperf]: count 119, average 1633, total 194415
@q4[kworker/169:0]: count 17, average 1944, total 33052

@q5[swapper/169]: count 217674, average 577, total 125765585
@q5[kworker/169:0]: count 131, average 609, total 79846
@q5[ksoftirqd/169]: count 36309, average 679, total 24677658
@q5[iperf]: count 934, average 721, total 674057

@uc: count 19179, average 2565, total 49207463

@q1[swapper/169]: count 358, average 3290, total 1177838
@q1[ksoftirqd/169]: count 204, average 4112, total 839005
@q1[iperf]: count 11, average 5273, total 58009

@q2[swapper/169]: count 711, average 842, total 599248
@q2[ksoftirqd/169]: count 312, average 1035, total 323033
@q2[iperf]: count 16, average 1815, total 29045
@q2[kworker/169:0]: count 1, average 16210, total 16210


@q4[swapper/169]: count 26395, average 1394, total 36820446
@q4[iperf]: count 254, average 1532, total 389222
@q4[ksoftirqd/169]: count 5726, average 1550, total 8875319
@q4[kworker/169:0]: count 19, average 2325, total 44176

@q5[swapper/169]: count 208120, average 611, total 127214769
@q5[ksoftirqd/169]: count 44858, average 682, total 30609352
@q5[iperf]: count 1987, average 713, total 1418576
@q5[kworker/169:0]: count 150, average 776, total 116456

@uc: count 22445, average 3097, total 69513339

@q1[swapper/169]: count 534, average 3104, total 1657631
@q1[ksoftirqd/169]: count 160, average 4579, total 732671
@q1[iperf]: count 2, average 23344, total 46688

@q2[swapper/169]: count 1006, average 789, total 794028
@q2[ksoftirqd/169]: count 262, average 1171, total 306925
@q2[iperf]: count 4, average 5575, total 22302
@q2[kworker/169:0]: count 1, average 31399, total 31399


@q4[swapper/169]: count 27338, average 1326, total 36251539
@q4[ksoftirqd/169]: count 5051, average 1557, total 7866472
@q4[iperf]: count 100, average 1717, total 171713
@q4[kworker/169:0]: count 13, average 1800, total 23405

@q5[kworker/169:0]: count 101, average 503, total 50825
@q5[swapper/169]: count 214594, average 584, total 125421818
@q5[ksoftirqd/169]: count 39645, average 683, total 27093009
@q5[iperf]: count 789, average 724, total 571327

@uc: count 20076, average 2715, total 54525588

@q1[swapper/169]: count 491, average 3088, total 1516263
@q1[iperf]: count 176, average 4050, total 712929
@q1[ksoftirqd/169]: count 146, average 4460, total 651217

@q2[swapper/169]: count 966, average 787, total 760597
@q2[ksoftirqd/169]: count 240, average 1098, total 263655
@q2[iperf]: count 178, average 1151, total 204925


@q4[swapper/169]: count 27759, average 1341, total 37231210
@q4[iperf]: count 232, average 1399, total 324740
@q4[ksoftirqd/169]: count 4520, average 1557, total 7042130
@q4[kworker/169:0]: count 7, average 2948, total 20640

@q5[swapper/169]: count 218141, average 590, total 128807531
@q5[kworker/169:0]: count 56, average 640, total 35876
@q5[ksoftirqd/169]: count 35490, average 680, total 24165882
@q5[iperf]: count 1421, average 724, total 1029068

@uc: count 20264, average 2511, total 50895859

@q1[swapper/169]: count 404, average 3231, total 1305422
@q1[ksoftirqd/169]: count 182, average 4183, total 761374
@q1[iperf]: count 3, average 16066, total 48200

@q2[swapper/169]: count 788, average 837, total 659988
@q2[ksoftirqd/169]: count 270, average 1058, total 285739
@q2[iperf]: count 5, average 5305, total 26529


@q4[swapper/169]: count 27278, average 1372, total 37448602
@q4[ksoftirqd/169]: count 5018, average 1577, total 7913469
@q4[iperf]: count 106, average 1651, total 175063

@q5[swapper/169]: count 214878, average 603, total 129620151
@q5[ksoftirqd/169]: count 39316, average 692, total 27224137
@q5[iperf]: count 832, average 726, total 604253

@uc: count 21905, average 2553, total 55925145

@q1[swapper/169]: count 405, average 3194, total 1293784
@q1[ksoftirqd/169]: count 191, average 4222, total 806528
@q1[iperf]: count 2, average 18434, total 36869

@q2[swapper/169]: count 830, average 812, total 674109
@q2[ksoftirqd/169]: count 297, average 1126, total 334502
