Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[swapper/169]: count 203, average 2397, total 486772
@q1[ksoftirqd/169]: count 8, average 4115, total 32922
@q1[kworker/169:2]: count 2, average 7559, total 15118
@q1[iperf]: count 1, average 11652, total 11652

@q2[kworker/169:2]: count 3, average 4568, total 13706
@q2[swapper/169]: count 794, average 6017, total 4777892
@q2[iperf]: count 1, average 8656, total 8656
@q2[ksoftirqd/169]: count 47, average 426632, total 20051729


@q4[swapper/169]: count 9658, average 1619, total 15642297
@q4[ksoftirqd/169]: count 318, average 2114, total 672297
@q4[kworker/169:2]: count 5, average 3486, total 17433
@q4[iperf]: count 1, average 12414, total 12414

@q5[swapper/169]: count 72860, average 722, total 52653083
@q5[ksoftirqd/169]: count 2309, average 804, total 1856931
@q5[kworker/169:2]: count 27, average 1043, total 28169
@q5[iperf]: count 3, average 3997, total 11992

@uc: count 9139, average 13868, total 126744395

@q1[swapper/169]: count 344, average 2361, total 812388
@q1[ksoftirqd/169]: count 34, average 2717, total 92389
@q1[kworker/169:2]: count 1, average 37620, total 37620

@q2[swapper/169]: count 1369, average 970, total 1328058
@q2[ksoftirqd/169]: count 98, average 1094, total 107293
@q2[kworker/169:2]: count 1, average 17923, total 17923


@q4[ksoftirqd/169]: count 371, average 1579, total 585905
@q4[swapper/169]: count 13211, average 1611, total 21290304
@q4[kworker/169:2]: count 3, average 6582, total 19747

@q5[swapper/169]: count 99403, average 714, total 70988974
@q5[ksoftirqd/169]: count 2595, average 718, total 1863606
@q5[kworker/169:2]: count 18, average 1583, total 28494

@uc: count 13685, average 2723, total 37274173

@q1[swapper/169]: count 339, average 2306, total 781887
@q1[ksoftirqd/169]: count 32, average 3320, total 106260
@q1[kworker/169:2]: count 1, average 32982, total 32982
@q1[iperf]: count 1, average 34655, total 34655

@q2[swapper/169]: count 1367, average 973, total 1330813
@q2[ksoftirqd/169]: count 107, average 1191, total 127458
@q2[kworker/169:2]: count 2, average 9913, total 19826
@q2[iperf]: count 1, average 15388, total 15388


@q4[ksoftirqd/169]: count 416, average 1585, total 659691
@q4[swapper/169]: count 13165, average 1611, total 21211350
@q4[kworker/169:2]: count 4, average 5240, total 20961
@q4[iperf]: count 1, average 15619, total 15619

@q5[swapper/169]: count 99054, average 715, total 70888854
@q5[ksoftirqd/169]: count 2936, average 720, total 2114683
@q5[kworker/169:2]: count 24, average 1322, total 31734
@q5[iperf]: count 3, average 5677, total 17033

@uc: count 13957, average 3021, total 42167448

@q1[swapper/169]: count 344, average 2284, total 785917
@q1[ksoftirqd/169]: count 29, average 3412, total 98968
