Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[ksoftirqd/169]: count 55, average 2740, total 150723
@q1[swapper/169]: count 229, average 2847, total 652037

@q2[ksoftirqd/169]: count 107, average 2436, total 260728
@q2[swapper/169]: count 372, average 3384, total 1258975


@q4[swapper/169]: count 14192, average 1034, total 14686165
@q4[ksoftirqd/169]: count 18143, average 1353, total 24563045

@q5[swapper/169]: count 111717, average 458, total 51247537
@q5[ksoftirqd/169]: count 143922, average 597, total 86063964

@uc: count 20728, average 3559, total 73786187

@q1[swapper/169]: count 413, average 2611, total 1078380
@q1[ksoftirqd/169]: count 114, average 3055, total 348279

@q2[swapper/169]: count 653, average 677, total 442257
@q2[ksoftirqd/169]: count 183, average 697, total 127597


@q4[swapper/169]: count 20992, average 1046, total 21975006
@q4[ksoftirqd/169]: count 22128, average 1462, total 32355323
@q4[iperf]: count 80, average 1815, total 145252

@q5[swapper/169]: count 165195, average 471, total 77969554
@q5[ksoftirqd/169]: count 175509, average 654, total 114833325
@q5[iperf]: count 636, average 774, total 492410

@uc: count 32704, average 1719, total 56250041

@q1[swapper/169]: count 473, average 2697, total 1275952
@q1[ksoftirqd/169]: count 136, average 2776, total 377615

@q2[swapper/169]: count 706, average 673, total 475269
@q2[ksoftirqd/169]: count 199, average 685, total 136467


@q4[swapper/169]: count 22207, average 1028, total 22839549
@q4[ksoftirqd/169]: count 21758, average 1429, total 31101704

@q5[swapper/169]: count 174570, average 463, total 80962965
@q5[ksoftirqd/169]: count 172507, average 636, total 109731178

@uc: count 31300, average 1792, total 56104170

@q1[swapper/169]: count 418, average 2705, total 1131068
@q1[ksoftirqd/169]: count 128, average 2707, total 346567
@q1[iperf]: count 6, average 8314, total 49884

@q2[swapper/169]: count 669, average 686, total 459544
@q2[ksoftirqd/169]: count 193, average 689, total 133149
@q2[iperf]: count 8, average 2935, total 23483


@q4[swapper/169]: count 20923, average 1040, total 21774402
@q4[iperf]: count 62, average 1158, total 71851
@q4[ksoftirqd/169]: count 22368, average 1468, total 32845987

@q5[iperf]: count 468, average 463, total 216811
@q5[swapper/169]: count 164607, average 469, total 77326833
@q5[ksoftirqd/169]: count 177372, average 656, total 116411215

@uc: count 33080, average 1596, total 52813218

@q1[swapper/169]: count 436, average 2701, total 1177947
@q1[ksoftirqd/169]: count 140, average 2707, total 379106

@q2[ksoftirqd/169]: count 208, average 678, total 141110
@q2[swapper/169]: count 667, average 679, total 453056
@q2[iperf]: count 2, average 14938, total 29876


@q4[swapper/169]: count 21061, average 1033, total 21771035
@q4[ksoftirqd/169]: count 22918, average 1438, total 32969310
@q4[iperf]: count 17, average 2135, total 36305

@q5[swapper/169]: count 165634, average 466, total 77349972
@q5[iperf]: count 132, average 553, total 73012
@q5[ksoftirqd/169]: count 181722, average 643, total 116966836

@uc: count 32853, average 1514, total 49755936

@q1[swapper/169]: count 477, average 2728, total 1301418
@q1[ksoftirqd/169]: count 121, average 2830, total 342437
@q1[iperf]: count 3, average 15105, total 45315

@q2[swapper/169]: count 710, average 679, total 482738
@q2[ksoftirqd/169]: count 190, average 680, total 129240
@q2[iperf]: count 5, average 6037, total 30185


@q4[swapper/169]: count 22232, average 1032, total 22965509
@q4[ksoftirqd/169]: count 22174, average 1425, total 31600254
@q4[iperf]: count 14, average 2343, total 32804

@q5[swapper/169]: count 174844, average 465, total 81418294
