Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[swapper/169]: count 249, average 2602, total 647977
@q1[ksoftirqd/169]: count 86, average 4211, total 362181
@q1[iperf]: count 149, average 4635, total 690643

@q2[swapper/169]: count 420, average 1157, total 485987
@q2[iperf]: count 168, average 1220, total 205035
@q2[ksoftirqd/169]: count 121, average 1273, total 154126


@q4[swapper/169]: count 16538, average 1240, total 20513275
@q4[ksoftirqd/169]: count 10067, average 1475, total 14850435
@q4[iperf]: count 447, average 1525, total 682094
@q4[kworker/169:0]: count 73, average 1925, total 140593
@q4[kworker/169:1]: count 40, average 2088, total 83559

@q5[swapper/169]: count 129818, average 552, total 71767768
@q5[ksoftirqd/169]: count 79746, average 660, total 52656490
@q5[iperf]: count 3357, average 707, total 2373623
@q5[kworker/169:1]: count 318, average 764, total 243057
@q5[kworker/169:0]: count 581, average 967, total 562199

@uc: count 18069, average 6940, total 125409225

@q1[swapper/169]: count 1514, average 2238, total 3389189
@q1[ksoftirqd/169]: count 178, average 2634, total 468914

@q2[swapper/169]: count 1804, average 613, total 1106181
@q2[ksoftirqd/169]: count 191, average 654, total 124965


@q4[swapper/169]: count 35154, average 952, total 33498730
@q4[ksoftirqd/169]: count 2163, average 956, total 2069740

@q5[swapper/169]: count 272441, average 430, total 117401103
@q5[ksoftirqd/169]: count 16542, average 432, total 7157411

@uc: count 1846, average 5217, total 9632383

@q1[swapper/169]: count 1492, average 2262, total 3375092
@q1[ksoftirqd/169]: count 173, average 2704, total 467837

@q2[swapper/169]: count 1816, average 615, total 1118142
@q2[ksoftirqd/169]: count 189, average 666, total 125968


@q4[ksoftirqd/169]: count 2079, average 953, total 1981854
@q4[swapper/169]: count 35228, average 954, total 33615421

@q5[ksoftirqd/169]: count 15904, average 431, total 6868231
@q5[swapper/169]: count 273194, average 431, total 117757743

@uc: count 2058, average 5682, total 11695601

@q1[swapper/169]: count 1563, average 2277, total 3559518
@q1[ksoftirqd/169]: count 156, average 2692, total 420059

@q2[swapper/169]: count 1822, average 613, total 1117628
@q2[ksoftirqd/169]: count 173, average 674, total 116665


@q4[ksoftirqd/169]: count 1854, average 952, total 1766857
