Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[swapper/169]: count 214, average 2604, total 557366
@q1[ksoftirqd/169]: count 54, average 3278, total 177043

@q2[swapper/169]: count 352, average 646, total 227408
@q2[iperf]: count 2, average 10990, total 21981
@q2[ksoftirqd/169]: count 113, average 14724, total 1663821


@q4[swapper/169]: count 14204, average 1038, total 14749653
@q4[ksoftirqd/169]: count 17710, average 1352, total 23945713
@q4[iperf]: count 33, average 1485, total 49030

@q5[swapper/169]: count 111834, average 468, total 52449301
@q5[iperf]: count 256, average 504, total 129212
@q5[ksoftirqd/169]: count 140460, average 607, total 85317631

@uc: count 23901, average 4252, total 101650715

@q1[swapper/169]: count 445, average 2641, total 1175271
@q1[ksoftirqd/169]: count 117, average 2984, total 349157

@q2[swapper/169]: count 705, average 646, total 456016
@q2[ksoftirqd/169]: count 180, average 790, total 142262


@q4[swapper/169]: count 20966, average 1039, total 21793922
@q4[ksoftirqd/169]: count 21921, average 1478, total 32420181

@q5[swapper/169]: count 164800, average 468, total 77169330
@q5[ksoftirqd/169]: count 173860, average 658, total 114563273

@uc: count 31322, average 1763, total 55248649

@q1[swapper/169]: count 417, average 2545, total 1061274
@q1[ksoftirqd/169]: count 122, average 2944, total 359274

@q2[swapper/169]: count 658, average 643, total 423537
@q2[ksoftirqd/169]: count 185, average 815, total 150942
@q2[iperf]: count 1, average 31128, total 31128


@q4[swapper/169]: count 19926, average 1048, total 20887744
@q4[ksoftirqd/169]: count 22772, average 1481, total 33727961
@q4[iperf]: count 79, average 1760, total 139086

@q5[swapper/169]: count 156570, average 473, total 74100682
@q5[ksoftirqd/169]: count 180586, average 662, total 119655491
@q5[iperf]: count 628, average 740, total 465072

@uc: count 33709, average 1569, total 52904046

@q1[swapper/169]: count 481, average 2603, total 1252048
@q1[ksoftirqd/169]: count 112, average 2704, total 302939

@q2[swapper/169]: count 728, average 675, total 491798
@q2[ksoftirqd/169]: count 171, average 683, total 116844
@q2[iperf]: count 2, average 11827, total 23654


@q4[swapper/169]: count 20975, average 1047, total 21971931
@q4[ksoftirqd/169]: count 21956, average 1478, total 32465983
@q4[iperf]: count 25, average 1556, total 38900

@q5[swapper/169]: count 164717, average 472, total 77758509
@q5[iperf]: count 196, average 500, total 98106
@q5[ksoftirqd/169]: count 174158, average 662, total 115463036

@uc: count 32565, average 1535, total 49991022

@q1[ksoftirqd/169]: count 128, average 2689, total 344264
@q1[swapper/169]: count 462, average 2696, total 1245558
@q1[iperf]: count 1, average 36799, total 36799

@q2[swapper/169]: count 713, average 648, total 462415
@q2[ksoftirqd/169]: count 193, average 794, total 153280
@q2[iperf]: count 4, average 4350, total 17402


@q4[swapper/169]: count 20952, average 1042, total 21844280
@q4[iperf]: count 35, average 1215, total 42544
@q4[ksoftirqd/169]: count 22475, average 1441, total 32392260

@q5[iperf]: count 267, average 457, total 122128
@q5[swapper/169]: count 164631, average 470, total 77526149
@q5[ksoftirqd/169]: count 178220, average 644, total 114911088

@uc: count 32064, average 1640, total 52585922

@q1[swapper/169]: count 530, average 2671, total 1415718
@q1[ksoftirqd/169]: count 112, average 2894, total 324130
@q1[iperf]: count 1, average 34435, total 34435

@q2[swapper/169]: count 778, average 643, total 500661
@q2[ksoftirqd/169]: count 181, average 824, total 149297
@q2[iperf]: count 1, average 16140, total 16140


@q4[swapper/169]: count 22885, average 1034, total 23672490
@q4[iperf]: count 29, average 1336, total 38756
@q4[ksoftirqd/169]: count 20755, average 1446, total 30028957

@q5[swapper/169]: count 179818, average 467, total 84001557
@q5[iperf]: count 227, average 481, total 109260
@q5[ksoftirqd/169]: count 164585, average 645, total 106245071

@uc: count 30186, average 1774, total 53551815

@q1[swapper/169]: count 456, average 2585, total 1178845
@q1[ksoftirqd/169]: count 120, average 3010, total 361265
@q1[iperf]: count 1, average 40967, total 40967

@q2[swapper/169]: count 699, average 645, total 451436
@q2[ksoftirqd/169]: count 182, average 814, total 148322
@q2[iperf]: count 2, average 12944, total 25888


@q4[swapper/169]: count 21524, average 1040, total 22393854
@q4[ksoftirqd/169]: count 21943, average 1445, total 31721776
@q4[iperf]: count 113, average 1496, total 169139

