Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[swapper/169]: count 392, average 3537, total 1386742
@q1[ksoftirqd/169]: count 81, average 4257, total 344829
@q1[kworker/169:2]: count 2, average 20293, total 40586
@q1[iperf]: count 1, average 40926, total 40926

@q2[swapper/169]: count 644, average 2548, total 1641169
@q2[kworker/169:2]: count 3, average 8269, total 24807
@q2[iperf]: count 1, average 20368, total 20368
@q2[ksoftirqd/169]: count 143, average 57033, total 8155852


@q4[swapper/169]: count 17657, average 1481, total 26154627
@q4[ksoftirqd/169]: count 3140, average 1598, total 5018534
@q4[kworker/169:2]: count 13, average 3318, total 43141
@q4[iperf]: count 1, average 18475, total 18475

@q5[swapper/169]: count 138078, average 647, total 89386304
@q5[ksoftirqd/169]: count 24500, average 714, total 17509981
@q5[kworker/169:2]: count 99, average 905, total 89606
@q5[iperf]: count 7, average 2785, total 19497

@uc: count 17395, average 5300, total 92204014

@q1[swapper/169]: count 701, average 4231, total 2966008
@q1[ksoftirqd/169]: count 189, average 4373, total 826506
@q1[iperf]: count 2, average 21676, total 43352

@q2[swapper/169]: count 902, average 1096, total 988788
@q2[ksoftirqd/169]: count 265, average 1115, total 295488
@q2[iperf]: count 5, average 5929, total 29647


@q4[ksoftirqd/169]: count 2965, average 1635, total 4849585
@q4[swapper/169]: count 25157, average 1643, total 41334760
@q4[iperf]: count 38, average 1929, total 73312

@q5[swapper/169]: count 197867, average 709, total 140444171
@q5[ksoftirqd/169]: count 22949, average 713, total 16369021
@q5[iperf]: count 289, average 772, total 223110

@uc: count 28111, average 2310, total 64938623

@q1[swapper/169]: count 648, average 4266, total 2764705
@q1[ksoftirqd/169]: count 206, average 4486, total 924203
@q1[iperf]: count 5, average 9978, total 49894

@q2[swapper/169]: count 882, average 1110, total 979089
@q2[ksoftirqd/169]: count 282, average 1182, total 333469
@q2[iperf]: count 9, average 3926, total 35337


@q4[iperf]: count 123, average 1602, total 197109
@q4[ksoftirqd/169]: count 3071, average 1629, total 5004054
@q4[swapper/169]: count 24953, average 1641, total 40966486

@q5[swapper/169]: count 196291, average 710, total 139535018
@q5[ksoftirqd/169]: count 23799, average 712, total 16957560
@q5[iperf]: count 951, average 729, total 693580

@uc: count 27899, average 2514, total 70153993

@q1[swapper/169]: count 694, average 4295, total 2980905
@q1[ksoftirqd/169]: count 182, average 4363, total 794079
@q1[iperf]: count 5, average 9299, total 46496

@q2[swapper/169]: count 899, average 1102, total 990822
@q2[ksoftirqd/169]: count 250, average 1213, total 303495
@q2[iperf]: count 10, average 2339, total 23391


@q4[iperf]: count 75, average 1590, total 119324
@q4[ksoftirqd/169]: count 3026, average 1641, total 4966016
@q4[swapper/169]: count 25039, average 1654, total 41417336

@q5[swapper/169]: count 196941, average 714, total 140645584
@q5[iperf]: count 574, average 731, total 419937
@q5[ksoftirqd/169]: count 23475, average 1436, total 33715333

@uc: count 28450, average 2583, total 73514650

@q1[swapper/169]: count 724, average 3865, total 2798976
@q1[ksoftirqd/169]: count 171, average 4328, total 740105
@q1[iperf]: count 8, average 8170, total 65363
@q1[kworker/169:2]: count 2, average 9859, total 19718

@q2[swapper/169]: count 994, average 1000, total 994366
@q2[ksoftirqd/169]: count 253, average 1205, total 305062
@q2[iperf]: count 11, average 2695, total 29645
@q2[kworker/169:2]: count 3, average 3783, total 11351


@q4[swapper/169]: count 25270, average 1579, total 39918917
@q4[iperf]: count 113, average 1612, total 182220
@q4[ksoftirqd/169]: count 2829, average 1641, total 4643358
@q4[kworker/169:2]: count 8, average 1736, total 13895

@q5[kworker/169:2]: count 57, average 604, total 34472
@q5[swapper/169]: count 198229, average 689, total 136675424
@q5[ksoftirqd/169]: count 21889, average 715, total 15659150
@q5[iperf]: count 863, average 728, total 628305

@uc: count 26464, average 2958, total 78296783

@q1[ksoftirqd/169]: count 191, average 4239, total 809745
@q1[swapper/169]: count 589, average 4258, total 2508184
@q1[iperf]: count 11, average 5910, total 65011

@q2[ksoftirqd/169]: count 272, average 1119, total 304636
@q2[swapper/169]: count 838, average 1124, total 942497
@q2[iperf]: count 15, average 1958, total 29384


@q4[iperf]: count 152, average 1562, total 237495
@q4[ksoftirqd/169]: count 3141, average 1632, total 5127349
@q4[swapper/169]: count 24856, average 1634, total 40618951

@q5[swapper/169]: count 195642, average 714, total 139697356
@q5[ksoftirqd/169]: count 24320, average 715, total 17388871
@q5[iperf]: count 1163, average 726, total 844416

@uc: count 28207, average 2861, total 80706107

@q1[swapper/169]: count 726, average 3711, total 2694526
@q1[ksoftirqd/169]: count 189, average 4341, total 820528
@q1[iperf]: count 8, average 6922, total 55377
@q1[kworker/169:2]: count 2, average 18985, total 37971

@q2[swapper/169]: count 1033, average 972, total 1005092
@q2[ksoftirqd/169]: count 272, average 1160, total 315766
@q2[iperf]: count 14, average 2305, total 32272
@q2[kworker/169:2]: count 3, average 5750, total 17252


@q4[swapper/169]: count 24702, average 1541, total 38080048
@q4[iperf]: count 138, average 1585, total 218777
@q4[ksoftirqd/169]: count 3414, average 1630, total 5565810
@q4[kworker/169:2]: count 8, average 2728, total 21831

@q5[swapper/169]: count 193463, average 670, total 129697150
@q5[kworker/169:2]: count 52, average 679, total 35316
@q5[ksoftirqd/169]: count 26525, average 712, total 18894142
@q5[iperf]: count 1060, average 722, total 766355

@uc: count 24481, average 2699, total 66092772

@q1[iperf]: count 12, average 3884, total 46616
@q1[swapper/169]: count 704, average 4118, total 2899740
@q1[ksoftirqd/169]: count 201, average 4322, total 868741

@q2[swapper/169]: count 932, average 1064, total 992128
